iter	MAE
0	3.34250649
1	3.321243853
2	3.30383661
3	3.286951375
4	3.276637117
5	3.258430499
6	3.240742399
7	3.230032846
8	3.218550041
9	3.203749876
10	3.190483827
11	3.176593903
12	3.169584052
13	3.152265711
14	3.143695752
15	3.137334344
16	3.125361716
17	3.116952648
18	3.109921656
19	3.103467845
20	3.090445669
21	3.083180568
22	3.073654487
23	3.06261853
24	3.052812177
25	3.045137568
26	3.03596394
27	3.027494156
28	3.022945582
29	3.014387584
30	3.007033995
31	3.001570138
32	2.995186872
33	2.990121549
34	2.97785753
35	2.968593651
36	2.959780284
37	2.950813344
38	2.947977413
39	2.944985056
40	2.939174153
41	2.933907886
42	2.926825304
43	2.916117624
44	2.912882329
45	2.907764647
46	2.901257511
47	2.897359689
48	2.888543542
49	2.883926696
50	2.879905046
51	2.877832664
52	2.874165246
53	2.86867563
54	2.86587013
55	2.85959794
56	2.854010229
57	2.849225813
58	2.84532858
59	2.840651462
60	2.83829348
61	2.833530847
62	2.829271945
63	2.825798057
64	2.82380725
65	2.819254205
66	2.813864085
67	2.80852627
68	2.805795552
69	2.797460895
70	2.794704877
71	2.788081403
72	2.784001278
73	2.781216839
74	2.778043469
75	2.772196675
76	2.766570606
77	2.760277904
78	2.757204451
79	2.753191637
80	2.743838003
81	2.736276293
82	2.733209499
83	2.730249852
84	2.723920095
85	2.72051057
86	2.711706913
87	2.710579901
88	2.703814907
89	2.702144133
90	2.695552677
91	2.692268066
92	2.690758552
93	2.687415496
94	2.68462768
95	2.680351609
96	2.679049326
97	2.674265649
98	2.671669706
99	2.670731319
100	2.668495411
101	2.666420406
102	2.659715095
103	2.653295206
104	2.651286309
105	2.649947916
106	2.646974587
107	2.643334495
108	2.638511985
109	2.635505068
110	2.632831715
111	2.629505517
112	2.627073266
113	2.624380606
114	2.622382193
115	2.619555594
116	2.616828101
117	2.614107304
118	2.607719347
119	2.604539297
120	2.601245919
121	2.597525105
122	2.595279596
123	2.591010006
124	2.588993331
125	2.587043087
126	2.579849604
127	2.572541934
128	2.569208067
129	2.564589943
130	2.562611074
131	2.557281285
132	2.555301028
133	2.553519992
134	2.549686071
135	2.544076394
136	2.539598117
137	2.538120186
138	2.53573397
139	2.533354869
140	2.531836846
141	2.5301805
142	2.52726086
143	2.523654859
144	2.519637103
145	2.513868031
146	2.51225874
147	2.506641966
148	2.501804394
149	2.501108652
150	2.499717656
151	2.495422131
152	2.49269282
153	2.490487089
154	2.486960452
155	2.48381484
156	2.480307822
157	2.476994105
158	2.472914893
159	2.469769683
160	2.467605985
161	2.464529036
162	2.461843979
163	2.459169613
164	2.451571227
165	2.448541157
166	2.447020325
167	2.443817404
168	2.44172204
169	2.43622841
170	2.432448178
171	2.43107546
172	2.424600511
173	2.421366185
174	2.419975181
175	2.415502903
176	2.412350061
177	2.410402894
178	2.409748848
179	2.40703512
180	2.400922977
181	2.398212439
182	2.393614775
183	2.389853625
184	2.379337555
185	2.372358881
186	2.369873371
187	2.369079311
188	2.367536095
189	2.365867023
190	2.364314559
191	2.361320717
192	2.360267798
193	2.356777659
194	2.353929309
195	2.351277768
196	2.350642629
197	2.348868643
198	2.346820164
199	2.344206759
200	2.342051598
201	2.340009541
202	2.337178417
203	2.333985143
204	2.332851356
205	2.331251287
206	2.32944521
207	2.327593965
208	2.325140237
209	2.32472422
210	2.322607694
211	2.320700292
212	2.317751608
213	2.316573012
214	2.315981095
215	2.314410093
216	2.31034613
217	2.307218323
218	2.306910401
219	2.303298323
