iter	Passed	Remaining
0	0	143
1	1	124
2	1	131
3	2	124
4	2	125
5	3	120
6	3	120
7	4	117
8	4	115
9	5	113
10	5	110
11	6	109
12	6	108
13	7	107
14	7	104
15	8	102
16	8	104
17	9	103
18	9	103
19	10	102
20	10	101
21	11	100
22	11	99
23	12	98
24	12	98
25	13	97
26	13	96
27	13	95
28	14	94
29	14	94
30	15	93
31	18	108
32	19	108
33	19	107
34	20	106
35	20	105
36	21	104
37	21	103
38	21	102
39	22	101
40	22	100
41	23	99
42	23	98
43	24	97
44	24	96
45	25	96
46	25	95
47	26	94
48	26	93
49	27	92
50	27	92
51	28	91
52	28	90
53	29	89
54	29	89
55	30	88
56	30	87
57	31	87
58	31	86
59	32	85
60	32	85
61	33	84
62	33	83
63	34	83
64	34	82
65	35	81
66	35	81
67	35	80
68	36	79
69	36	79
70	37	78
71	37	77
72	38	77
73	38	76
74	39	75
75	39	75
76	40	74
77	40	74
78	41	73
79	41	72
80	42	72
81	42	71
82	43	71
83	43	70
84	44	70
85	44	69
86	45	70
87	46	69
88	47	69
89	47	68
90	48	68
91	48	67
92	49	67
93	49	66
94	50	65
95	50	65
96	50	64
97	51	63
98	51	63
99	52	62
100	52	62
101	53	61
102	53	60
103	53	60
104	54	59
105	54	58
106	55	58
107	55	57
108	55	56
109	56	56
110	56	55
111	57	55
112	57	54
113	58	54
114	58	53
115	59	52
116	59	52
117	59	51
118	60	51
119	60	50
120	60	49
121	61	49
122	61	48
123	62	48
124	62	47
125	63	47
126	63	46
127	64	46
128	64	45
129	65	45
130	65	44
131	65	43
132	66	43
133	66	42
134	67	42
135	67	41
136	67	41
137	68	40
138	68	40
139	69	39
140	69	39
141	70	38
142	70	37
143	72	38
144	72	37
145	73	37
146	74	36
147	74	36
148	74	35
149	75	35
150	75	34
151	76	34
152	76	33
153	77	33
154	77	32
155	77	31
156	78	31
157	78	30
158	79	30
159	79	29
160	80	29
161	80	28
162	80	28
163	81	27
164	81	27
165	82	26
166	82	26
167	82	25
168	83	25
169	83	24
170	84	24
171	84	23
172	85	23
173	85	22
174	86	22
175	86	21
176	87	21
177	87	20
178	87	20
179	88	19
180	88	19
181	89	18
182	89	18
183	89	17
184	90	17
185	90	16
186	91	16
187	91	15
188	92	15
189	92	14
190	92	14
191	93	13
192	93	13
193	94	12
194	94	12
195	95	11
196	95	11
197	96	10
198	97	10
199	98	9
200	98	9
201	101	9
202	102	8
203	102	8
204	103	7
205	103	7
206	104	6
207	104	6
208	105	5
209	105	5
210	106	4
211	106	4
212	106	3
213	107	3
214	107	2
215	108	2
216	108	1
217	108	0
218	109	0
219	109	0
