date,open,high,low,close,volume
2025-01-02,11.72,11.89,11.49,11.6,33417900
2025-01-03,11.49,11.55,11.27,11.33,41365900
2025-01-06,11.36,11.5,11.21,11.29,50881500
2025-01-07,11.3,11.58,11.27,11.54,34905200
2025-01-08,11.48,11.53,11.28,11.42,39248800
2025-01-09,11.43,11.51,11.3,11.4,24470100
2025-01-10,11.4,11.43,11.08,11.16,31277300
2025-01-13,11.18,11.31,11.12,11.24,28945300
2025-01-14,11.21,11.37,11.15,11.21,42625300
2025-01-15,11.3,11.43,11.16,11.39,45380700
2025-01-16,11.42,11.42,11.04,11.08,29298500
2025-01-17,10.84,11.09,10.77,11.09,51433600
2025-01-20,11.05,11.11,10.79,11.05,22293700
2025-01-21,10.99,11.26,10.99,11.25,26293900
2025-01-22,11.18,11.22,10.94,11.02,44993500
2025-01-23,11.02,11.16,10.98,11.05,35708100
2025-01-24,11.05,11.13,10.87,10.87,44514500
2025-01-27,10.87,11.12,10.84,11.12,34876400
2025-01-28,11.05,11.21,11.02,11.11,39022900
2025-01-29,11.18,11.2,10.91,10.97,26199700
2025-01-30,10.99,11.14,10.96,11.11,22347200
2025-01-31,11.14,11.24,11.1,11.1,26952000
2025-02-03,11.15,11.22,10.96,11.03,29524300
2025-02-04,11.0,11.0,10.82,10.9,23133400
2025-02-05,10.94,10.94,10.72,10.82,44675800
2025-02-06,10.8,10.9,10.73,10.86,24218200
2025-02-07,10.86,10.92,10.8,10.85,33491500
2025-02-10,10.94,11.23,10.9,10.97,50519600
2025-02-11,11.03,11.03,10.78,10.96,35802500
2025-02-12,10.83,11.04,10.8,10.92,39414800
2025-02-13,10.87,10.99,10.84,10.98,21078300
2025-02-14,11.05,11.19,11.0,11.13,34084700
2025-02-17,11.17,11.23,11.07,11.1,9559900
2025-02-18,11.14,11.17,11.04,11.09,18776800
2025-02-19,11.0,11.04,10.93,10.97,16856200
2025-02-20,10.93,11.08,10.9,11.04,24406000
2025-02-21,11.02,11.17,11.01,11.12,34245000
2025-02-24,11.17,11.17,10.98,11.03,28954600
2025-02-25,11.03,11.14,11.02,11.09,24354400
2025-02-26,11.73,11.84,11.45,11.7,79612200
2025-02-27,11.67,12.49,11.66,12.32,66169900
2025-02-28,12.31,12.49,12.1,12.22,79761000
2025-03-05,12.5,12.93,12.42,12.78,54086900
2025-03-06,12.77,13.04,12.7,12.85,40524500
2025-03-07,12.78,13.12,12.72,13.1,30190400
2025-03-10,13.0,13.26,12.98,13.12,27718600
2025-03-11,13.08,13.16,12.74,12.86,32659900
2025-03-12,12.9,13.11,12.87,13.03,38219900
2025-03-13,13.08,13.33,12.94,13.33,35316500
2025-03-14,13.38,13.64,13.38,13.64,41772200
