date,open,high,low,close,volume
2025-01-02,18.040001,18.200001,17.799999,18.120001,7506300
2025-01-03,18.1,18.25,17.780001,17.879999,6080100
2025-01-06,18.469999,18.469999,17.92,18.120001,3643600
2025-01-07,18.139999,18.41,17.98,18.139999,5884900
2025-01-08,18.120001,18.120001,17.620001,17.67,4415400
2025-01-09,17.67,17.860001,17.58,17.75,2716100
2025-01-10,17.75,17.799999,17.41,17.43,5176900
2025-01-13,17.43,17.52,17.16,17.17,3378600
2025-01-14,17.219999,17.690001,17.200001,17.57,6447800
2025-01-15,17.85,18.450001,17.74,18.34,10354800
2025-01-16,18.34,18.379999,17.9,17.950001,4803800
2025-01-17,18.049999,18.059999,17.66,18.01,3378900
2025-01-20,17.85,18.120001,17.719999,18.049999,3702600
2025-01-21,18.049999,18.209999,17.940001,18.110001,2304400
2025-01-22,18.34,18.450001,17.91,18.34,5113000
2025-01-23,18.41,18.459999,17.98,18.18,4045300
2025-01-24,17.889999,18.139999,17.83,17.959999,3027800
2025-01-27,18.0,18.719999,17.83,18.639999,4683800
2025-01-28,18.610001,18.75,18.48,18.68,2642400
2025-01-29,18.93,18.93,18.559999,18.59,2768500
2025-01-30,18.68,19.389999,18.68,19.290001,6883000
2025-01-31,19.440001,19.440001,18.92,19.0,5350200
2025-02-03,18.85,19.309999,18.799999,19.110001,3247500
2025-02-04,18.969999,19.200001,18.84,19.139999,3097400
2025-02-05,19.139999,19.15,18.75,19.120001,2382400
2025-02-06,19.08,19.25,19.02,19.16,2935200
2025-02-07,19.139999,19.34,19.01,19.1,4110700
2025-02-10,19.360001,19.549999,19.209999,19.26,3809900
2025-02-11,19.49,19.540001,19.18,19.33,2743200
2025-02-12,19.040001,19.290001,18.940001,19.200001,3750400
2025-02-13,19.18,19.18,18.870001,19.09,4227800
2025-02-14,19.09,19.620001,19.02,19.5,7403900
2025-02-17,19.549999,20.129999,19.48,19.84,4852300
2025-02-18,19.85,19.92,19.440001,19.530001,3288900
2025-02-19,19.360001,19.450001,19.120001,19.24,4886200
2025-02-20,19.16,19.24,19.030001,19.18,2103800
2025-02-21,18.93,19.209999,18.92,19.16,2873900
2025-02-24,19.190001,19.209999,18.41,18.459999,4034800
2025-02-25,18.49,18.790001,18.43,18.620001,2350600
2025-02-26,18.870001,18.870001,18.35,18.41,3676900
2025-02-27,18.5,18.629999,18.26,18.280001,4777400
2025-02-28,18.040001,18.32,17.790001,18.09,5505200
2025-03-05,17.690001,17.950001,17.610001,17.799999,4855700
2025-03-06,17.85,18.24,17.719999,18.129999,5760300
2025-03-07,18.02,18.58,17.870001,18.35,4078700
2025-03-10,17.99,18.360001,17.99,18.309999,3042800
2025-03-11,18.280001,18.33,17.92,18.1,3385700
2025-03-12,18.08,18.34,18.059999,18.23,3261600
2025-03-13,18.24,18.549999,18.02,18.51,4199400
2025-03-14,18.469999,19.08,18.370001,19.08,4896100
2025-03-17,19.049999,19.57,18.959999,19.450001,4102200
2025-03-18,19.57,19.77,19.43,19.58,4167700
2025-03-19,19.57,19.91,19.530001,19.700001,4621300
2025-03-20,19.709999,19.790001,19.35,19.43,3340700
2025-03-21,19.24,19.66,19.200001,19.66,5651900
2025-03-24,19.450001,19.66,19.25,19.25,2779900
2025-03-25,19.209999,19.77,19.209999,19.52,2174000
2025-03-26,19.74,19.860001,19.469999,19.530001,3377100
2025-03-27,19.5,19.6,19.379999,19.48,3207600
2025-03-28,19.43,19.5,19.049999,19.24,3476900
2025-03-31,19.1,19.35,19.07,19.129999,3121700
2025-04-01,19.110001,19.33,18.950001,19.07,3426900
2025-04-02,19.0,19.51,18.99,19.42,4155700
2025-04-03,19.25,20.4,19.25,20.25,8632900
2025-04-04,19.889999,19.889999,19.43,19.43,3782200
2025-04-07,19.190001,19.75,18.959999,19.15,3652100
2025-04-08,19.200001,19.610001,19.0,19.190001,3488200
2025-04-09,18.92,19.93,18.809999,19.58,4855500
2025-04-10,19.469999,19.629999,19.23,19.629999,3170800
2025-04-11,19.690001,19.959999,19.5,19.75,3495400
2025-04-14,19.9,20.18,19.780001,20.059999,4476000
2025-04-15,19.860001,20.049999,19.639999,20.0,4385500
2025-04-16,19.940001,20.120001,19.74,19.959999,3850100
2025-04-17,20.0,20.389999,19.790001,20.209999,4088000
2025-04-22,20.209999,20.540001,20.110001,20.23,3487100
2025-04-23,20.360001,20.73,20.33,20.5,3456000
2025-04-24,20.65,21.25,20.540001,21.09,4351900
2025-04-25,21.200001,21.27,20.879999,21.120001,5601000
2025-04-28,21.27,21.370001,20.93,21.120001,2966600
2025-04-29,21.120001,21.459999,21.030001,21.17,4155400
2025-04-30,21.200001,21.48,21.040001,21.26,2973700
2025-05-02,21.51,21.84,21.26,21.549999,4440900
2025-05-05,21.6,21.690001,21.139999,21.290001,2689500
2025-05-06,21.25,21.51,21.15,21.209999,1991400
2025-05-07,21.34,21.35,20.889999,20.98,1916300
2025-05-08,21.43,21.950001,21.370001,21.549999,4446800
2025-05-09,21.48,21.639999,21.35,21.43,3384700
2025-05-12,21.440001,21.540001,21.120001,21.16,3027000
2025-05-13,21.16,21.91,21.08,21.74,5323200
2025-05-14,21.879999,21.93,21.32,21.5,4642300
2025-05-15,21.49,21.83,21.4,21.83,4751700
2025-05-16,21.709999,21.860001,21.4,21.780001,3302900
2025-05-19,21.75,22.219999,21.690001,22.07,2958100
2025-05-20,22.200001,22.209999,21.719999,22.190001,1870600
2025-05-21,22.16,22.190001,21.690001,21.73,2599300
2025-05-22,21.709999,21.82,21.440001,21.6,4315200
2025-05-23,21.34,21.67,20.950001,21.67,3904500
2025-05-26,21.66,21.889999,21.610001,21.780001,1129100
2025-05-27,21.9,22.290001,21.76,22.1,4140100
2025-05-28,22.1,22.41,21.889999,22.25,3834100
2025-05-29,22.15,22.43,22.08,22.370001,4026600
2025-05-30,22.42,22.42,21.889999,22.219999,3791700
2025-06-02,22.41,22.459999,21.92,22.1,2309400
2025-06-03,22.049999,22.32,21.92,22.280001,3286300
2025-06-04,22.25,22.42,22.01,22.16,2938200
2025-06-05,22.07,22.18,21.84,21.950001,5002900
2025-06-06,21.84,22.030001,21.66,21.84,3795400
2025-06-09,21.700001,21.809999,21.34,21.620001,3709300
2025-06-10,21.77,21.9,21.530001,21.780001,3217900
2025-06-11,21.629999,21.84,21.41,21.620001,2712200
2025-06-12,21.5,21.68,21.24,21.68,3304800
2025-06-13,21.4,21.58,21.209999,21.48,3586900
2025-06-16,21.780001,21.92,21.6,21.66,3775800
2025-06-17,21.67,21.93,21.52,21.860001,6114700
2025-06-18,21.65,21.92,21.620001,21.690001,4658700
2025-06-20,21.57,21.690001,21.290001,21.360001,6315900
2025-06-23,21.360001,21.66,21.23,21.530001,3451800
2025-06-24,21.540001,22.41,21.540001,22.26,5332200
2025-06-25,22.26,22.450001,22.17,22.17,4399100
2025-06-26,22.309999,22.75,22.219999,22.559999,4191700
2025-06-27,22.27,22.709999,22.27,22.549999,2319300
2025-06-30,22.57,22.83,22.41,22.719999,3569500
2025-07-01,22.860001,23.07,22.77,22.879999,3733700
2025-07-02,22.879999,22.91,22.34,22.4,4944900
2025-07-03,22.4,22.780001,22.24,22.65,1637100
2025-07-04,22.610001,22.9,22.450001,22.85,1858900
2025-07-07,22.83,22.889999,22.139999,22.360001,6469800
2025-07-08,22.309999,22.4,22.120001,22.34,3229100
2025-07-09,22.190001,22.309999,21.85,21.959999,3789200
2025-07-10,21.690001,21.93,21.49,21.85,4065000
2025-07-11,21.57,21.889999,21.57,21.639999,3299500
2025-07-14,21.5,21.85,21.5,21.639999,2927400
2025-07-15,21.65,22.049999,21.65,21.889999,7108600
2025-07-16,22.049999,22.139999,21.85,22.030001,6585400
2025-07-17,22.190001,22.290001,21.92,22.219999,4283100
2025-07-18,22.07,22.18,21.6,21.67,7751500
2025-07-21,21.780001,21.860001,21.549999,21.59,3599700
2025-07-22,21.690001,21.77,21.26,21.26,6144800
2025-07-23,21.07,21.59,20.959999,21.52,2745500
2025-07-24,21.360001,21.43,21.200001,21.23,2113200
2025-07-25,21.200001,21.370001,21.16,21.26,1896700
2025-07-28,21.26,21.48,20.93,21.049999,3215900
2025-07-29,21.09,21.35,20.940001,21.209999,3194000
2025-07-30,21.15,21.799999,21.139999,21.42,4407600
2025-07-31,21.290001,21.43,20.99,21.309999,4326900
2025-08-01,21.66,21.83,21.41,21.540001,6541400
2025-08-04,21.879999,21.91,21.43,21.540001,2602300
2025-08-05,21.549999,21.690001,21.299999,21.59,5151600
2025-08-06,21.700001,21.950001,21.540001,21.950001,3813100
2025-08-07,22.0,22.49,21.879999,22.23,4548600
2025-08-08,22.15,22.51,22.09,22.33,5849900
2025-08-11,22.280001,22.67,22.17,22.42,3817500
2025-08-12,22.440001,22.98,22.440001,22.83,4174400
2025-08-13,22.879999,23.1,22.57,22.73,4568300
2025-08-14,22.620001,23.1,22.18,22.860001,4340300
2025-08-15,22.85,22.950001,22.68,22.860001,2545400
2025-08-18,22.860001,23.299999,22.860001,23.16,3121600
2025-08-19,23.0,23.0,22.57,22.690001,3317500
2025-08-20,22.690001,22.860001,22.5,22.66,3746600
2025-08-21,22.59,22.75,22.469999,22.59,4777300
2025-08-22,22.700001,23.059999,22.530001,23.040001,4823800
2025-08-25,23.040001,23.35,22.950001,22.99,5750000
2025-08-26,22.879999,22.98,22.73,22.82,3179700
2025-08-27,22.6,23.32,22.58,23.27,4135600
2025-08-28,23.370001,24.32,23.309999,23.91,7888100
2025-08-29,23.799999,24.09,23.74,23.959999,2520900
2025-09-01,23.879999,24.139999,23.790001,23.969999,1761600
2025-09-02,23.690001,24.0,23.610001,23.799999,2150900
2025-09-03,23.82,23.85,23.57,23.83,2211100
2025-09-04,23.870001,24.299999,23.799999,24.200001,3327200
2025-09-05,24.450001,24.82,24.42,24.49,3761000
2025-09-08,24.5,24.57,24.23,24.27,2260400
2025-09-09,24.15,24.299999,24.059999,24.16,1678100
2025-09-10,24.16,24.48,24.1,24.219999,2225700
2025-09-11,24.35,24.65,24.27,24.559999,1645900
2025-09-12,24.35,24.57,24.25,24.4,1713700
2025-09-15,24.43,24.67,24.370001,24.459999,3352600
2025-09-16,24.76,24.940001,24.559999,24.84,2586300
2025-09-17,24.809999,25.440001,24.809999,25.23,4147900
2025-09-18,25.24,25.51,25.190001,25.299999,3263500
2025-09-19,25.450001,25.68,25.32,25.32,4412100
2025-09-22,25.190001,25.24,24.92,25.09,2174500
2025-09-23,25.25,25.9,25.040001,25.799999,6120900
2025-09-24,25.76,25.809999,25.440001,25.52,5363700
2025-09-25,25.49,25.540001,25.219999,25.469999,2939200
2025-09-26,25.549999,25.709999,25.440001,25.51,2028700
2025-09-29,25.85,26.07,25.74,25.860001,2320400
2025-09-30,26.07,26.200001,25.799999,25.83,3073100
2025-10-01,25.959999,26.01,25.48,25.610001,2655200
2025-10-02,25.67,25.700001,25.110001,25.219999,2339700
2025-10-03,25.25,25.299999,25.01,25.200001,2482600
2025-10-06,25.200001,25.24,24.6,24.74,3046400
2025-10-07,24.65,24.65,24.1,24.32,6382300
2025-10-08,24.32,24.42,24.16,24.42,2382300
2025-10-09,24.43,24.540001,24.01,24.23,3008100
2025-10-10,24.32,24.34,23.73,23.99,2518300
2025-10-13,24.17,24.24,23.940001,24.059999,1727200
2025-10-14,23.889999,24.02,23.629999,23.790001,2629000
2025-10-15,23.549999,24.190001,23.440001,24.190001,5154600
2025-10-16,23.950001,24.1,23.77,23.940001,2665100
2025-10-17,23.700001,24.1,23.58,24.07,2383600
2025-10-20,24.07,24.49,24.049999,24.27,3840000
2025-10-21,24.32,24.5,24.15,24.299999,2776100
2025-10-22,24.27,24.309999,24.040001,24.299999,2818100
2025-10-23,24.540001,24.690001,24.129999,24.4,2198000
2025-10-24,24.52,24.73,24.450001,24.530001,2084500
2025-10-27,24.790001,24.959999,24.48,24.700001,3057400
2025-10-28,24.700001,24.700001,24.35,24.42,2599100
2025-10-29,24.440001,24.68,24.440001,24.530001,2515300
2025-10-30,24.450001,24.77,24.290001,24.73,1155200
2025-10-31,24.799999,25.030001,24.73,24.950001,5819800
2025-11-03,25.190001,25.23,24.879999,24.969999,5645800
2025-11-04,24.969999,25.26,24.799999,25.25,2383600
2025-11-05,25.25,25.969999,25.120001,25.950001,3237100
2025-11-06,26.0,26.219999,25.879999,26.16,2508800
2025-11-07,26.129999,26.190001,25.889999,26.120001,1666300
2025-11-10,26.25,26.440001,26.15,26.42,2964300
2025-11-11,26.700001,27.219999,26.540001,26.82,4018200
2025-11-12,26.76,27.09,26.58,27.09,4495500
2025-11-13,28.549999,29.299999,27.969999,28.33,13538100
2025-11-14,28.34,29.0,28.15,28.809999,10601400
2025-11-17,28.809999,28.889999,27.93,27.99,4678200
2025-11-18,27.91,27.950001,27.629999,27.889999,3829800
2025-11-19,27.450001,27.469999,27.200001,27.33,3072700
2025-11-21,27.26,27.27,26.790001,26.959999,3503000
2025-11-24,27.040001,27.76,26.9,27.76,4560300
2025-11-25,27.99,28.139999,27.610001,28.030001,3078000
2025-11-26,28.09,28.6,27.76,27.959999,7285000
2025-11-27,27.9,28.02,27.68,27.93,2321400
2025-11-28,27.870001,28.48,27.870001,28.35,5522200
2025-12-01,28.389999,28.799999,28.25,28.389999,8913800
2025-12-02,28.549999,29.02,28.360001,28.98,4184700
2025-12-03,29.110001,29.379999,28.969999,29.1,3880700
2025-12-04,29.290001,29.77,29.219999,29.700001,5171300
2025-12-05,28.52,29.190001,27.190001,27.24,37996500
2025-12-08,27.75,27.809999,27.23,27.559999,4806500
2025-12-09,27.309999,28.200001,26.77,27.969999,7478700
2025-12-10,28.15,28.639999,27.93,28.360001,5997700
2025-12-11,28.32,29.190001,28.209999,28.66,5363900
2025-12-12,28.68,29.370001,28.68,29.15,8254900
2025-12-15,29.35,29.700001,29.23,29.389999,11022600
2025-12-16,29.219999,29.24,28.209999,28.32,6472900
2025-12-17,28.120001,28.18,27.42,27.77,8103900
2025-12-18,27.700001,28.040001,27.5,27.9,5142400
2025-12-19,27.84,28.33,27.76,28.0,5367200
2025-12-22,27.709999,27.719999,27.209999,27.379999,5115300
