date,open,high,low,close,volume
2025-01-02,5.6,5.61,5.36,5.45,15340600
2025-01-03,5.47,5.51,5.33,5.42,13594200
2025-01-06,5.59,5.8,5.59,5.69,13729000
2025-01-07,5.79,5.88,5.65,5.8,22063000
2025-01-08,5.72,5.73,5.44,5.64,27185400
2025-01-09,5.59,5.8,5.53,5.66,12611100
2025-01-10,5.62,5.69,5.48,5.62,14811000
2025-01-13,5.62,5.65,5.49,5.52,17516600
2025-01-14,5.53,5.56,5.29,5.4,30338700
2025-01-15,5.5,5.8,5.49,5.74,28010800
2025-01-16,5.7,5.72,5.48,5.65,13042600
2025-01-17,5.67,5.85,5.61,5.82,10647800
2025-01-20,5.76,6.21,5.67,6.1,11097900
2025-01-21,6.06,6.29,6.0,6.12,19059500
2025-01-22,6.16,6.42,6.02,6.33,18324700
2025-01-23,6.35,6.41,6.12,6.2,32962200
2025-01-24,6.2,6.46,6.13,6.15,10904000
2025-01-27,6.21,6.82,6.12,6.62,27192000
2025-01-28,6.53,6.74,6.52,6.52,12714900
2025-01-29,6.59,6.59,6.33,6.5,16579000
2025-01-30,6.5,6.92,6.5,6.84,22177900
2025-01-31,6.81,7.01,6.73,6.74,14117500
2025-02-03,6.72,6.96,6.64,6.86,11494200
2025-02-04,6.84,6.9,6.58,6.76,14743200
2025-02-05,6.75,6.93,6.63,6.84,12476200
2025-02-06,6.8,7.14,6.8,6.98,14161200
2025-02-07,6.98,7.11,6.93,7.06,23962500
2025-02-10,7.13,7.29,6.98,7.0,17122200
2025-02-11,7.0,7.54,6.97,7.13,37544600
2025-02-12,7.07,7.22,7.0,7.13,32300000
2025-02-13,7.16,7.33,7.07,7.3,14036300
2025-02-14,7.4,7.53,7.35,7.48,14556600
2025-02-17,7.52,7.99,7.46,7.78,15107600
2025-02-18,7.73,7.74,7.27,7.33,23830300
2025-02-19,7.26,7.28,7.1,7.1,13992300
2025-02-20,7.42,7.59,6.78,6.98,54915100
2025-02-21,6.98,7.08,6.85,6.94,24962500
2025-02-24,6.94,7.17,6.74,6.8,16300400
2025-02-25,6.82,7.18,6.77,7.12,14319100
2025-02-26,7.17,7.26,6.97,7.04,15734000
2025-02-27,7.08,7.14,6.83,6.87,16453600
