date,open,high,low,close,volume
2025-01-02,8.78,8.8,8.47,8.6,7626700
2025-01-03,8.6,8.63,8.4,8.42,9696300
2025-01-06,8.48,8.61,8.4,8.43,6310100
2025-01-07,8.43,8.49,8.31,8.36,11778800
2025-01-08,8.34,8.35,8.07,8.14,5275400
2025-01-09,8.13,8.19,8.0,8.0,4320400
2025-01-10,8.0,8.07,7.82,7.88,6277600
2025-01-13,7.9,7.94,7.77,7.77,6244300
2025-01-14,7.77,7.85,7.71,7.8,6660700
2025-01-15,7.86,7.99,7.83,7.93,5075900
2025-01-16,7.96,7.96,7.76,7.76,4358100
2025-01-17,7.83,7.83,7.71,7.78,5126600
2025-01-20,7.78,7.79,7.66,7.77,6091700
2025-01-21,7.78,7.84,7.67,7.79,3968800
2025-01-22,7.8,7.88,7.7,7.87,5250200
2025-01-23,7.89,7.9,7.68,7.68,5544000
2025-01-24,7.69,7.76,7.58,7.6,4444600
2025-01-27,7.61,7.97,7.55,7.97,14940400
2025-01-28,7.98,7.98,7.77,7.8,5662200
2025-01-29,7.89,7.89,7.73,7.78,6012200
2025-01-30,7.78,8.16,7.78,8.12,7537200
2025-01-31,8.12,8.26,8.05,8.11,4561600
2025-02-03,8.12,8.14,8.01,8.11,3907700
2025-02-04,8.06,8.15,7.82,8.12,6030400
2025-02-05,8.07,8.38,7.98,8.36,6042500
2025-02-06,8.33,8.35,8.22,8.31,3336300
2025-02-07,8.35,8.37,8.13,8.14,5399500
2025-02-10,8.15,8.31,8.05,8.07,2701400
2025-02-11,8.06,8.38,8.0,8.36,5827300
2025-02-12,8.28,8.3,8.12,8.2,4359000
2025-02-13,8.2,8.33,8.12,8.3,2217900
2025-02-14,8.3,8.57,8.29,8.47,4658400
2025-02-17,8.47,9.02,8.43,8.82,11875300
2025-02-18,8.82,8.96,8.68,8.73,3835100
2025-02-19,8.67,8.8,8.62,8.66,3364000
2025-02-20,8.66,8.9,8.61,8.85,5309200
2025-02-21,8.88,8.94,8.77,8.82,4857800
2025-02-24,8.82,8.94,8.68,8.68,4395000
2025-02-25,8.47,8.59,8.06,8.44,9448200
2025-02-26,8.47,8.48,7.93,8.07,9493700
2025-02-27,8.02,8.16,7.94,7.96,7887700
2025-02-28,7.96,8.19,7.79,7.79,7881300
2025-03-05,7.82,7.91,7.69,7.87,7436200
2025-03-06,7.9,7.99,7.77,7.89,7298600
2025-03-07,7.85,8.14,7.83,8.05,5692100
2025-03-10,7.88,7.91,7.68,7.76,9860500
2025-03-11,7.78,7.79,7.5,7.5,7379500
2025-03-12,7.52,7.58,7.42,7.44,7344500
2025-03-13,7.46,7.57,7.39,7.52,5171300
2025-03-14,7.52,7.76,7.48,7.59,9254700
2025-03-17,7.61,7.82,7.54,7.81,5610800
2025-03-18,7.82,7.88,7.63,7.82,3748900
2025-03-19,7.82,7.87,7.69,7.73,9627300
2025-03-20,7.75,7.84,7.71,7.8,6264800
2025-03-21,7.78,8.0,7.77,7.92,8664700
2025-03-24,7.89,7.94,7.72,7.72,6871700
2025-03-25,7.71,7.83,7.68,7.77,5300100
2025-03-26,7.79,7.91,7.75,7.81,3121200
2025-03-27,7.84,7.87,7.77,7.79,4488100
2025-03-28,7.79,7.86,7.75,7.78,4840200
2025-03-31,7.77,7.77,7.44,7.44,10869100
2025-04-01,7.44,7.59,7.39,7.42,4292400
2025-04-02,7.43,7.54,7.39,7.39,4802700
2025-04-03,7.34,8.01,7.34,7.95,10705800
2025-04-04,7.8,7.84,7.63,7.65,4665300
2025-04-07,7.62,7.7,7.38,7.5,5197900
2025-04-08,7.52,7.65,7.45,7.52,5613200
2025-04-09,7.52,7.89,7.4,7.71,6219300
2025-04-10,7.67,7.77,7.6,7.67,3848100
2025-04-11,7.72,7.91,7.68,7.87,4186600
2025-04-14,7.92,8.01,7.75,7.89,5922600
2025-04-15,7.83,7.97,7.73,7.88,4375700
2025-04-16,7.85,7.88,7.73,7.81,3909100
