date,open,high,low,close,volume
2025-01-02,34.150002,34.380001,33.73,34.0,10854400
2025-01-03,33.869999,34.07,33.360001,33.549999,14388900
2025-01-06,33.939999,34.150002,33.57,33.98,8139400
2025-01-07,34.169998,34.400002,33.990002,34.169998,4703200
2025-01-08,33.919998,34.349998,33.549999,34.110001,10582100
2025-01-09,34.09,34.509998,33.98,34.5,6552400
2025-01-10,34.360001,34.369999,33.669998,34.150002,9776100
2025-01-13,33.98,34.16,33.790001,33.970001,4631500
2025-01-14,33.900002,34.150002,33.700001,34.099998,15795700
2025-01-15,34.299999,35.240002,34.290001,35.169998,9517800
2025-01-16,35.150002,35.240002,34.23,34.48,6111800
2025-01-17,34.619999,35.490002,34.220001,34.849998,13941600
2025-01-20,34.68,35.27,34.490002,35.02,4627800
2025-01-21,35.060001,35.48,34.91,35.23,3889500
2025-01-22,35.25,35.5,35.119999,35.119999,4662700
2025-01-23,35.189999,35.349998,34.77,34.880001,4522100
2025-01-24,34.779999,35.209999,34.720001,34.970001,4957800
2025-01-27,34.84,36.169998,34.84,36.16,9041900
2025-01-28,36.169998,36.360001,35.880001,35.98,4475800
2025-01-29,36.060001,36.119999,35.360001,35.389999,5602600
2025-01-30,35.419998,36.639999,35.380001,36.5,7400100
2025-01-31,36.57,36.759998,36.080002,36.09,7849700
2025-02-03,36.049999,37.080002,35.669998,36.549999,9939100
2025-02-04,36.41,36.549999,35.959999,36.110001,7971600
2025-02-05,36.099998,36.18,35.599998,35.919998,6391500
2025-02-06,35.799999,36.0,35.349998,35.5,5247200
2025-02-07,35.419998,35.639999,34.669998,34.75,8734800
2025-02-10,35.080002,35.529999,34.98,35.380001,6668400
2025-02-11,35.580002,36.110001,35.400002,36.060001,5862300
2025-02-12,35.459999,36.259998,35.259998,35.869999,14092900
2025-02-13,35.75,36.380001,35.599998,36.349998,7662000
2025-02-14,36.540001,37.75,36.509998,37.540001,10532600
2025-02-17,37.720001,38.950001,37.599998,38.689999,11853200
2025-02-18,38.639999,38.990002,37.93,38.209999,16311200
2025-02-19,37.91,38.189999,37.66,37.919998,7554400
2025-02-20,37.849998,38.080002,37.34,37.66,5253000
