date,open,high,low,close,volume
2025-01-02,29.450001,29.450001,28.190001,29.139999,2199700
2025-01-03,29.15,29.92,28.76,28.879999,1559300
2025-01-06,29.709999,30.549999,29.08,30.549999,1856700
2025-01-07,30.58,31.639999,30.549999,31.32,2623200
2025-01-08,31.01,31.01,30.129999,30.65,1000400
2025-01-09,30.5,31.190001,30.309999,30.700001,777000
2025-01-10,30.6,30.6,29.809999,30.110001,785700
2025-01-13,30.110001,30.110001,28.969999,29.700001,1702200
2025-01-14,29.76,30.43,29.41,30.299999,1490300
2025-01-15,30.459999,31.6,30.33,31.42,1621400
2025-01-16,31.389999,31.389999,30.26,30.540001,1165000
2025-01-17,30.610001,30.780001,29.969999,30.32,1823300
2025-01-20,30.0,31.370001,29.98,31.370001,1575900
2025-01-21,31.4,31.76,30.92,31.450001,1121800
2025-01-22,31.629999,32.689999,30.84,32.209999,2873800
2025-01-23,32.84,32.84,31.43,32.150002,2031700
2025-01-24,32.119999,32.68,31.799999,31.799999,905300
2025-01-27,31.799999,33.330002,31.549999,33.150002,1976200
2025-01-28,33.169998,33.84,32.790001,33.75,1369500
2025-01-29,33.799999,34.119999,33.439999,33.599998,1230400
2025-01-30,33.599998,35.16,33.57,34.68,3346500
2025-01-31,34.810001,34.810001,34.02,34.150002,1733600
2025-02-03,33.950001,34.169998,33.380001,34.169998,1293900
2025-02-04,33.869999,33.939999,32.869999,33.650002,1918600
2025-02-05,33.549999,33.919998,32.299999,33.540001,2211300
2025-02-06,33.5,34.529999,33.5,34.43,2612500
2025-02-07,34.43,34.43,33.630001,33.869999,3115700
2025-02-10,33.900002,34.560001,33.18,33.310001,994400
2025-02-11,33.259998,33.889999,32.330002,32.700001,1623500
2025-02-12,32.119999,32.34,31.370001,31.48,2165100
2025-02-13,31.48,31.48,30.76,31.200001,1604500
2025-02-14,31.52,32.360001,31.370001,32.02,2174300
2025-02-17,31.889999,32.560001,31.5,31.99,2760000
2025-02-18,32.0,32.810001,31.190001,32.810001,2180900
2025-02-19,32.389999,32.48,31.620001,31.620001,2434100
2025-02-20,31.780001,32.43,31.48,31.799999,1656800
2025-02-21,31.799999,31.940001,30.48,31.0,2264400
2025-02-24,31.280001,31.42,28.540001,28.690001,1631400
2025-02-25,28.700001,28.940001,27.719999,27.719999,2764700
2025-02-26,27.9,28.059999,26.58,26.790001,3126200
2025-02-27,26.9,27.559999,26.700001,27.07,1964400
2025-02-28,26.9,27.41,25.719999,26.0,2143100
2025-03-05,25.99,26.049999,25.219999,25.75,1118900
2025-03-06,25.879999,26.139999,25.4,25.83,1430000
2025-03-07,25.52,26.870001,25.200001,26.6,1734900
2025-03-10,26.26,26.889999,25.93,26.280001,1319600
2025-03-11,26.27,26.889999,26.120001,26.43,1295500
2025-03-12,24.879999,25.309999,22.889999,22.889999,16295500
2025-03-13,23.389999,24.200001,22.969999,24.0,5550300
2025-03-14,23.52,23.77,21.379999,21.5,11686700
2025-03-17,21.65,22.209999,21.24,21.76,10090600
2025-03-18,21.799999,23.200001,21.6,23.0,8450600
2025-03-19,23.5,23.889999,22.969999,23.440001,6384400
2025-03-20,23.57,24.18,23.379999,23.790001,2751100
2025-03-21,23.690001,24.0,23.389999,24.0,2878000
2025-03-24,24.02,24.530001,23.700001,23.91,2148000
2025-03-25,24.01,25.0,23.790001,23.790001,3117800
2025-03-26,23.790001,24.42,23.450001,24.23,2460800
2025-03-27,24.27,25.17,24.129999,25.0,2007400
2025-03-28,24.790001,25.0,24.030001,24.67,2258800
2025-03-31,24.379999,24.5,23.719999,24.5,1909400
2025-04-01,24.65,25.02,24.24,24.700001,1319600
2025-04-02,24.700001,25.200001,24.049999,25.040001,1861400
2025-04-03,24.99,26.139999,24.879999,25.57,1570300
2025-04-04,25.48,25.48,23.75,24.6,2545700
2025-04-07,23.780001,24.719999,23.299999,24.219999,2822900
2025-04-08,24.74,24.950001,24.02,24.75,2780800
2025-04-09,24.48,25.76,24.27,25.73,3623600
2025-04-10,25.4,25.780001,25.040001,25.23,973200
2025-04-11,25.440001,26.440001,25.1,26.24,2167800
2025-04-14,26.58,26.870001,26.07,26.790001,1063300
