date,open,high,low,close,volume
2025-01-02,11.31,11.5,11.13,11.4,31243900
2025-01-03,11.4,11.44,11.13,11.2,27722400
2025-01-06,11.34,11.58,11.28,11.42,30587800
2025-01-07,11.53,11.7,11.46,11.58,31934700
2025-01-08,11.5,11.56,11.32,11.4,35250500
2025-01-09,11.4,11.42,11.28,11.32,18386900
2025-01-10,11.32,11.33,11.07,11.18,46311500
2025-01-13,11.11,11.38,11.1,11.22,36560700
2025-01-14,11.23,11.49,11.06,11.43,43570500
2025-01-15,11.53,11.89,11.51,11.83,42795800
2025-01-16,11.82,11.83,11.59,11.73,37429100
2025-01-17,11.77,11.8,11.5,11.59,60743100
2025-01-20,11.54,11.64,11.45,11.63,17924700
2025-01-21,11.65,11.72,11.58,11.64,25985500
2025-01-22,11.73,11.73,11.43,11.48,42528000
2025-01-23,11.5,11.66,11.31,11.39,36035600
2025-01-24,11.4,11.41,11.21,11.3,45727800
2025-01-27,11.32,11.58,11.28,11.58,80300500
2025-01-28,11.55,11.73,11.43,11.63,24844400
2025-01-29,11.73,11.73,11.47,11.51,33371500
2025-01-30,11.54,12.25,11.51,12.14,56868200
2025-01-31,12.14,12.45,12.01,12.09,37528400
2025-02-03,12.09,12.17,11.92,12.07,32339300
2025-02-04,12.03,12.17,11.88,12.03,36005500
2025-02-05,12.15,12.38,11.91,12.31,42185200
2025-02-06,12.23,12.58,12.1,12.48,45483400
2025-02-07,12.3,12.43,11.86,11.99,129620600
2025-02-10,12.0,12.37,11.98,12.0,31716900
2025-02-11,12.05,12.37,12.03,12.28,40337300
2025-02-12,12.05,12.05,11.42,11.72,123782500
2025-02-13,11.76,12.02,11.72,11.88,44812400
2025-02-14,11.98,12.25,11.97,12.19,46996800
2025-02-17,12.29,12.34,12.19,12.21,17475100
2025-02-18,12.27,12.34,12.12,12.2,25805300
2025-02-19,12.12,12.15,11.94,11.98,38006500
2025-02-20,12.01,12.1,11.92,11.95,26359900
2025-02-21,12.0,12.02,11.72,11.84,45757000
2025-02-24,11.86,11.86,11.58,11.63,30213900
2025-02-25,11.72,11.81,11.65,11.77,33494400
2025-02-26,11.9,11.94,11.48,11.54,51824900
2025-02-27,11.55,11.62,11.43,11.47,40713100
2025-02-28,11.45,11.48,11.21,11.24,84387200
2025-03-05,11.24,11.55,11.24,11.47,41379800
2025-03-06,11.42,11.63,11.29,11.55,44187500
2025-03-07,11.48,11.8,11.42,11.69,29808500
2025-03-10,11.56,11.62,11.42,11.52,42234700
2025-03-11,11.53,11.55,11.27,11.45,43087500
2025-03-12,11.46,11.52,11.33,11.45,31708500
2025-03-13,11.46,11.72,11.39,11.65,35174100
2025-03-14,11.72,12.2,11.69,12.13,42086800
2025-03-17,12.14,12.41,12.13,12.31,23901600
2025-03-18,12.34,12.4,12.22,12.3,19650500
2025-03-19,12.3,12.53,12.22,12.41,25791100
2025-03-20,12.41,12.49,12.24,12.35,31369300
2025-03-21,12.38,12.59,12.36,12.52,74318800
2025-03-24,12.54,12.73,12.47,12.65,44562300
2025-03-25,12.7,13.29,12.65,12.86,63764400
2025-03-26,12.98,13.15,12.9,13.07,49065500
2025-03-27,13.1,13.17,12.96,13.02,40588300
2025-03-28,13.0,13.04,12.79,12.84,25978000
2025-03-31,12.77,12.77,12.57,12.67,38613400
2025-04-01,12.45,12.66,12.38,12.46,20578300
2025-04-02,12.48,12.55,12.34,12.47,18113400
2025-04-03,12.35,12.87,12.35,12.71,46295700
2025-04-04,12.48,12.66,12.34,12.57,48847400
2025-04-07,12.39,12.67,12.14,12.36,50116900
2025-04-08,12.47,12.54,11.91,12.02,56053800
2025-04-09,11.91,12.62,11.82,12.47,64688900
2025-04-10,12.39,12.45,12.16,12.45,29807400
2025-04-11,12.52,12.8,12.45,12.62,28170600
2025-04-14,12.8,12.83,12.58,12.73,18681300
2025-04-15,12.72,12.85,12.7,12.74,20639200
2025-04-16,12.69,12.96,12.68,12.72,29640200
2025-04-17,12.77,12.89,12.61,12.78,26318600
2025-04-22,12.72,12.84,12.6,12.73,23746500
2025-04-23,12.82,13.23,12.82,13.15,38980300
2025-04-24,13.19,13.45,13.16,13.36,28878200
2025-04-25,13.35,13.51,13.29,13.38,26229400
2025-04-28,13.39,13.57,13.32,13.35,19185700
2025-04-29,13.34,13.64,13.33,13.5,29771000
2025-04-30,13.4,13.75,13.33,13.73,55291100
2025-05-02,13.67,13.75,13.42,13.44,27262900
2025-05-05,13.45,13.58,13.24,13.3,32690500
2025-05-06,13.25,13.29,13.12,13.24,26635800
2025-05-07,13.29,13.36,12.95,13.04,45197400
2025-05-08,14.5,15.29,14.5,15.08,218670200
2025-05-09,15.02,15.34,14.83,15.12,58078200
2025-05-12,15.16,15.2,14.79,14.9,28273600
2025-05-13,14.9,15.25,14.9,15.22,41967000
2025-05-14,15.21,15.39,15.15,15.2,44162100
2025-05-15,15.27,15.54,15.25,15.35,37314300
2025-05-16,15.25,15.44,15.19,15.4,35982000
2025-05-19,15.36,15.66,15.33,15.54,34562300
2025-05-20,15.55,15.71,15.46,15.69,27806300
2025-05-21,15.6,15.66,15.27,15.41,25605500
2025-05-22,15.34,15.69,15.28,15.45,46122600
2025-05-23,15.37,15.69,15.0,15.64,35866200
2025-05-26,15.6,15.85,15.5,15.72,16875000
2025-05-27,15.84,16.24,15.8,16.040001,51944300
2025-05-28,16.049999,16.32,16.040001,16.15,53685300
2025-05-29,16.09,16.35,16.040001,16.08,35789500
2025-05-30,16.040001,16.219999,15.84,16.200001,55543700
2025-06-02,16.32,16.5,16.200001,16.24,26220300
2025-06-03,16.34,16.540001,16.209999,16.5,50865800
2025-06-04,16.52,16.790001,16.370001,16.450001,36692500
2025-06-05,16.5,16.5,15.9,15.97,36435500
2025-06-06,15.96,16.049999,15.84,15.96,19352100
2025-06-09,15.94,16.030001,15.55,15.84,28177300
2025-06-10,15.99,16.040001,15.77,15.83,27623200
2025-06-11,15.77,16.360001,15.65,16.32,48251000
2025-06-12,16.209999,16.540001,16.139999,16.48,38328100
2025-06-13,16.26,16.450001,16.139999,16.290001,29855200
2025-06-16,16.440001,16.74,16.42,16.639999,25238300
2025-06-17,16.629999,16.889999,16.610001,16.889999,33555400
2025-06-18,16.629999,16.950001,16.610001,16.76,32449600
2025-06-20,16.629999,16.74,16.49,16.620001,39693200
2025-06-23,16.59,16.59,16.27,16.49,25046300
2025-06-24,16.6,16.809999,16.51,16.540001,32515100
2025-06-25,16.530001,16.65,16.4,16.4,33727300
2025-06-26,16.469999,16.549999,16.23,16.549999,27870800
2025-06-27,16.41,16.629999,16.309999,16.57,28697200
2025-06-30,16.530001,16.83,16.48,16.83,30209500
2025-07-01,16.58,16.799999,16.559999,16.68,24480600
2025-07-02,16.68,16.68,16.200001,16.360001,29531300
