date,open,high,low,close,volume
2025-01-02,5.1,5.1,4.8,4.8,14516300
2025-01-03,4.8,4.87,4.71,4.76,9316200
2025-01-06,4.82,4.96,4.8,4.96,9052400
2025-01-07,4.97,5.02,4.81,4.94,9212600
2025-01-08,4.94,4.95,4.75,4.84,7863900
2025-01-09,4.84,5.2,4.81,5.12,10177000
2025-01-10,5.12,5.32,4.98,5.08,9294800
2025-01-13,5.02,5.09,4.81,4.81,9921000
2025-01-14,4.81,4.88,4.74,4.81,8419500
2025-01-15,4.86,4.98,4.81,4.97,7344400
2025-01-16,4.96,4.97,4.75,4.84,7681700
2025-01-17,4.86,5.08,4.81,5.02,9730600
2025-01-20,5.07,5.07,4.94,4.98,3883200
2025-01-21,4.97,5.0,4.87,4.97,6741600
2025-01-22,4.99,5.05,4.76,4.8,14628300
2025-01-23,4.81,4.81,4.48,4.48,20046100
2025-01-24,4.48,4.56,4.44,4.44,8614900
2025-01-27,4.45,4.88,4.41,4.88,13856300
2025-01-28,4.87,4.92,4.79,4.82,5088000
2025-01-29,4.86,4.91,4.74,4.81,4378600
2025-01-30,4.85,4.99,4.81,4.94,6240100
2025-01-31,4.96,4.97,4.83,4.84,5369200
2025-02-03,4.78,4.92,4.77,4.82,5400000
2025-02-04,4.81,4.81,4.68,4.68,4933600
2025-02-05,4.7,4.7,4.56,4.59,5711300
2025-02-06,4.59,4.7,4.57,4.66,5109600
2025-02-07,4.64,4.66,4.44,4.44,8543200
2025-02-10,4.45,4.59,4.42,4.48,5787300
2025-02-11,4.46,4.58,4.43,4.56,3474600
2025-02-12,4.55,4.55,4.37,4.37,7673200
2025-02-13,4.39,4.39,4.29,4.29,6493500
2025-02-14,4.32,4.54,4.32,4.52,8210900
2025-02-17,4.52,4.75,4.52,4.66,8599000
2025-02-18,4.65,4.86,4.61,4.79,8590000
2025-02-19,4.76,4.93,4.6,4.6,10061500
2025-02-20,4.59,4.68,4.53,4.54,5831600
2025-02-21,4.54,4.61,4.46,4.55,7128200
2025-02-24,4.58,4.61,4.34,4.37,6272100
2025-02-25,4.37,4.46,4.33,4.35,5601500
2025-02-26,4.37,4.4,4.27,4.29,5858300
2025-02-27,4.29,4.53,4.24,4.5,7272500
2025-02-28,4.48,4.65,4.34,4.42,11345700
2025-03-05,4.4,4.64,4.4,4.62,6000700
2025-03-06,4.57,4.78,4.57,4.76,6515900
2025-03-07,4.71,4.9,4.7,4.79,7565600
2025-03-10,4.75,4.88,4.73,4.79,5322900
2025-03-11,4.78,4.8,4.63,4.7,4885000
2025-03-12,4.7,4.9,4.7,4.9,5638600
2025-03-13,4.91,5.13,4.83,5.08,6913000
2025-03-14,5.07,5.37,5.07,5.37,7898900
2025-03-17,5.38,5.42,5.21,5.35,6001700
2025-03-18,5.3,5.58,5.21,5.49,7914800
2025-03-19,5.5,5.6,5.44,5.59,14339600
2025-03-20,5.7,6.26,5.67,6.06,29013600
2025-03-21,6.03,6.11,5.84,5.93,11341500
2025-03-24,5.95,6.03,5.78,5.81,7522000
2025-03-25,5.8,6.1,5.8,5.98,7249900
2025-03-26,6.06,6.07,5.76,5.79,8783500
2025-03-27,5.79,6.24,5.79,6.07,12976800
2025-03-28,6.09,6.32,6.03,6.21,8027000
2025-03-31,6.15,6.39,6.12,6.32,7683900
2025-04-01,6.34,6.74,6.28,6.51,14344400
2025-04-02,6.51,6.68,6.47,6.58,7279400
2025-04-03,6.52,6.67,6.37,6.46,10829600
2025-04-04,6.37,6.68,6.28,6.47,14340800
2025-04-07,6.32,6.58,6.28,6.44,8263700
2025-04-08,6.21,6.36,6.06,6.25,26519000
2025-04-09,6.18,6.9,6.18,6.76,25581600
2025-04-10,6.72,7.02,6.69,6.8,19792100
2025-04-11,6.82,7.12,6.81,6.97,14188700
2025-04-14,6.87,6.91,6.48,6.77,24444200
2025-04-15,6.77,6.93,6.66,6.9,10239900
2025-04-16,6.81,7.3,6.81,7.2,19410600
2025-04-17,7.24,7.58,7.16,7.41,16396300
2025-04-22,7.43,7.8,7.4,7.68,10596800
2025-04-23,6.879644,7.189538,6.853081,7.012455,15632399
2025-04-24,7.083288,7.295787,6.587458,6.640583,29092135
2025-04-25,6.640583,6.994747,6.552042,6.932768,33635675
2025-04-28,6.835373,6.897352,6.295272,6.622874,35107082
2025-04-29,6.667145,6.773394,6.366105,6.436938,34754590
2025-04-30,5.65,6.14,5.59,5.91,23470800
2025-05-02,5.9,6.01,5.64,6.01,16846500
2025-05-05,6.03,6.12,5.77,5.82,12902600
2025-05-06,5.79,5.83,5.42,5.45,17705500
2025-05-07,5.43,5.59,5.43,5.59,10658900
2025-05-08,5.65,5.82,5.16,5.16,30979200
2025-05-09,5.21,5.26,4.91,4.96,24425900
2025-05-12,5.01,5.2,4.93,5.07,25909500
2025-05-13,5.1,5.22,4.99,5.11,25063200
2025-05-14,5.15,5.18,5.08,5.15,20600800
2025-05-15,5.15,5.24,5.1,5.14,21277900
2025-05-16,5.14,5.27,5.08,5.19,13463400
2025-05-19,5.16,5.34,5.12,5.2,14747600
2025-05-20,5.2,5.33,5.11,5.23,15778700
2025-05-21,5.23,5.23,5.05,5.05,14810800
2025-05-22,5.07,5.16,5.03,5.06,29081000
2025-05-23,5.09,5.17,5.04,5.17,21417800
2025-05-26,5.2,5.2,4.99,5.04,20313400
2025-05-27,5.1,5.2,5.02,5.05,20201100
2025-05-28,5.09,5.25,5.04,5.22,20411100
2025-05-29,5.2,5.21,4.99,5.02,21328800
2025-05-30,5.04,5.1,4.99,5.04,13383900
2025-06-02,5.08,5.14,4.94,5.13,17771400
2025-06-03,5.12,5.17,5.05,5.05,18106300
2025-06-04,5.06,5.08,4.67,4.69,37679200
2025-06-05,4.71,4.92,4.71,4.92,17892500
2025-06-06,4.95,5.04,4.9,4.9,13814500
2025-06-09,4.85,4.95,4.74,4.95,11526700
2025-06-10,4.99,5.19,4.99,5.1,15342200
2025-06-11,5.1,5.15,5.02,5.07,13568600
2025-06-12,5.05,5.13,4.97,5.08,16420400
2025-06-13,5.02,5.05,4.86,4.86,16387200
2025-06-16,4.92,4.96,4.85,4.92,11562300
2025-06-17,4.92,4.93,4.76,4.78,8616400
2025-06-18,4.92,4.93,4.74,4.92,16097700
2025-06-20,4.84,4.88,4.79,4.87,8514400
2025-06-23,4.87,4.91,4.78,4.81,8085300
2025-06-24,4.87,4.88,4.73,4.74,15072100
2025-06-25,4.87,4.95,4.74,4.81,16631800
2025-06-26,4.86,4.89,4.81,4.86,10252700
2025-06-27,4.85,4.86,4.77,4.82,9226100
2025-06-30,4.82,4.91,4.8,4.9,8213600
2025-07-01,4.93,5.07,4.89,5.01,15824100
2025-07-02,5.05,5.08,4.87,4.99,14506500
2025-07-03,5.01,5.11,4.93,5.11,16802700
2025-07-04,5.11,5.22,5.08,5.17,9927800
2025-07-07,5.17,5.38,5.14,5.23,15815200
2025-07-08,5.24,5.66,5.2,5.66,26674100
2025-07-09,5.6,5.67,5.41,5.48,17550900
2025-07-10,5.19,5.42,4.96,5.41,31116800
2025-07-11,5.42,5.46,5.3,5.38,10237200
2025-07-14,5.38,5.38,5.05,5.25,22164900
2025-07-15,5.3,5.4,5.19,5.32,11995900
2025-07-16,5.31,5.31,5.13,5.3,9285700
2025-07-17,5.31,5.49,5.3,5.4,13864500
2025-07-18,5.32,5.32,5.1,5.12,14926000
2025-07-21,5.15,5.24,5.12,5.13,7995700
2025-07-22,5.16,5.17,5.05,5.09,9041600
2025-07-23,5.07,5.26,5.06,5.24,11465200
2025-07-24,5.19,5.19,5.05,5.07,10575300
2025-07-25,5.07,5.14,5.05,5.09,6827000
2025-07-28,5.1,5.11,4.97,5.0,6824300
2025-07-29,5.01,5.09,4.96,5.01,10348000
2025-07-30,4.99,5.2,4.98,5.17,16355700
2025-07-31,5.1,5.14,4.89,4.94,14328100
2025-08-01,4.99,5.09,4.91,4.94,10083300
2025-08-04,5.01,5.02,4.84,4.89,8381300
2025-08-05,4.89,5.03,4.86,4.94,11242200
2025-08-06,5.01,5.32,4.98,5.25,19573000
2025-08-07,5.4,5.41,4.97,4.98,38460800
2025-08-08,4.99,5.07,4.95,5.04,9919000
2025-08-11,5.04,5.1,5.0,5.02,8583100
2025-08-12,5.06,5.1,4.89,4.93,14665300
2025-08-13,4.95,4.95,4.74,4.86,13924600
