date,open,high,low,close,volume
2025-01-02,27.450001,27.48,26.719999,27.1,6061600
2025-01-03,27.0,27.34,26.68,26.719999,6595900
2025-01-06,27.0,27.549999,26.91,27.549999,8885500
2025-01-07,28.1,28.73,27.780001,28.040001,8694000
2025-01-08,27.84,28.129999,27.66,27.92,8663100
2025-01-09,27.9,28.66,27.870001,28.6,6302600
2025-01-10,28.6,28.75,27.57,27.73,7471800
2025-01-13,28.27,28.709999,28.15,28.32,7654400
2025-01-14,28.43,28.68,28.110001,28.52,6522400
2025-01-15,28.799999,30.52,28.75,30.16,16103900
2025-01-16,30.16,30.25,29.889999,30.129999,12279600
2025-01-17,30.43,30.43,29.700001,30.049999,7532300
2025-01-20,29.75,30.469999,29.620001,30.219999,4292100
2025-01-21,30.16,30.620001,30.16,30.4,5807000
2025-01-22,30.450001,31.120001,30.07,30.889999,9958100
2025-01-23,30.9,31.35,30.809999,30.92,13909000
2025-01-24,30.77,31.139999,30.73,30.99,5799300
2025-01-27,30.99,31.67,30.92,31.66,7377900
2025-01-28,31.610001,31.620001,31.35,31.41,4713400
2025-01-29,31.700001,31.700001,31.059999,31.23,3869900
2025-01-30,31.299999,32.18,31.27,32.049999,7756800
2025-01-31,32.099998,32.990002,31.969999,32.57,14859200
2025-02-03,32.52,32.66,31.9,32.0,7490300
2025-02-04,31.9,32.099998,31.370001,31.620001,8052500
2025-02-05,31.440001,31.82,30.91,31.700001,7522400
2025-02-06,31.66,32.310001,31.24,32.099998,8169400
2025-02-07,32.099998,32.5,31.940001,32.119999,10328400
2025-02-10,32.5,32.5,31.43,31.549999,14660500
2025-02-11,31.549999,32.779999,31.52,32.32,11255300
2025-02-12,31.76,32.200001,31.51,31.709999,13749500
2025-02-13,31.52,31.860001,31.25,31.610001,6320100
2025-02-14,31.99,33.240002,31.84,33.040001,11688000
2025-02-17,33.040001,33.75,33.040001,33.419998,5263900
2025-02-18,33.5,33.720001,33.150002,33.52,6240400
2025-02-19,33.16,33.34,32.740002,32.880001,7959200
2025-02-20,33.080002,33.450001,32.57,33.299999,8618600
2025-02-21,33.299999,33.450001,32.91,33.310001,11963400
2025-02-24,33.400002,33.400002,32.419998,32.639999,8091400
2025-02-25,32.75,32.990002,32.380001,32.43,10105900
2025-02-26,32.799999,32.830002,32.200001,32.389999,11152700
2025-02-27,32.43,32.66,32.040001,32.040001,11958400
2025-02-28,32.009998,32.23,31.5,31.58,13479100
2025-03-05,31.35,32.029999,31.049999,31.940001,10101800
2025-03-06,31.940001,32.040001,31.370001,31.450001,10279800
2025-03-07,31.209999,32.650002,30.940001,32.080002,7194400
2025-03-10,31.799999,32.150002,31.57,31.879999,6403700
2025-03-11,31.959999,32.450001,31.450001,31.93,7062000
2025-03-12,32.099998,32.459999,31.99,32.330002,8835100
2025-03-13,32.41,33.5,32.110001,33.380001,11654800
2025-03-14,33.5,34.419998,33.330002,33.939999,10124600
2025-03-17,34.040001,35.080002,33.860001,34.900002,8721200
2025-03-18,34.75,35.66,34.75,35.57,10512700
2025-03-19,35.57,36.200001,35.490002,35.82,11984200
2025-03-20,35.779999,36.099998,35.330002,35.57,6626800
2025-03-21,35.400002,36.080002,35.299999,35.799999,13364500
2025-03-24,36.130001,36.16,35.139999,35.220001,6618700
2025-03-25,35.23,35.689999,35.220001,35.459999,6208300
2025-03-26,35.799999,35.799999,35.02,35.32,5115000
2025-03-27,35.419998,35.5,34.619999,34.919998,10046100
2025-03-28,34.700001,35.470001,34.52,34.900002,7313800
2025-03-31,34.200001,34.200001,33.549999,33.700001,19678400
2025-04-01,33.900002,34.139999,33.529999,34.130001,12950200
2025-04-02,34.16,34.580002,33.790001,34.360001,3920300
2025-04-03,34.459999,35.360001,34.110001,34.810001,7359000
2025-04-04,34.48,34.48,32.779999,33.02,7358600
2025-04-07,32.610001,34.450001,32.27,33.650002,10317700
2025-04-08,33.650002,34.400002,33.389999,33.599998,14001200
2025-04-09,33.400002,34.82,32.549999,34.029999,14262400
2025-04-10,33.709999,33.709999,32.990002,33.580002,8755800
2025-04-11,33.759998,33.84,33.310001,33.57,8776800
2025-04-14,33.740002,34.5,33.619999,34.380001,6055800
2025-04-15,34.369999,34.599998,34.07,34.299999,4435700
2025-04-16,34.110001,34.380001,33.709999,34.029999,5708900
2025-04-17,34.25,34.73,33.830002,34.73,6110000
2025-04-22,34.310001,35.259998,34.310001,34.950001,5247900
2025-04-23,35.349998,35.950001,35.310001,35.720001,6784300
2025-04-24,36.080002,36.470001,35.580002,36.099998,7774800
2025-04-25,36.099998,36.75,35.959999,36.599998,8555400
2025-04-28,36.880001,37.310001,36.560001,37.119999,7502500
2025-04-29,37.119999,37.459999,36.970001,37.400002,8055700
2025-04-30,37.310001,38.34,37.18,38.110001,9105400
2025-05-02,37.650002,38.23,37.560001,37.75,8443000
2025-05-05,37.919998,38.080002,37.34,37.470001,5567500
2025-05-06,37.52,37.52,37.18,37.360001,4624200
2025-05-07,37.689999,37.84,37.41,37.799999,4657900
2025-05-08,38.220001,40.59,38.220001,40.09,19387200
2025-05-09,39.900002,41.0,39.84,40.810001,14974100
2025-05-12,40.459999,41.049999,39.299999,39.75,12741200
2025-05-13,39.66,41.060001,39.52,40.549999,10157700
2025-05-14,40.48,40.990002,40.139999,40.400002,8310400
2025-05-15,40.299999,40.84,40.040001,40.509998,7344300
2025-05-16,40.5,40.5,39.549999,39.939999,6980500
2025-05-19,39.75,40.799999,39.689999,40.5,6551900
2025-05-20,40.77,40.77,39.509998,40.02,5509300
2025-05-21,39.700001,40.0,39.18,39.540001,6493500
2025-05-22,39.599998,40.439999,39.310001,39.619999,6092600
2025-05-23,38.060001,39.700001,38.060001,39.689999,7504500
2025-05-26,39.700001,40.200001,39.610001,39.950001,2309500
2025-05-27,40.959999,41.27,40.5,41.049999,9944800
2025-05-28,41.009998,41.299999,40.700001,41.290001,5319300
2025-05-29,41.0,41.360001,40.150002,40.610001,3989500
2025-05-30,40.990002,40.990002,39.5,39.549999,12965900
2025-06-02,39.950001,40.560001,39.419998,39.740002,8711000
2025-06-03,39.349998,40.77,39.349998,40.549999,5752100
2025-06-04,40.599998,40.900002,40.279999,40.41,8068100
2025-06-05,40.450001,40.759998,39.91,40.200001,7688900
2025-06-06,40.450001,40.529999,39.73,40.0,3675900
2025-06-09,39.73,40.049999,39.400002,39.799999,7978900
2025-06-10,40.0,40.610001,39.709999,39.709999,4586000
2025-06-11,39.540001,40.740002,39.5,40.18,8325800
2025-06-12,40.0,41.25,39.779999,41.209999,6015200
2025-06-13,41.0,41.040001,40.509998,40.509998,6730800
2025-06-16,40.779999,41.75,40.68,41.400002,4994100
2025-06-17,41.709999,41.830002,41.43,41.709999,4150000
2025-06-18,41.689999,42.110001,41.259998,41.799999,6693300
2025-06-20,41.32,41.82,41.240002,41.82,6190600
2025-06-23,41.830002,41.849998,40.77,41.549999,8456300
2025-06-24,41.689999,42.709999,41.529999,42.450001,8191600
2025-06-25,42.0,42.259998,41.709999,42.150002,12470200
2025-06-26,42.389999,42.389999,41.779999,42.16,5527300
2025-06-27,41.810001,42.200001,41.490002,41.689999,4379300
2025-06-30,41.57,42.57,41.34,42.25,8334500
2025-07-01,42.279999,42.869999,42.040001,42.869999,4238200
2025-07-02,43.130001,43.130001,41.290001,41.540001,10367900
2025-07-03,41.5,42.689999,41.450001,42.299999,5225300
2025-07-04,42.099998,42.720001,41.82,42.439999,2710000
2025-07-07,42.290001,42.290001,41.75,41.990002,4649100
2025-07-08,41.5,41.669998,40.57,41.0,13216400
2025-07-09,40.669998,41.18,40.650002,41.16,21627200
2025-07-10,40.57,40.959999,39.900002,40.799999,14172500
2025-07-11,40.689999,41.049999,40.209999,40.830002,7406300
2025-07-14,40.860001,40.98,40.41,40.599998,4004400
2025-07-15,40.900002,41.150002,40.130001,40.23,7307500
2025-07-16,40.330002,41.18,40.119999,41.049999,16498800
2025-07-17,40.700001,41.919998,40.389999,41.709999,6837400
2025-07-18,41.349998,42.099998,39.889999,40.330002,13833800
2025-07-21,40.099998,40.599998,39.380001,39.799999,7863800
2025-07-22,40.0,40.549999,39.330002,39.68,6280800
2025-07-23,39.700001,40.389999,39.389999,40.389999,6641600
2025-07-24,39.82,40.150002,39.43,39.459999,4727100
2025-07-25,39.459999,39.779999,39.009998,39.360001,4980000
2025-07-28,39.360001,39.459999,38.09,38.490002,9459000
2025-07-29,38.799999,38.98,38.439999,38.720001,8888000
2025-07-30,38.59,39.5,38.18,39.119999,17070700
2025-07-31,39.32,39.5,38.220001,39.130001,5961700
2025-08-01,39.950001,40.080002,38.91,39.07,4618300
2025-08-04,39.57,39.66,38.919998,39.169998,3932900
