date,open,high,low,close,volume
2025-01-02,16.58,16.610001,16.379999,16.49,2552900
2025-01-03,16.389999,16.42,16.0,16.02,4170400
2025-01-06,16.15,16.290001,16.01,16.07,3461400
2025-01-07,16.110001,16.17,15.83,15.91,3012000
2025-01-08,15.86,15.89,15.64,15.64,3096900
2025-01-09,15.7,15.82,15.56,15.6,2284400
2025-01-10,15.65,15.91,15.56,15.73,2935000
2025-01-13,15.75,15.81,15.48,15.53,3301700
2025-01-14,15.61,15.79,15.57,15.71,3630700
2025-01-15,15.82,16.139999,15.73,16.02,4262000
2025-01-16,15.86,16.34,15.51,16.24,7254100
2025-01-17,16.389999,16.700001,16.34,16.68,4079500
2025-01-20,16.67,16.719999,16.49,16.700001,2506500
2025-01-21,16.74,16.790001,16.48,16.66,4305900
2025-01-22,16.75,16.76,16.23,16.32,3208200
2025-01-23,16.34,16.43,16.15,16.23,3052800
2025-01-24,16.33,16.440001,16.24,16.299999,2082200
2025-01-27,16.23,16.530001,16.190001,16.48,3267100
2025-01-28,16.469999,16.469999,16.129999,16.200001,2776500
2025-01-29,16.309999,16.41,16.190001,16.299999,1836200
2025-01-30,16.33,17.1,16.33,16.93,2478100
2025-01-31,16.93,16.99,16.610001,16.65,3068100
2025-02-03,16.549999,16.73,16.52,16.639999,2006700
2025-02-04,16.549999,16.700001,16.459999,16.540001,1744200
2025-02-05,16.5,16.639999,16.42,16.549999,3377500
2025-02-06,16.76,16.92,16.719999,16.83,3502400
2025-02-07,16.83,16.950001,16.610001,16.75,2983100
2025-02-10,16.809999,16.85,16.68,16.790001,3112000
2025-02-11,16.68,16.879999,16.5,16.84,3009900
2025-02-12,16.719999,16.799999,16.6,16.620001,3505800
2025-02-13,16.620001,16.700001,16.48,16.700001,2648400
2025-02-14,16.780001,17.030001,16.77,16.93,2584500
2025-02-17,16.9,17.030001,16.83,16.84,1594300
2025-02-18,16.950001,17.08,16.879999,16.879999,1646700
2025-02-19,16.799999,16.9,16.629999,16.85,2730200
2025-02-20,17.120001,17.530001,17.049999,17.290001,5186200
2025-02-21,17.290001,17.51,17.24,17.459999,3855900
2025-02-24,17.389999,17.620001,17.25,17.33,2344700
2025-02-25,17.24,17.27,17.120001,17.17,1794400
2025-02-26,17.280001,17.34,17.09,17.120001,1637800
2025-02-27,17.129999,17.27,16.780001,16.950001,3836700
2025-02-28,16.790001,16.9,16.57,16.6,2433500
2025-03-05,16.610001,16.82,16.610001,16.76,2347900
2025-03-06,16.76,16.98,16.68,16.85,4711700
2025-03-07,16.799999,17.190001,16.610001,17.139999,3340100
2025-03-10,16.85,16.969999,16.639999,16.860001,4078800
2025-03-11,16.91,16.99,16.66,16.969999,2167600
2025-03-12,16.959999,16.959999,16.6,16.719999,1910900
2025-03-13,16.75,17.190001,16.690001,17.030001,2056800
2025-03-14,17.190001,17.620001,17.1,17.5,3754000
2025-03-17,17.58,17.83,17.42,17.75,2752500
2025-03-18,17.85,17.860001,17.59,17.799999,1647300
2025-03-19,17.76,17.92,17.66,17.74,4479000
2025-03-20,17.639999,17.860001,17.51,17.76,4144800
2025-03-21,18.02,18.129999,17.75,17.93,7533900
2025-03-24,18.200001,18.290001,17.98,18.059999,3647200
2025-03-25,18.040001,18.299999,18.01,18.129999,3823900
2025-03-26,18.049999,18.389999,18.040001,18.24,3638300
2025-03-27,18.4,18.52,18.280001,18.379999,2742500
2025-03-28,18.4,18.450001,18.17,18.23,2703100
2025-03-31,18.049999,18.09,17.809999,17.91,3400400
2025-04-01,17.98,18.4,17.91,18.049999,7367700
2025-04-02,18.049999,18.120001,17.84,17.870001,3779600
2025-04-03,17.540001,17.629999,17.299999,17.33,6464000
2025-04-04,16.870001,16.99,16.440001,16.709999,8751100
2025-04-07,16.360001,17.01,16.32,16.52,5273500
2025-04-08,16.67,16.860001,15.89,15.9,9151600
2025-04-09,15.87,16.870001,15.76,16.719999,10636100
2025-04-10,16.790001,16.98,16.639999,16.9,4973900
2025-04-11,16.940001,17.299999,16.809999,17.17,4021500
2025-04-14,17.41,17.559999,17.360001,17.440001,3564000
2025-04-15,17.42,17.469999,17.030001,17.120001,3723400
2025-04-16,17.040001,17.07,16.719999,16.82,4048000
2025-04-17,16.809999,17.16,16.67,17.0,5176100
2025-04-22,17.059999,17.4,16.950001,17.27,5332600
2025-04-23,17.51,17.870001,17.51,17.549999,8383000
2025-04-24,17.639999,17.99,17.57,17.93,5732300
2025-04-25,17.75,17.84,17.51,17.59,8773400
2025-04-28,16.51,16.620001,16.389999,16.620001,8293900
2025-04-29,16.639999,16.700001,16.48,16.530001,4342400
2025-04-30,16.299999,16.33,16.09,16.190001,4921400
2025-05-02,16.290001,16.42,16.15,16.23,3362500
2025-05-05,16.280001,16.280001,16.059999,16.15,3016000
2025-05-06,16.18,16.26,16.049999,16.110001,2903200
2025-05-07,16.200001,16.200001,16.0,16.049999,3479800
2025-05-08,16.139999,16.16,15.99,16.08,2758600
2025-05-09,16.08,16.18,16.030001,16.17,2744500
2025-05-12,16.559999,16.719999,16.5,16.610001,5744500
2025-05-13,16.66,16.82,16.540001,16.76,3673900
2025-05-14,16.82,16.969999,16.700001,16.799999,2496900
2025-05-15,16.799999,16.969999,16.799999,16.870001,2857300
2025-05-16,16.82,17.030001,16.75,16.959999,3007000
2025-05-19,16.84,16.99,16.84,16.92,1902300
2025-05-20,16.85,16.92,16.780001,16.92,2210300
2025-05-21,16.879999,16.889999,16.540001,16.67,3755200
2025-05-22,16.629999,16.66,16.1,16.129999,8501000
2025-05-23,16.02,16.17,15.91,16.1,5155200
2025-05-26,16.08,16.08,15.82,15.92,3861000
2025-05-27,15.95,15.95,15.5,15.83,11558200
2025-05-28,15.8,15.88,15.63,15.82,4117900
2025-05-29,15.86,16.030001,15.78,15.96,4014700
2025-05-30,15.96,16.040001,15.6,15.6,3986200
2025-06-02,15.71,15.73,15.56,15.65,3439000
2025-06-03,15.64,15.77,15.56,15.65,2612800
2025-06-04,15.7,15.94,15.67,15.75,3330800
2025-06-05,15.77,16.0,15.74,15.74,2482700
2025-06-06,15.78,15.9,15.72,15.87,2712300
2025-06-09,15.8,15.92,15.68,15.87,2765400
2025-06-10,15.91,16.08,15.86,15.93,4171300
2025-06-11,15.97,15.97,15.72,15.85,3122000
2025-06-12,15.77,15.87,15.67,15.87,3810900
2025-06-13,15.7,15.78,15.58,15.61,4586900
2025-06-16,15.68,16.1,15.65,15.98,6132000
2025-06-17,15.97,16.040001,15.38,15.5,7915900
2025-06-18,15.5,15.52,15.3,15.32,4624000
2025-06-20,15.32,15.39,15.02,15.07,6589100
2025-06-23,15.09,15.16,14.99,15.14,4823200
2025-06-24,15.2,15.29,15.11,15.17,3976200
2025-06-25,15.15,15.19,14.94,15.1,2969600
2025-06-26,15.19,15.55,15.17,15.45,3828800
2025-06-27,15.48,15.68,15.41,15.61,4598000
2025-06-30,15.6,15.75,15.5,15.7,3954300
2025-07-01,15.71,15.97,15.67,15.89,2701200
2025-07-02,15.98,16.5,15.97,16.48,5016600
2025-07-03,16.48,16.610001,16.41,16.469999,2589000
2025-07-04,16.41,16.5,16.309999,16.49,1146000
2025-07-07,16.48,16.5,16.209999,16.33,2066000
2025-07-08,16.26,16.540001,16.26,16.35,1965000
2025-07-09,16.290001,16.34,16.09,16.16,1927700
2025-07-10,16.299999,16.98,16.25,16.549999,6926600
2025-07-11,16.459999,16.709999,16.450001,16.66,2067300
2025-07-14,16.67,16.67,16.35,16.450001,1869400
2025-07-15,16.389999,16.41,15.94,16.059999,4711700
2025-07-16,16.110001,16.24,15.99,16.129999,2197900
2025-07-17,16.18,16.26,16.1,16.129999,4742200
2025-07-18,16.0,16.23,15.99,16.190001,2404000
2025-07-21,16.43,16.790001,16.4,16.58,3725400
2025-07-22,16.73,17.190001,16.67,16.940001,5224300
2025-07-23,16.91,17.040001,16.75,16.98,3214600
2025-07-24,16.889999,16.92,16.73,16.77,2364500
2025-07-25,16.77,16.780001,16.370001,16.52,2648600
2025-07-28,16.27,16.42,16.139999,16.26,3293700
2025-07-29,16.299999,16.389999,16.190001,16.200001,1938200
2025-07-30,16.139999,16.200001,15.78,15.9,4264500
2025-07-31,15.7,15.79,15.46,15.74,5034600
2025-08-01,15.94,16.059999,15.63,15.7,6448700
2025-08-04,15.85,15.94,15.7,15.86,3637500
2025-08-05,15.87,16.01,15.75,15.81,3909100
2025-08-06,15.9,15.94,15.61,15.68,1912600
2025-08-07,15.69,15.84,15.67,15.77,2456100
2025-08-08,15.77,16.23,15.75,16.01,3967000
2025-08-11,16.1,16.290001,16.0,16.040001,1781500
2025-08-12,16.120001,16.48,16.120001,16.34,4857100
2025-08-13,16.23,16.41,16.07,16.15,6924400
2025-08-14,16.0,16.01,15.77,15.81,2363200
2025-08-15,15.85,15.92,15.71,15.82,2407100
2025-08-18,15.81,16.0,15.79,15.88,1933100
2025-08-19,15.9,15.95,15.69,15.82,2910100
2025-08-20,15.77,15.88,15.68,15.7,2402300
2025-08-21,15.67,15.89,15.67,15.79,3657700
2025-08-22,15.79,16.24,15.79,16.129999,2110700
2025-08-25,16.309999,16.370001,16.0,16.059999,2915600
2025-08-26,16.120001,16.200001,15.98,16.17,3394100
2025-08-27,16.1,16.290001,16.1,16.27,3596900
2025-08-28,16.4,16.57,16.35,16.35,4422600
2025-08-29,16.43,16.450001,16.33,16.379999,2173300
2025-09-01,16.34,16.440001,16.24,16.440001,2946600
2025-09-02,16.309999,16.450001,16.15,16.34,2727500
2025-09-03,16.32,16.58,16.27,16.34,1682700
2025-09-04,16.34,16.58,16.34,16.49,2370700
2025-09-05,16.6,16.73,16.549999,16.6,1614400
2025-09-08,16.610001,16.76,16.57,16.76,2747100
2025-09-09,16.82,17.139999,16.629999,16.68,3318700
2025-09-10,16.790001,16.940001,16.65,16.65,1600400
2025-09-11,16.629999,16.870001,16.6,16.780001,3013300
2025-09-12,16.709999,16.91,16.709999,16.860001,2093600
2025-09-15,16.959999,17.030001,16.83,16.889999,2183200
2025-09-16,16.98,17.09,16.860001,16.98,2273000
2025-09-17,16.969999,17.17,16.870001,17.07,2031200
2025-09-18,17.049999,17.16,16.99,17.120001,1885700
2025-09-19,17.120001,17.23,17.030001,17.08,4332400
2025-09-22,17.08,17.209999,17.030001,17.09,2753400
2025-09-23,17.17,17.200001,17.0,17.15,1540700
2025-09-24,17.15,17.200001,17.07,17.08,1353800
2025-09-25,17.09,17.299999,17.09,17.17,2250500
2025-09-26,17.09,17.120001,16.73,16.91,2180900
2025-09-29,17.0,17.08,16.92,16.969999,1705500
2025-09-30,17.059999,17.07,16.870001,16.93,3183200
2025-10-01,16.969999,17.24,16.969999,17.02,2504900
2025-10-02,17.030001,17.200001,17.01,17.16,1297600
2025-10-03,17.16,17.290001,17.07,17.16,1030900
2025-10-06,17.209999,17.450001,17.15,17.379999,2906900
2025-10-07,17.299999,17.370001,17.1,17.15,1194300
2025-10-08,17.15,17.32,17.139999,17.139999,4231700
2025-10-09,17.299999,17.52,17.059999,17.059999,2669400
2025-10-10,17.139999,17.290001,16.99,17.1,2199700
2025-10-13,17.32,17.389999,17.219999,17.309999,1004200
2025-10-14,17.18,17.370001,17.129999,17.219999,1023000
2025-10-15,17.110001,17.42,17.110001,17.309999,2915900
2025-10-16,17.26,17.35,17.17,17.24,1554600
2025-10-17,17.200001,17.290001,17.139999,17.23,957700
2025-10-20,17.23,17.73,17.23,17.58,2724000
2025-10-21,17.58,17.66,17.48,17.5,1061700
2025-10-22,17.65,17.799999,17.559999,17.68,1273100
2025-10-23,17.75,17.809999,17.58,17.58,1046400
2025-10-24,17.629999,17.77,17.59,17.629999,1306300
2025-10-27,17.719999,17.85,17.65,17.75,1970800
2025-10-28,17.73,17.959999,17.709999,17.85,2317300
2025-10-29,17.959999,18.290001,17.959999,18.15,3581800
2025-10-30,18.110001,18.290001,18.02,18.200001,1655000
2025-10-31,18.299999,18.610001,18.27,18.540001,6156100
2025-11-03,18.65,19.040001,18.52,19.040001,16227400
2025-11-04,18.889999,19.01,18.76,18.889999,4432700
2025-11-05,18.889999,19.33,18.83,19.17,10164700
2025-11-06,19.17,19.25,19.1,19.18,4464600
2025-11-07,19.08,19.1,18.780001,18.780001,2908200
2025-11-10,18.92,19.139999,18.860001,18.9,8893500
2025-11-11,19.0,19.120001,18.879999,18.92,3954500
2025-11-12,18.959999,19.190001,18.879999,19.17,4414900
2025-11-13,18.43,18.469999,18.139999,18.25,3702400
2025-11-14,17.98,18.33,17.889999,18.25,3304000
2025-11-17,18.25,18.49,18.23,18.360001,6593400
2025-11-18,18.25,18.459999,18.15,18.379999,2283900
2025-11-19,18.32,18.450001,18.24,18.24,1634800
2025-11-21,18.200001,18.299999,18.059999,18.290001,7236900
2025-11-24,18.27,18.549999,18.23,18.469999,2630100
2025-11-25,18.5,18.719999,18.41,18.66,2720100
2025-11-26,18.709999,19.16,18.709999,19.15,3418300
2025-11-27,19.15,19.190001,19.0,19.059999,2100700
2025-11-28,19.200001,19.559999,19.110001,19.43,3515900
2025-12-01,19.51,19.76,19.360001,19.629999,3102200
2025-12-02,19.75,20.0,19.52,19.969999,3561900
2025-12-03,20.0,20.450001,19.92,20.34,4799700
2025-12-04,20.370001,20.790001,20.35,20.719999,4363900
2025-12-05,20.700001,20.91,19.99,20.129999,4447000
2025-12-08,20.190001,20.5,19.99,20.110001,4571100
2025-12-09,19.950001,20.440001,19.790001,20.209999,4075800
2025-12-10,20.25,20.629999,20.209999,20.59,3503000
2025-12-11,20.49,20.870001,20.389999,20.77,4051700
2025-12-12,20.49,20.950001,20.389999,20.9,4684400
2025-12-15,21.01,21.73,21.01,21.4,24007700
2025-12-16,21.41,21.67,21.139999,21.41,10175500
2025-12-17,21.41,21.790001,21.34,21.700001,5491200
2025-12-18,20.26,20.5,20.049999,20.27,5274600
2025-12-19,20.299999,20.52,20.219999,20.219999,6157600
2025-12-22,20.25,20.83,20.24,20.59,9101300
2025-12-23,20.59,20.85,20.299999,20.299999,9048200
2025-12-26,20.299999,20.49,20.25,20.49,2029300
2025-12-29,20.59,20.610001,19.959999,20.0,2676200
2025-12-30,20.110001,20.219999,19.889999,19.9,2983900
2026-01-02,19.9,20.08,19.860001,20.08,2851300
2026-01-05,20.09,20.379999,20.0,20.370001,3554900
2026-01-06,20.5,21.15,20.280001,21.15,3719100
2026-01-07,21.129999,21.440001,21.040001,21.370001,4599300
2026-01-08,21.190001,21.190001,20.84,21.16,2905300
2026-01-09,21.049999,21.25,20.700001,21.02,3394000
2026-01-12,21.1,21.23,20.99,21.139999,2063800
2026-01-13,21.01,21.43,20.99,21.32,2340700
2026-01-14,21.450001,22.35,21.27,22.24,3598000
2026-01-15,22.200001,22.469999,22.139999,22.209999,3163400
2026-01-16,22.26,22.290001,21.9,22.190001,1864700
2026-01-19,22.15,22.35,22.049999,22.110001,1916100
2026-01-20,21.950001,22.5,21.719999,22.4,2075300
2026-01-21,22.549999,23.290001,22.540001,23.110001,3111100
2026-01-22,23.110001,23.780001,23.09,23.379999,4069000
2026-01-23,23.5,24.190001,23.5,23.98,2971100
2026-01-26,24.09,24.26,23.370001,23.559999,6524300
2026-01-27,23.690001,24.48,23.65,24.209999,4852600
2026-01-28,24.219999,24.9,24.040001,24.809999,3551200
2026-01-29,24.969999,25.459999,24.610001,24.610001,6171800
2026-01-30,24.1,24.67,23.690001,23.809999,3383800
2026-02-02,23.799999,24.200001,23.67,24.02,2590700
2026-02-03,24.32,25.200001,24.27,25.18,3439400
2026-02-04,25.02,25.4,24.74,25.290001,4704100
2026-02-05,25.049999,25.129999,24.459999,24.459999,3595100
2026-02-06,24.4,24.73,24.09,24.23,2888100
2026-02-09,24.42,24.709999,24.01,24.58,9606800
2026-02-10,24.4,24.540001,24.24,24.299999,2071900
2026-02-11,24.59,25.02,24.59,24.9,2057500
2026-02-12,24.870001,25.200001,24.530001,24.65,2595500
2026-02-13,24.129999,24.190001,23.59,23.889999,2681900
2026-02-18,23.6,23.68,23.07,23.370001,2941800
2026-02-19,23.18,23.290001,22.620001,23.290001,4319200
2026-02-20,23.1,23.76,22.879999,23.76,4415300
2026-02-23,23.700001,24.299999,23.6,24.27,3413900
2026-02-24,24.32,24.620001,24.16,24.48,2376700
2026-02-25,24.75,25.360001,24.690001,25.280001,4604000
2026-02-26,25.08,25.16,24.620001,24.93,2477900
2026-02-27,24.790001,25.1,24.66,24.83,2464300
2026-03-02,24.5,24.959999,24.33,24.83,2530500
2026-03-03,24.02,24.040001,23.15,23.379999,5295500
2026-03-04,23.66,23.780001,23.049999,23.57,2516600
2026-03-05,23.5,23.5,22.940001,23.030001,6930200
2026-03-06,23.0,23.02,22.190001,22.42,3417100
2026-03-09,22.209999,22.92,21.870001,22.700001,3912200
2026-03-10,23.030001,23.16,22.76,22.790001,2846400
2026-03-11,22.639999,23.1,22.4,22.65,2285600
2026-03-12,22.6,22.6,22.1,22.549999,3206300
2026-03-13,22.549999,22.700001,21.99,22.1,1928400
2026-03-16,22.49,22.709999,22.389999,22.450001,1865200
2026-03-17,22.549999,22.74,22.370001,22.459999,992300
2026-03-18,22.32,22.360001,21.9,22.0,2579800
2026-03-19,21.68,21.860001,21.18,21.790001,3412600
2026-03-20,21.67,21.690001,21.200001,21.360001,3461400
2026-03-23,21.719999,22.26,21.6,22.02,1669000
2026-03-24,21.85,22.24,21.719999,22.24,1148100
2026-03-25,22.58,22.780001,22.389999,22.48,1384200
2026-03-26,22.32,22.440001,22.07,22.26,1317000
2026-03-27,22.16,22.5,21.9,22.15,2135800
2026-03-30,22.41,22.639999,22.190001,22.35,1671200
2026-03-31,22.74,23.309999,22.6,23.059999,2638800
2026-04-01,23.190001,23.629999,23.190001,23.25,2129800
2026-04-02,22.76,23.52,22.719999,23.379999,2258400
2026-04-06,23.51,23.530001,23.26,23.459999,1511300
2026-04-07,23.379999,23.639999,23.200001,23.639999,2189300
2026-04-08,24.41,24.559999,24.139999,24.280001,4769500
2026-04-09,24.139999,24.440001,24.0,24.33,2383400
2026-04-10,24.48,24.780001,24.389999,24.58,2956200
2026-04-13,24.5,24.879999,24.43,24.879999,2339500
2026-04-14,24.9,25.4,24.860001,25.4,2694600
2026-04-15,25.4,25.49,25.129999,25.299999,1677400
2026-04-16,25.41,25.629999,25.02,25.049999,1532700
2026-04-17,25.280001,25.549999,25.27,25.49,2429500
2026-04-20,25.280001,25.49,24.940001,25.18,1748500
2026-04-22,24.85,25.049999,24.51,24.58,3190400
2026-04-23,24.59,24.6,24.01,24.059999,1961300
2026-04-24,24.07,24.24,23.84,23.950001,2314100
2026-04-27,23.950001,24.18,23.73,23.85,1154400
2026-04-28,23.690001,23.799999,23.49,23.709999,1099000
2026-04-29,23.4,23.450001,22.51,22.610001,3225000
2026-04-30,22.85,23.17,22.75,22.940001,1764000
2026-05-04,22.82,22.940001,22.27,22.530001,2279200
2026-05-05,22.690001,22.719999,22.24,22.34,1761700
2026-05-06,22.940001,23.23,22.809999,22.879999,2310800
2026-05-07,22.809999,23.02,22.459999,22.709999,1877300
2026-05-08,22.969999,23.24,22.83,23.01,4040400
2026-05-11,23.01,23.58,22.91,23.450001,1805200
2026-05-12,23.360001,23.49,22.860001,23.32,2066800
2026-05-13,23.120001,23.73,23.09,23.25,2787100
2026-05-14,23.6,23.66,22.77,22.85,4280600
2026-05-15,22.120001,23.049999,21.9,22.99,2898600
2026-05-18,22.93,23.02,22.440001,22.66,1246900
2026-05-19,22.34,22.530001,22.18,22.4,1210800
2026-05-20,22.52,23.110001,22.48,23.030001,2045100
2026-05-21,22.889999,23.25,22.68,23.08,1150500
2026-05-22,22.9,23.24,22.85,23.17,831600
2026-05-25,23.17,23.34,22.870001,23.190001,1016800
2026-05-26,23.200001,23.379999,22.940001,23.08,827700
2026-05-27,23.200001,23.370001,22.940001,23.290001,1465200
2026-05-28,23.290001,23.68,23.1,23.35,1186600
