date,open,high,low,close,volume
2025-01-02,24.35,24.459999,23.41,23.41,12130900
2025-01-03,23.25,23.540001,22.92,23.200001,6290800
2025-01-06,23.469999,23.91,23.07,23.15,7157700
2025-01-07,23.540001,24.42,23.33,23.940001,11818800
2025-01-08,23.959999,24.1,23.559999,23.98,6106300
2025-01-09,23.98,24.49,23.67,24.49,6908400
2025-01-10,24.73,25.290001,24.6,24.92,11706500
2025-01-13,25.25,25.98,25.09,25.4,12701900
2025-01-14,25.4,25.870001,24.9,25.09,10094800
2025-01-15,25.15,25.73,24.700001,25.58,11080600
2025-01-16,25.25,25.440001,24.5,25.32,9966200
2025-01-17,25.4,25.84,24.68,25.34,14778200
2025-01-20,25.15,25.469999,23.709999,23.709999,12703800
2025-01-21,23.450001,24.799999,23.0,24.719999,11425900
2025-01-22,24.77,25.200001,23.700001,23.700001,8509300
2025-01-23,23.76,23.950001,22.52,22.879999,10463900
2025-01-24,23.0,23.190001,22.66,22.66,5937600
2025-01-27,22.379999,23.6,22.24,22.74,6930700
2025-01-28,23.01,23.049999,22.219999,22.440001,5261800
2025-01-29,22.48,22.5,21.889999,21.889999,5502100
2025-01-30,22.049999,22.49,21.77,22.26,8418500
2025-01-31,22.33,23.65,22.110001,22.43,21079200
2025-02-03,22.5,22.73,21.950001,21.950001,5739500
2025-02-04,21.9,22.139999,21.66,21.690001,4919400
2025-02-05,21.690001,21.809999,20.83,21.0,6036900
2025-02-06,21.26,21.450001,20.49,20.969999,11714500
2025-02-07,21.059999,21.1,20.58,20.76,6451700
2025-02-10,20.889999,21.33,20.549999,20.75,6252100
2025-02-11,20.940001,21.690001,20.860001,21.33,6573500
2025-02-12,21.129999,21.129999,20.559999,20.879999,6456500
2025-02-13,20.879999,20.9,20.15,20.26,9151300
2025-02-14,20.48,20.76,20.139999,20.4,11826000
2025-02-17,20.43,20.879999,20.26,20.370001,5391800
2025-02-18,20.41,20.639999,20.24,20.25,4657300
2025-02-19,20.25,20.4,19.799999,19.83,5235300
2025-02-20,19.959999,20.15,19.41,19.48,4321700
2025-02-21,19.52,19.629999,19.040001,19.17,6004800
2025-02-24,19.360001,19.6,18.75,18.959999,5163700
2025-02-25,19.01,19.190001,18.59,18.65,8556000
2025-02-26,18.799999,18.82,18.200001,18.280001,4692000
2025-02-27,18.469999,19.0,18.17,18.700001,8487500
2025-02-28,18.5,18.559999,17.860001,18.01,7816600
2025-03-05,17.75,17.790001,16.41,16.52,12391700
2025-03-06,16.76,17.17,15.95,16.08,10357700
2025-03-07,16.360001,18.18,16.299999,17.82,13702800
2025-03-10,17.700001,17.92,16.719999,16.799999,8768700
2025-03-11,17.0,17.1,16.33,16.66,5420700
2025-03-12,16.719999,16.879999,16.48,16.82,3810900
2025-03-13,16.790001,17.120001,16.629999,16.93,3674600
2025-03-14,17.16,17.879999,17.040001,17.709999,6326200
2025-03-17,17.9,18.57,17.75,18.190001,9998100
2025-03-18,18.360001,18.620001,18.27,18.4,5383600
2025-03-19,18.59,18.6,18.209999,18.299999,4679200
2025-03-20,18.129999,18.360001,17.940001,18.309999,5182900
2025-03-21,19.200001,19.77,18.83,19.33,18149900
2025-03-24,19.32,21.33,19.059999,21.299999,16310900
2025-03-25,21.299999,22.200001,21.07,21.879999,14169500
2025-03-26,22.0,23.67,21.950001,23.33,17894800
2025-03-27,23.360001,23.700001,22.549999,23.139999,11169000
2025-03-28,23.08,23.5,22.66,23.1,6051800
2025-03-31,22.9,23.33,22.74,23.1,5134700
2025-04-01,23.1,23.629999,22.809999,23.34,6871500
2025-04-02,22.76,23.440001,21.6,22.690001,19745800
2025-04-03,21.049999,21.290001,19.959999,21.059999,28337800
2025-04-04,18.9,19.09,17.85,18.34,28489200
2025-04-07,17.870001,18.66,17.219999,18.35,14189500
2025-04-08,18.700001,19.58,17.4,17.58,14754700
2025-04-09,16.879999,18.25,15.73,17.6,43470600
2025-04-10,17.0,17.049999,15.9,16.4,27032500
2025-04-11,16.549999,17.58,16.42,17.26,15566500
2025-04-14,17.99,18.370001,17.219999,17.23,15477400
2025-04-15,17.110001,17.690001,17.01,17.23,9087800
2025-04-16,17.610001,18.629999,17.59,18.129999,19476700
2025-04-17,18.9,18.950001,18.27,18.309999,9082700
2025-04-22,18.15,18.77,17.950001,18.639999,5636000
2025-04-23,18.99,19.469999,18.48,18.52,11432900
2025-04-24,18.75,18.9,18.549999,18.74,6213800
2025-04-25,18.559999,18.85,18.290001,18.51,5485300
2025-04-28,18.65,18.84,17.85,17.98,5369900
2025-04-29,17.76,18.49,17.76,18.09,7531600
2025-04-30,17.799999,17.940001,17.209999,17.360001,7993500
2025-05-02,17.469999,18.040001,17.34,17.98,5822100
2025-05-05,17.52,17.969999,16.99,17.209999,9101600
2025-05-06,18.209999,18.75,18.01,18.370001,11962700
2025-05-07,18.469999,19.02,18.15,18.299999,11491400
2025-05-08,18.9,19.959999,18.68,19.66,8828800
2025-05-09,19.940001,20.25,19.549999,19.809999,7698100
2025-05-12,20.809999,21.059999,20.01,20.01,8137600
2025-05-13,19.0,19.799999,18.860001,19.540001,13742000
2025-05-14,19.35,19.75,19.17,19.58,6391400
2025-05-15,19.059999,19.360001,19.02,19.27,7327700
2025-05-16,19.35,19.360001,18.879999,19.18,7187200
2025-05-19,19.059999,19.23,18.620001,18.950001,6454700
2025-05-20,18.9,19.030001,18.35,18.6,6257600
2025-05-21,18.75,19.15,18.51,18.6,4980700
2025-05-22,18.559999,18.58,18.0,18.139999,5651900
2025-05-23,17.870001,18.25,17.610001,18.200001,4696000
2025-05-26,18.33,18.82,18.27,18.35,3675400
2025-05-27,18.49,19.07,18.49,18.93,7149000
2025-05-28,19.450001,20.07,19.049999,19.74,11605500
2025-05-29,19.809999,19.950001,19.25,19.440001,4958500
2025-05-30,19.360001,19.559999,18.75,18.9,6479700
2025-06-02,19.799999,19.85,18.559999,18.66,9013500
2025-06-03,18.450001,19.41,18.370001,19.379999,6307300
2025-06-04,19.700001,20.120001,19.5,19.610001,8541800
2025-06-05,19.780001,20.27,19.200001,19.33,19000700
2025-06-06,19.450001,19.68,19.16,19.65,4655100
2025-06-09,19.58,19.629999,19.02,19.15,4706000
2025-06-10,19.41,19.9,19.09,19.780001,7350000
2025-06-11,19.950001,20.530001,19.690001,20.379999,10377900
2025-06-12,20.0,20.559999,19.73,20.469999,6635800
2025-06-13,21.65,21.799999,20.610001,20.780001,13536000
2025-06-16,20.610001,20.99,20.370001,20.68,6949200
2025-06-17,20.950001,21.15,20.4,20.59,9507200
2025-06-18,20.950001,21.15,20.049999,20.43,8263400
2025-06-20,20.280001,20.68,20.18,20.32,7778500
2025-06-23,20.459999,20.700001,19.6,19.85,11748800
2025-06-24,19.25,19.610001,18.440001,18.48,15434700
2025-06-25,18.59,18.620001,17.52,17.6,12273600
2025-06-26,17.690001,18.16,17.67,17.84,8200000
2025-06-27,17.74,17.84,17.110001,17.200001,7693800
2025-06-30,17.219999,17.5,16.870001,17.4,8923500
2025-07-01,17.549999,17.639999,17.219999,17.450001,7406000
2025-07-02,17.52,17.84,17.139999,17.610001,6949500
2025-07-03,17.84,17.99,17.559999,17.93,6671000
2025-07-04,17.799999,18.139999,17.700001,17.99,3713400
2025-07-07,18.0,18.059999,17.610001,17.700001,4169300
2025-07-08,17.75,18.299999,17.75,18.27,7967400
2025-07-09,18.219999,18.309999,17.969999,18.049999,7989800
2025-07-10,17.610001,17.9,17.530001,17.75,6702800
2025-07-11,17.700001,17.959999,17.620001,17.790001,9278000
2025-07-14,17.969999,18.49,17.68,18.15,11546200
2025-07-15,18.24,18.32,17.82,18.27,7174900
2025-07-16,18.190001,18.52,17.83,18.51,6649700
2025-07-17,18.51,19.01,18.35,18.719999,10200500
2025-07-18,18.719999,18.83,18.49,18.74,5191500
2025-07-21,18.65,18.780001,18.4,18.459999,4744300
2025-07-22,18.459999,18.74,18.459999,18.65,4154400
2025-07-23,18.700001,19.450001,18.65,19.18,6508600
2025-07-24,19.209999,19.389999,19.01,19.09,6555200
2025-07-25,19.18,19.51,19.1,19.51,5187800
2025-07-28,19.66,20.209999,19.32,19.35,8011200
2025-07-29,19.41,20.18,19.219999,19.879999,6637000
2025-07-30,19.76,20.42,19.639999,20.09,9170800
2025-07-31,19.940001,20.030001,19.549999,19.74,5234400
2025-08-01,19.940001,20.32,19.209999,19.389999,9692100
2025-08-04,19.299999,19.459999,19.0,19.18,6440800
2025-08-05,19.1,20.52,19.02,20.280001,13089000
2025-08-06,20.530001,20.65,19.73,19.9,13932700
2025-08-07,20.41,20.540001,19.5,19.959999,14516700
2025-08-08,19.959999,20.309999,19.700001,20.049999,8982200
2025-08-11,20.0,20.24,19.799999,20.08,5770800
2025-08-12,20.049999,20.27,19.700001,19.700001,6572200
2025-08-13,19.700001,20.34,19.639999,19.940001,8063500
2025-08-14,19.82,20.190001,19.76,19.940001,5740700
2025-08-15,19.940001,20.0,19.440001,19.540001,6529600
2025-08-18,19.6,19.860001,19.08,19.67,6032300
2025-08-19,19.35,19.43,18.469999,18.639999,7622900
2025-08-20,18.799999,19.0,18.65,18.93,4799800
2025-08-21,18.889999,18.969999,18.68,18.76,5168000
2025-08-22,18.940001,19.299999,18.879999,19.299999,7494400
2025-08-25,19.370001,20.32,19.370001,19.540001,9045800
2025-08-26,19.41,19.66,19.08,19.65,3979000
2025-08-27,19.700001,20.200001,19.5,20.16,7961200
2025-08-28,20.33,20.48,20.02,20.16,10246600
2025-08-29,20.15,20.23,19.870001,20.049999,5105700
2025-09-01,20.190001,20.450001,20.049999,20.129999,2856400
2025-09-02,20.030001,20.290001,19.74,19.889999,6399200
2025-09-03,19.709999,19.84,19.280001,19.299999,6775100
2025-09-04,19.27,19.27,18.85,18.98,7672600
2025-09-05,18.9,19.1,18.23,18.33,10280600
2025-09-08,18.549999,18.790001,18.16,18.26,7561900
2025-09-09,18.41,18.9,18.309999,18.41,7024100
2025-09-10,18.5,18.66,18.4,18.4,5400800
2025-09-11,18.299999,18.469999,18.120001,18.309999,8953800
2025-09-12,18.52,18.700001,18.07,18.15,5745800
2025-09-15,18.370001,18.700001,18.120001,18.51,6564400
2025-09-16,18.65,18.860001,18.59,18.790001,6456900
2025-09-17,18.67,18.870001,18.5,18.639999,4225200
2025-09-18,18.719999,19.0,18.51,19.0,4434300
2025-09-19,18.9,18.98,18.42,18.559999,20282400
2025-09-22,18.52,18.92,18.379999,18.77,7115400
2025-09-23,18.809999,19.059999,18.709999,18.790001,6205600
2025-09-24,18.889999,19.030001,18.450001,18.719999,10860900
2025-09-25,18.65,18.73,18.42,18.469999,6023100
2025-09-26,18.559999,18.629999,18.23,18.34,5523700
2025-09-29,18.26,18.530001,18.01,18.16,4830300
2025-09-30,18.0,18.15,17.860001,17.98,5850700
2025-10-01,17.93,18.08,17.84,18.07,4099500
2025-10-02,18.0,18.09,17.66,17.719999,4331900
2025-10-03,17.76,17.950001,17.65,17.690001,4569300
2025-10-06,17.799999,17.969999,17.530001,17.59,4198700
2025-10-07,17.51,17.639999,17.35,17.43,5597500
2025-10-08,17.6,17.610001,16.809999,16.889999,8467500
2025-10-09,16.73,16.870001,16.0,16.030001,21710900
2025-10-10,15.89,15.97,15.46,15.63,12953500
2025-10-13,15.95,16.34,15.82,16.190001,8919900
2025-10-14,15.94,16.09,15.62,15.64,7317300
2025-10-15,15.72,15.74,15.26,15.29,10070100
2025-10-16,15.35,15.36,14.73,14.83,11592000
2025-10-17,14.83,15.32,14.55,15.22,10565500
2025-10-20,15.1,15.49,15.0,15.08,6563200
2025-10-21,15.13,15.13,14.15,14.2,28936800
2025-10-22,14.47,14.75,14.36,14.51,12726100
2025-10-23,15.21,15.35,14.7,14.87,13664100
2025-10-24,15.0,15.05,14.45,14.46,10564400
2025-10-27,14.58,14.59,14.35,14.4,6193300
2025-10-28,14.34,14.69,14.24,14.55,7352700
2025-10-29,14.6,14.78,14.39,14.46,6924000
2025-10-30,14.35,14.66,14.35,14.56,10058500
2025-10-31,14.65,14.92,14.64,14.76,7375500
2025-11-03,14.84,15.2,14.77,14.85,6893100
2025-11-04,14.7,15.06,14.66,15.06,7199000
2025-11-05,15.06,15.38,14.95,15.35,7569900
2025-11-06,15.32,15.35,14.34,14.34,18311000
2025-11-07,14.39,14.8,14.24,14.62,10442300
2025-11-10,14.65,14.77,14.5,14.62,6055700
2025-11-11,14.71,15.0,14.64,14.81,8105900
2025-11-12,14.8,14.83,14.23,14.83,8201300
2025-11-13,14.87,14.99,14.66,14.66,3890000
2025-11-14,14.71,14.98,14.59,14.65,4483400
2025-11-17,14.67,14.7,14.37,14.52,5659800
2025-11-18,14.42,14.71,14.34,14.63,4098700
2025-11-19,14.45,14.64,14.37,14.47,6124600
2025-11-21,14.4,14.43,13.89,14.07,11278200
2025-11-24,14.05,14.13,13.71,13.89,6562800
2025-11-25,13.69,13.79,13.51,13.72,14223600
2025-11-26,13.7,13.94,13.34,13.67,9672600
2025-11-27,13.66,13.7,13.5,13.6,3969300
2025-11-28,13.6,13.71,13.38,13.64,6975300
2025-12-01,13.72,13.85,13.62,13.65,6068400
2025-12-02,13.69,13.91,13.47,13.74,6451700
2025-12-03,13.84,13.92,13.45,13.59,10726600
2025-12-04,13.64,13.82,13.52,13.73,10377900
2025-12-05,13.57,13.79,13.29,13.48,13670000
2025-12-08,13.45,13.83,13.45,13.56,8500700
2025-12-09,13.54,13.78,13.34,13.61,6003700
2025-12-10,13.61,13.75,13.5,13.66,6844400
2025-12-11,13.53,13.68,13.37,13.43,6643100
2025-12-12,13.53,13.68,13.37,13.45,7038100
2025-12-15,13.41,13.89,13.38,13.74,7482100
2025-12-16,13.59,14.38,13.3,14.08,26224900
2025-12-17,13.75,15.12,13.72,14.6,25325900
2025-12-18,14.73,16.389999,14.69,15.5,45571400
2025-12-19,16.110001,16.360001,15.13,15.5,31537100
2025-12-22,15.7,16.01,15.46,15.7,12719200
2025-12-23,15.77,15.91,15.45,15.76,12905600
2025-12-26,15.6,15.98,15.4,15.98,10633700
2025-12-29,16.1,16.780001,15.92,16.780001,12959800
2025-12-30,16.85,17.209999,16.67,16.84,9098100
2026-01-02,16.799999,16.799999,16.309999,16.67,7634200
2026-01-05,16.6,16.6,15.52,15.71,12118600
2026-01-06,15.82,16.09,15.54,15.7,8543100
2026-01-07,15.65,16.190001,14.83,16.129999,17776300
2026-01-08,16.200001,17.049999,15.9,17.049999,15620800
2026-01-09,17.01,17.08,16.49,16.66,8210400
2026-01-12,16.73,17.41,16.58,17.41,11723400
2026-01-13,17.450001,17.889999,17.26,17.6,12408900
2026-01-14,17.75,18.1,17.27,17.950001,11869400
2026-01-15,17.469999,18.57,17.389999,18.01,21456300
2026-01-16,17.780001,18.48,16.82,17.1,24211800
2026-01-19,17.030001,17.35,16.540001,17.219999,11362900
2026-01-20,16.9,17.82,16.9,17.629999,10406900
2026-01-21,17.82,18.15,17.709999,17.74,8665900
2026-01-22,17.700001,17.82,17.48,17.719999,8396600
2026-01-23,17.950001,18.09,17.719999,18.01,8761400
2026-01-26,17.98,18.15,17.57,18.01,8341300
2026-01-27,18.16,18.440001,18.07,18.27,10015100
2026-01-28,18.4,18.969999,18.389999,18.83,10505900
2026-01-29,19.0,19.389999,18.709999,18.99,9762700
2026-01-30,18.91,19.049999,18.530001,18.9,6947500
2026-02-02,18.190001,18.58,17.99,18.41,7603400
2026-02-03,18.6,18.68,18.25,18.25,5580900
2026-02-04,18.27,18.309999,17.950001,18.049999,5281900
2026-02-05,17.950001,18.09,17.49,17.59,4418100
2026-02-06,17.450001,17.540001,17.209999,17.48,4731500
2026-02-09,17.6,17.93,17.33,17.93,5737300
2026-02-10,17.9,18.33,17.84,18.33,4360200
2026-02-11,18.5,18.58,18.139999,18.15,9427900
2026-02-12,18.040001,18.059999,17.280001,17.59,7017800
2026-02-13,17.299999,17.690001,17.23,17.690001,5908800
2026-02-18,17.9,18.42,17.85,18.139999,7000400
2026-02-19,18.370001,19.040001,18.200001,18.74,10240200
2026-02-20,18.6,18.879999,18.59,18.85,7640000
2026-02-23,18.780001,19.0,18.35,18.51,6846900
2026-02-24,18.559999,18.91,18.360001,18.73,6459400
