date,open,high,low,close,volume
2025-01-02,11.55,12.17,11.45,11.97,3802400
2025-01-03,11.93,12.07,11.38,11.48,3872700
2025-01-06,11.6,12.1,11.59,11.87,2767200
2025-01-07,11.97,12.06,11.64,11.72,2325400
2025-01-08,11.6,11.61,11.22,11.38,3439900
2025-01-09,11.37,11.38,11.01,11.03,1900800
2025-01-10,11.11,11.31,11.06,11.14,2198900
2025-01-13,11.11,11.41,11.11,11.27,1730500
2025-01-14,11.31,11.63,11.14,11.63,1890800
2025-01-15,11.65,12.5,11.59,12.5,3200900
2025-01-16,12.45,12.61,12.27,12.29,1821200
2025-01-17,12.46,12.77,12.36,12.67,2474900
2025-01-20,12.68,14.2,12.68,13.74,4902600
2025-01-21,13.61,14.56,13.54,14.23,5560000
2025-01-22,14.25,14.46,13.89,14.03,3016000
2025-01-23,13.99,14.68,13.98,14.53,3688000
2025-01-24,14.52,14.73,14.26,14.44,2533800
2025-01-27,14.3,15.12,14.3,14.89,3094800
2025-01-28,14.97,15.05,14.54,14.6,2914500
2025-01-29,14.63,14.72,14.08,14.21,2970400
2025-01-30,14.23,14.49,13.81,14.03,4494600
2025-01-31,13.92,14.23,13.54,13.81,4695700
2025-02-03,13.73,13.81,13.07,13.11,4017000
2025-02-04,13.03,13.87,12.88,13.62,3357400
2025-02-05,13.55,13.65,13.35,13.47,1802600
2025-02-06,13.48,13.65,12.92,13.33,3123900
2025-02-07,13.31,13.76,13.1,13.16,2980600
2025-02-10,13.25,13.9,13.25,13.4,2090300
2025-02-11,13.4,13.74,13.15,13.16,2502800
2025-02-12,12.93,12.93,12.22,12.45,5504300
2025-02-13,12.45,13.22,12.34,13.12,2824100
2025-02-14,13.15,13.4,12.98,13.25,3305900
2025-02-17,13.26,13.65,13.26,13.43,2022700
2025-02-18,13.5,13.55,13.18,13.3,1348300
2025-02-19,13.16,13.44,12.99,13.06,1637100
2025-02-20,13.11,13.23,12.92,13.04,1414800
2025-02-21,13.04,13.22,12.68,12.85,2225400
2025-02-24,12.86,12.92,12.59,12.71,1737300
2025-02-25,12.72,12.8,12.31,12.35,2785000
2025-02-26,12.45,12.5,11.95,12.07,3317400
2025-02-27,11.72,12.18,11.14,11.81,6292700
2025-02-28,11.65,11.71,10.91,10.97,6884000
2025-03-05,10.92,11.01,10.52,10.61,2557600
2025-03-06,10.61,10.78,10.37,10.59,3196000
2025-03-07,10.53,10.97,10.33,10.8,2752500
2025-03-10,10.65,10.84,10.52,10.65,2051300
2025-03-11,10.62,10.97,10.55,10.69,2532100
2025-03-12,10.75,10.86,10.26,10.26,2974600
2025-03-13,10.35,10.73,10.17,10.68,2763100
2025-03-14,10.7,11.35,10.7,11.06,3531100
2025-03-17,11.03,11.52,10.99,11.38,3568300
2025-03-18,11.38,11.45,11.08,11.22,1605600
2025-03-19,11.23,11.44,11.05,11.35,2091300
2025-03-20,11.35,11.35,10.96,11.0,2600100
2025-03-21,10.96,11.05,10.72,10.92,3939200
2025-03-24,10.96,10.97,10.58,10.64,2272300
2025-03-25,10.62,10.9,10.61,10.74,3942900
2025-03-26,10.9,12.26,10.87,11.78,9315500
2025-03-27,11.9,11.99,11.38,11.72,4638400
2025-03-28,11.72,12.19,11.42,11.51,3742100
2025-03-31,11.4,11.41,11.0,11.0,2733200
2025-04-01,11.0,11.05,10.62,10.62,3527800
