date,open,high,low,close,volume
2025-01-02,7.91,7.94,7.32,7.47,7282600
2025-01-03,7.47,7.59,7.38,7.44,5051000
2025-01-06,7.62,7.79,7.53,7.79,5081300
2025-01-07,7.93,8.23,7.87,8.06,5991200
2025-01-08,7.95,8.1,7.64,7.7,5756000
2025-01-09,7.67,7.79,7.6,7.7,2780600
2025-01-10,7.74,7.89,7.63,7.72,5252400
2025-01-13,7.76,7.86,7.49,7.78,3438000
2025-01-14,7.97,8.13,7.83,7.99,6717200
2025-01-15,8.08,8.36,8.01,8.36,5464500
2025-01-16,8.32,8.32,7.78,7.8,5833700
2025-01-17,7.9,8.04,7.76,7.99,4282900
2025-01-20,7.93,8.22,7.89,8.14,1629200
2025-01-21,8.09,8.27,8.01,8.26,3494700
2025-01-22,8.35,8.72,8.34,8.64,4465300
2025-01-23,8.7,8.72,8.36,8.62,4987000
2025-01-24,8.5,8.97,8.5,8.79,4380500
2025-01-27,8.7,9.39,8.69,9.31,4658500
2025-01-28,9.25,9.69,9.2,9.5,3554800
2025-01-29,9.63,9.63,9.23,9.25,4696400
2025-01-30,9.29,10.0,9.25,9.85,7000600
2025-01-31,9.77,9.99,9.73,9.79,3234900
2025-02-03,9.69,9.96,9.64,9.75,2088300
2025-02-04,9.77,9.81,9.32,9.58,3480800
2025-02-05,9.7,9.7,9.29,9.47,2011300
2025-02-06,9.4,9.77,9.4,9.7,2259900
2025-02-07,9.97,10.03,9.59,9.65,4544000
2025-02-10,9.72,10.07,9.71,9.78,1788100
2025-02-11,9.72,10.02,9.68,9.87,2270500
2025-02-12,9.71,9.75,9.34,9.37,2774200
2025-02-13,9.39,9.51,9.27,9.43,2282200
2025-02-14,9.64,10.38,9.61,10.3,4921800
2025-02-17,10.3,10.78,10.3,10.64,2497700
2025-02-18,10.62,10.68,10.16,10.34,3610600
2025-02-19,10.2,10.26,10.02,10.05,2753800
2025-02-20,10.11,10.22,9.92,10.0,3055900
2025-02-21,9.92,10.02,9.54,9.79,4639500
2025-02-24,9.85,9.9,9.14,9.19,2699300
2025-02-25,9.2,9.36,9.1,9.17,2412200
2025-02-26,9.29,9.34,8.95,8.95,3737100
2025-02-27,9.41,10.24,9.1,9.86,11464600
2025-02-28,9.72,10.46,9.72,9.87,9373900
2025-03-05,9.98,9.98,9.53,9.66,3135300
2025-03-06,9.74,10.23,9.61,9.64,5314500
2025-03-07,9.92,10.57,9.8,10.52,6657400
2025-03-10,10.34,10.77,10.29,10.42,3568400
2025-03-11,10.45,10.48,9.89,10.36,6512100
2025-03-12,10.34,10.6,10.23,10.43,3514000
2025-03-13,10.34,10.39,10.03,10.16,3323100
2025-03-14,10.26,10.79,10.22,10.79,3811800
2025-03-17,10.81,11.1,10.71,10.85,2512200
2025-03-18,10.75,10.94,10.58,10.81,3107600
2025-03-19,10.86,11.15,10.72,11.1,4029100
2025-03-20,10.94,10.99,10.3,10.33,5418500
2025-03-21,10.31,10.49,10.18,10.37,3211700
2025-03-24,10.45,10.52,10.23,10.33,2293900
2025-03-25,10.43,10.97,10.39,10.75,2207600
2025-03-26,10.78,11.34,10.78,11.12,4272600
2025-03-27,11.2,11.45,11.01,11.27,3237400
2025-03-28,11.26,11.26,10.78,11.04,2413100
2025-03-31,10.95,10.97,10.51,10.62,2898700
2025-04-01,10.62,11.25,10.62,11.08,4005100
2025-04-02,11.03,11.85,11.03,11.66,4710600
2025-04-03,11.52,12.28,11.43,12.05,5397200
2025-04-04,11.7,11.7,11.06,11.32,4512700
2025-04-07,11.07,11.36,10.6,10.92,4039000
2025-04-08,11.12,11.33,10.71,10.83,3075500
2025-04-09,10.6,11.75,10.54,11.61,4047500
2025-04-10,11.57,11.79,11.29,11.7,2979100
2025-04-11,11.84,12.16,11.71,12.05,4056000
2025-04-14,12.19,12.64,12.17,12.42,3596700
2025-04-15,12.4,12.46,12.15,12.45,3019200
2025-04-16,12.29,12.66,12.18,12.35,2739500
2025-04-17,12.4,12.87,12.3,12.72,2834400
2025-04-22,12.63,12.83,12.55,12.66,2456200
2025-04-23,12.78,13.09,12.68,12.92,4547200
2025-04-24,12.92,13.49,12.84,13.43,3745700
2025-04-25,13.37,13.66,13.23,13.42,3705800
2025-04-28,13.41,13.63,13.3,13.42,2276700
2025-04-29,13.31,13.47,13.04,13.09,4764500
2025-04-30,13.03,13.54,12.83,13.31,2641300
2025-05-02,13.28,13.28,12.9,13.21,3227900
2025-05-05,13.21,13.36,12.71,12.77,2930300
2025-05-06,12.85,13.05,12.65,12.84,1825000
2025-05-07,12.87,12.98,12.41,12.88,3185000
2025-05-08,13.65,15.15,13.59,14.6,9693700
2025-05-09,14.5,14.85,14.18,14.71,3174900
2025-05-12,14.83,15.3,14.47,15.29,3532400
2025-05-13,15.3,16.040001,15.27,15.94,3508600
2025-05-14,15.9,16.35,15.81,15.98,3936500
2025-05-15,15.9,16.879999,15.9,16.5,3369400
2025-05-16,16.290001,16.780001,16.280001,16.610001,2463000
2025-05-19,16.559999,17.68,16.450001,17.58,3363500
2025-05-20,17.65,17.75,17.0,17.559999,3266700
2025-05-21,17.540001,17.540001,16.42,16.700001,5415400
2025-05-22,16.790001,17.5,16.790001,17.15,3777200
2025-05-23,16.85,17.08,16.42,17.059999,2966600
2025-05-26,16.950001,17.360001,16.780001,17.209999,1522400
2025-05-27,17.66,18.200001,17.57,17.59,3139000
2025-05-28,17.559999,17.99,17.200001,17.99,2009500
2025-05-29,17.959999,18.07,17.620001,17.709999,1585600
2025-05-30,17.77,18.02,17.16,17.83,2157400
2025-06-02,17.950001,18.370001,17.08,17.360001,3091500
2025-06-03,17.370001,17.9,17.299999,17.799999,3089400
2025-06-04,17.889999,18.18,17.629999,17.77,1561700
2025-06-05,17.879999,18.1,17.469999,17.48,2249700
2025-06-06,17.469999,17.74,16.82,17.1,3088500
2025-06-09,17.0,17.309999,16.700001,17.23,3387600
2025-06-10,17.51,18.15,17.5,18.01,1727800
2025-06-11,17.879999,18.200001,17.68,17.91,1613100
2025-06-12,17.76,17.870001,17.370001,17.4,2661400
2025-06-13,17.15,17.35,16.639999,16.65,2870200
2025-06-16,16.860001,17.35,16.67,17.129999,2574100
2025-06-17,17.139999,17.360001,16.870001,17.299999,1306400
2025-06-18,17.139999,17.68,16.870001,17.42,2310000
2025-06-20,17.299999,17.35,16.870001,16.889999,1961700
2025-06-23,16.959999,17.15,16.57,17.02,2034400
2025-06-24,17.200001,17.83,16.91,17.469999,2837400
2025-06-25,17.5,18.299999,17.25,18.26,3037500
2025-06-26,18.379999,19.23,18.18,19.040001,2854400
2025-06-27,18.940001,19.940001,18.82,19.940001,3783400
2025-06-30,19.75,20.209999,19.459999,19.66,3439700
2025-07-01,19.799999,20.4,19.75,20.209999,3882800
2025-07-02,20.379999,20.379999,19.35,19.6,3697300
2025-07-03,19.700001,21.299999,19.65,20.65,5553400
2025-07-04,20.65,20.940001,19.73,19.73,2686300
2025-07-07,19.77,20.219999,19.719999,20.219999,2222800
2025-07-08,20.299999,20.299999,19.6,19.83,2524600
2025-07-09,19.85,20.190001,19.1,19.280001,1702400
2025-07-10,18.77,18.9,18.309999,18.6,3671700
2025-07-11,18.5,18.610001,17.65,17.65,2778500
2025-07-14,17.5,17.5,16.51,17.290001,5357300
2025-07-15,17.35,17.84,17.040001,17.540001,2524900
2025-07-16,17.5,17.530001,16.43,17.01,5558000
2025-07-17,17.040001,17.200001,16.82,16.93,1478800
2025-07-18,16.719999,16.98,16.530001,16.530001,2346600
2025-07-21,16.65,17.01,16.610001,16.780001,1932500
2025-07-22,16.809999,17.32,16.59,16.59,2982800
2025-07-23,16.59,17.43,16.59,17.27,2496000
2025-07-24,17.030001,17.190001,16.559999,16.76,2325600
2025-07-25,16.76,16.959999,15.81,15.96,2197000
2025-07-28,16.01,16.32,15.1,15.42,2855300
2025-07-29,15.76,16.299999,15.55,16.1,4073900
2025-07-30,15.92,16.83,15.71,16.610001,2300500
2025-07-31,16.26,16.799999,16.02,16.469999,2928600
2025-08-01,16.950001,17.34,16.82,17.07,2323300
2025-08-04,17.35,17.719999,16.950001,17.43,2372000
2025-08-05,17.49,17.59,17.08,17.41,2022100
2025-08-06,17.6,18.780001,17.370001,18.629999,5123900
2025-08-07,18.25,18.42,17.07,17.07,9116700
