date,open,high,low,close,volume
2025-01-02,5.2,5.2,5.0,5.04,10663200
2025-01-03,5.03,5.06,4.88,4.88,25308500
2025-01-06,4.95,5.02,4.9,5.01,10352600
2025-01-07,5.05,5.09,4.74,4.78,12436900
2025-01-08,4.79,4.82,4.6,4.64,8859400
2025-01-09,4.65,4.72,4.63,4.71,5593200
2025-01-10,4.74,4.88,4.66,4.85,9590100
2025-01-13,4.93,5.05,4.87,4.95,10042100
2025-01-14,4.98,5.02,4.84,4.84,7544700
2025-01-15,4.85,5.08,4.85,5.07,7511700
2025-01-16,5.05,5.1,4.83,4.87,6754400
2025-01-17,4.92,5.15,4.92,5.12,11027000
2025-01-20,5.1,5.17,5.02,5.17,6989700
2025-01-21,5.13,5.26,5.09,5.26,6174900
2025-01-22,5.25,5.32,5.13,5.19,7979900
2025-01-23,5.19,5.23,5.16,5.22,4768400
2025-01-24,5.25,5.29,5.14,5.15,4373700
2025-01-27,5.14,5.36,5.12,5.36,5639200
2025-01-28,5.31,5.33,5.25,5.26,3537900
2025-01-29,5.28,5.31,5.22,5.22,4673300
2025-01-30,5.24,5.65,5.24,5.56,9407800
2025-01-31,5.55,5.62,5.4,5.46,6693100
2025-02-03,5.4,5.51,5.32,5.34,4976300
2025-02-04,5.34,5.36,5.23,5.27,4263300
2025-02-05,5.25,5.3,5.21,5.25,3917900
2025-02-06,5.29,5.49,5.29,5.46,5961500
2025-02-07,5.46,5.58,5.31,5.34,6371000
2025-02-10,5.34,5.41,5.33,5.4,4290900
2025-02-11,5.31,5.37,5.24,5.32,6695600
2025-02-12,5.28,5.29,5.0,5.01,13149000
2025-02-13,5.0,5.17,4.97,5.17,6079500
2025-02-14,5.24,5.5,5.21,5.48,10630100
2025-02-17,5.47,5.63,5.47,5.52,6400900
2025-02-18,5.55,5.58,5.39,5.4,4601100
2025-02-19,5.33,5.46,5.31,5.37,3269800
2025-02-20,5.44,5.52,5.35,5.36,5857400
2025-02-21,5.39,5.42,5.29,5.38,4542700
2025-02-24,5.38,5.43,5.26,5.28,3163000
2025-02-25,5.28,5.38,5.25,5.35,5162300
2025-02-26,5.36,5.43,5.32,5.36,4626500
2025-02-27,5.33,5.4,5.29,5.32,4764400
2025-02-28,5.3,5.3,5.09,5.1,6362200
2025-03-05,5.16,5.32,5.1,5.29,6698300
2025-03-06,5.3,5.56,5.3,5.48,10224100
2025-03-07,5.39,5.55,5.27,5.49,6848200
2025-03-10,5.45,5.53,5.33,5.44,7884800
2025-03-11,5.46,5.47,5.18,5.27,7329800
2025-03-12,5.23,5.28,5.16,5.28,6439800
2025-03-13,5.61,5.93,5.58,5.76,24666300
2025-03-14,5.81,6.19,5.78,6.15,11473800
2025-03-17,6.15,6.29,6.11,6.29,7366300
2025-03-18,6.27,6.29,6.1,6.25,6469400
2025-03-19,6.17,6.44,6.17,6.4,8192500
2025-03-20,6.34,6.47,6.3,6.41,6560300
2025-03-21,6.47,6.51,6.24,6.38,14511100
2025-03-24,6.37,6.43,6.34,6.38,6533700
2025-03-25,6.4,6.4,6.3,6.33,5096000
2025-03-26,6.35,6.4,6.28,6.4,5131300
2025-03-27,6.39,6.4,6.26,6.31,5375000
2025-03-28,6.25,6.3,6.15,6.3,5193300
2025-03-31,6.2,6.26,6.15,6.19,7334900
2025-04-01,6.2,6.26,6.03,6.11,7064700
2025-04-02,6.11,6.12,5.88,5.96,8452400
2025-04-03,5.87,5.94,5.81,5.84,6898500
2025-04-04,5.65,5.67,5.52,5.65,8461500
2025-04-07,5.5,5.79,5.44,5.67,8738400
2025-04-08,5.73,5.78,5.38,5.43,8753700
2025-04-09,5.38,5.84,5.38,5.74,13203000
2025-04-10,5.76,5.76,5.57,5.7,7746900
2025-04-11,5.71,5.89,5.69,5.81,5390700
2025-04-14,5.87,6.12,5.87,6.08,6847500
2025-04-15,6.05,6.12,5.85,5.95,5347000
2025-04-16,5.91,5.92,5.68,5.72,9797300
2025-04-17,5.7,5.73,5.62,5.65,6838700
2025-04-22,5.65,5.75,5.47,5.74,11443500
2025-04-23,5.9,6.15,5.87,6.07,10333500
2025-04-24,6.12,6.39,6.11,6.34,8072400
