date,open,high,low,close,volume
2025-01-02,31.59,31.65,31.049999,31.42,1490000
2025-01-03,31.41,31.51,30.93,31.0,1094000
2025-01-06,31.49,31.700001,31.01,31.58,1461300
2025-01-07,31.66,31.85,31.280001,31.82,2890600
2025-01-08,31.809999,31.82,31.549999,31.690001,1530500
2025-01-09,31.82,32.060001,31.559999,31.950001,1105200
2025-01-10,32.09,32.09,31.51,31.639999,1235800
2025-01-13,31.77,32.23,31.559999,32.02,1977000
2025-01-14,31.959999,32.419998,31.74,32.369999,1379000
2025-01-15,32.560001,32.84,32.310001,32.709999,880400
2025-01-16,32.700001,32.810001,32.470001,32.639999,975900
2025-01-17,32.639999,33.52,32.580002,33.240002,1771600
2025-01-20,33.200001,33.439999,33.0,33.310001,884000
2025-01-21,33.299999,33.560001,32.59,33.060001,4637900
2025-01-22,33.470001,33.470001,32.82,33.07,1504900
2025-01-23,33.099998,33.720001,33.0,33.150002,2525000
2025-01-24,33.150002,33.150002,32.810001,32.959999,1055100
2025-01-27,32.900002,33.82,32.849998,33.82,1717800
2025-01-28,33.799999,34.16,33.509998,33.959999,1817600
2025-01-29,34.0,34.169998,33.509998,33.700001,933500
2025-01-30,33.869999,34.48,33.580002,34.419998,1675500
2025-01-31,34.490002,34.669998,34.189999,34.380001,1360600
2025-02-03,34.48,34.700001,34.16,34.630001,1219500
2025-02-04,34.639999,34.900002,34.360001,34.709999,1051100
2025-02-05,34.599998,34.77,34.23,34.299999,1474200
2025-02-06,34.27,34.360001,33.93,34.09,1029100
2025-02-07,34.09,34.450001,33.91,34.040001,1453000
2025-02-10,34.5,34.830002,33.77,33.880001,2275800
2025-02-11,33.900002,34.119999,33.400002,34.119999,1649300
2025-02-12,33.720001,33.77,33.240002,33.279999,2281100
2025-02-13,33.279999,33.799999,33.060001,33.799999,1291400
2025-02-14,33.849998,34.790001,33.75,34.400002,1937000
2025-02-17,34.279999,34.709999,34.09,34.330002,779000
2025-02-18,34.16,34.299999,33.810001,34.299999,3833800
2025-02-19,34.16,35.130001,34.0,34.889999,5940500
2025-02-20,34.799999,35.240002,34.669998,35.200001,2061300
2025-02-21,35.200001,35.299999,34.799999,35.029999,1742800
