date,open,high,low,close,volume
2025-01-02,8.27,8.27,8.08,8.24,11360600
2025-01-03,8.22,8.26,8.09,8.1,8349900
2025-01-06,8.2,8.25,8.11,8.17,5792300
2025-01-07,8.21,8.3,8.17,8.28,5115600
2025-01-08,8.22,8.23,8.08,8.13,5189700
2025-01-09,8.1,8.1,8.02,8.07,2176300
2025-01-10,8.07,8.07,7.87,7.93,5783800
2025-01-13,7.93,8.05,7.89,7.92,5288800
2025-01-14,7.9,8.02,7.87,8.0,26622400
2025-01-15,8.09,8.26,8.03,8.25,4198400
2025-01-16,8.25,8.25,8.04,8.11,4927500
2025-01-17,8.13,8.37,8.08,8.32,7256300
2025-01-20,8.27,8.33,8.23,8.31,6286500
2025-01-21,8.32,8.37,8.23,8.36,2455100
2025-01-22,8.39,8.54,8.36,8.49,4450300
2025-01-23,8.5,8.5,8.18,8.28,5758300
2025-01-24,8.28,8.36,8.24,8.32,4961900
2025-01-27,8.31,8.55,8.27,8.52,6634200
2025-01-28,8.52,8.63,8.46,8.62,4425700
2025-01-29,8.67,8.67,8.55,8.58,4284000
2025-01-30,8.58,8.89,8.56,8.85,5835900
2025-01-31,8.84,8.84,8.65,8.67,9514300
2025-02-03,8.64,8.8,8.57,8.72,8959700
2025-02-04,8.71,8.86,8.65,8.86,5326200
2025-02-05,8.89,8.91,8.76,8.86,5740700
2025-02-06,8.88,8.91,8.75,8.9,7431600
2025-02-07,8.91,8.91,8.73,8.77,3776500
2025-02-10,8.85,8.85,8.65,8.82,4755700
2025-02-11,8.86,9.16,8.83,9.01,5284900
2025-02-12,8.95,9.04,8.82,8.96,3014900
2025-02-13,8.9,9.04,8.89,9.0,3947700
2025-02-14,9.0,9.38,8.99,9.29,6494300
2025-02-17,9.25,9.32,9.16,9.24,4725600
2025-02-18,9.23,9.25,9.11,9.17,3823100
2025-02-19,9.15,9.18,9.07,9.17,5449000
2025-02-20,9.15,9.19,9.07,9.18,3034100
2025-02-21,9.18,9.26,9.11,9.18,3075400
2025-02-24,9.2,9.31,9.05,9.09,3468000
2025-02-25,9.09,9.27,9.07,9.23,4005200
2025-02-26,9.23,9.3,9.08,9.13,5098800
2025-02-27,9.13,9.24,9.08,9.14,3625000
2025-02-28,9.06,9.2,8.83,8.91,10814300
2025-03-05,8.88,8.88,8.66,8.84,5351800
2025-03-06,8.8,8.89,8.71,8.75,2749000
2025-03-07,8.72,8.97,8.64,8.9,5080500
2025-03-10,8.9,8.94,8.84,8.9,4939600
2025-03-11,8.86,8.96,8.76,8.96,3543900
2025-03-12,8.91,9.03,8.91,9.01,3705700
2025-03-13,9.01,9.2,8.91,9.15,4246300
2025-03-14,9.2,9.45,9.14,9.42,5736600
2025-03-17,9.38,9.49,9.27,9.44,6073800
2025-03-18,9.44,9.52,9.36,9.44,3048500
2025-03-19,9.48,9.65,9.42,9.58,4557500
2025-03-20,9.57,9.6,9.43,9.46,2500400
2025-03-21,9.5,9.54,9.4,9.41,5399400
2025-03-24,9.43,9.54,9.34,9.39,4051100
2025-03-25,9.4,9.54,9.38,9.45,3393600
2025-03-26,9.47,9.51,9.41,9.48,1654600
2025-03-27,9.51,9.62,9.44,9.48,4391000
2025-03-28,9.45,9.47,9.34,9.44,4182600
2025-03-31,9.42,9.48,9.33,9.37,3778700
2025-04-01,9.47,9.55,9.35,9.51,5168000
2025-04-02,9.48,9.61,9.44,9.53,4996300
2025-04-03,9.52,9.83,9.52,9.73,6699300
2025-04-04,9.68,9.7,9.45,9.56,7562000
2025-04-07,9.55,9.63,9.31,9.43,7309000
2025-04-08,9.46,9.62,9.32,9.4,6531900
2025-04-09,9.31,9.65,9.26,9.53,10103000
2025-04-10,9.5,9.56,9.4,9.49,6730400
2025-04-11,9.53,9.65,9.4,9.63,9894700
2025-04-14,9.66,9.9,9.61,9.86,5567600
2025-04-15,9.87,9.96,9.83,9.88,4513600
2025-04-16,9.87,9.93,9.76,9.83,3703200
2025-04-17,9.8,9.97,9.74,9.96,3720200
2025-04-22,9.97,10.18,9.9,10.13,4433500
2025-04-23,10.19,10.31,10.13,10.18,5602100
2025-04-24,10.23,10.58,10.21,10.55,6767600
2025-04-25,10.17,10.31,10.09,10.25,7115300
2025-04-28,10.26,10.41,10.21,10.33,6241000
2025-04-29,10.32,10.44,10.21,10.28,11297600
2025-04-30,10.28,10.44,10.21,10.44,9232400
2025-05-02,10.46,10.7,10.34,10.7,13095000
2025-05-05,10.66,10.74,10.55,10.69,8547100
2025-05-06,10.69,10.78,10.6,10.72,6738500
2025-05-07,10.78,10.78,10.58,10.71,4667300
2025-05-08,10.85,11.13,10.76,10.99,15779800
2025-05-09,11.18,11.44,11.1,11.29,10551500
2025-05-12,11.26,11.31,10.9,11.07,11749200
2025-05-13,11.16,11.45,11.06,11.39,7608300
2025-05-14,11.42,11.54,11.37,11.48,8830700
2025-05-15,11.48,11.64,11.37,11.48,7223300
2025-05-16,11.49,11.56,11.35,11.56,3715800
2025-05-19,11.56,11.64,11.5,11.55,5642100
2025-05-20,11.64,11.64,11.41,11.58,12486500
2025-05-21,11.59,11.59,11.34,11.4,4530000
2025-05-22,11.35,11.54,11.33,11.36,4404200
2025-05-23,11.3,11.44,11.1,11.44,3001600
2025-05-26,11.43,11.59,11.39,11.53,4190600
2025-05-27,11.59,11.7,11.55,11.69,6266700
2025-05-28,11.68,11.68,11.48,11.48,3429100
2025-05-29,11.48,11.74,11.43,11.72,6398200
2025-05-30,11.72,11.73,11.56,11.66,4133900
2025-06-02,11.65,11.74,11.37,11.5,5107500
2025-06-03,11.41,11.6,11.41,11.58,3977000
2025-06-04,11.55,11.72,11.48,11.53,4837400
2025-06-05,11.63,11.63,11.38,11.47,3884100
2025-06-06,11.46,11.53,11.41,11.51,7228000
2025-06-09,11.47,11.49,11.27,11.42,6190800
2025-06-10,11.53,11.61,11.41,11.55,12372900
2025-06-11,11.57,11.59,11.34,11.49,4736500
2025-06-12,11.45,11.57,11.38,11.56,4144400
2025-06-13,11.57,11.57,11.36,11.56,7133200
2025-06-16,11.56,11.8,11.55,11.8,3168600
2025-06-17,11.76,11.84,11.64,11.84,2961200
2025-06-18,11.85,11.87,11.68,11.7,6954300
2025-06-20,11.64,11.7,11.52,11.66,5027400
2025-06-23,11.68,11.74,11.56,11.63,4448100
2025-06-24,11.7,11.95,11.64,11.75,7403300
2025-06-25,11.76,11.76,11.5,11.57,6229800
2025-06-26,11.59,11.65,11.51,11.62,7002100
2025-06-27,11.56,11.57,11.36,11.43,7091500
2025-06-30,11.41,11.66,11.34,11.66,6524400
2025-07-01,11.63,11.7,11.55,11.61,4064300
2025-07-02,11.61,11.64,11.2,11.27,7090100
2025-07-03,11.27,11.55,11.2,11.52,3666600
2025-07-04,11.49,11.59,11.43,11.55,1553700
2025-07-07,11.55,11.6,11.37,11.44,3052000
2025-07-08,11.44,11.45,11.28,11.39,3660300
2025-07-09,11.38,11.38,11.17,11.27,3503800
2025-07-10,11.11,11.2,11.04,11.15,5552800
2025-07-11,11.09,11.19,11.0,11.11,3859800
2025-07-14,11.07,11.12,10.91,11.01,3908700
2025-07-15,11.12,11.15,10.95,11.14,2973700
2025-07-16,11.13,11.33,11.11,11.29,7999300
2025-07-17,11.3,11.31,11.05,11.18,5073300
2025-07-18,11.1,11.23,11.03,11.11,4637400
2025-07-21,11.11,11.14,11.01,11.1,3711600
2025-07-22,11.14,11.14,10.88,10.91,3809500
2025-07-23,10.86,11.13,10.85,11.1,1707400
2025-07-24,11.02,11.1,10.87,10.94,2417900
2025-07-25,10.92,10.93,10.78,10.89,1932000
2025-07-28,10.84,10.91,10.66,10.78,19787800
2025-07-29,10.81,10.98,10.76,10.95,5783100
2025-07-30,10.9,11.25,10.9,11.11,5079500
2025-07-31,11.06,11.25,10.88,11.04,4259200
2025-08-01,10.9,11.28,10.9,11.18,5003000
2025-08-04,11.24,11.24,10.98,11.1,6546800
2025-08-05,11.12,11.14,10.92,11.0,2940000
2025-08-06,11.07,11.34,10.98,11.28,3963300
2025-08-07,11.29,11.62,11.14,11.52,5541000
2025-08-08,11.52,11.6,11.39,11.49,6554100
2025-08-11,11.52,11.59,11.32,11.36,4004700
2025-08-12,11.43,11.67,11.38,11.61,2862800
2025-08-13,11.63,11.63,11.21,11.32,6241600
2025-08-14,11.3,11.72,11.16,11.34,9253900
2025-08-15,11.34,11.38,11.19,11.29,3705300
2025-08-18,11.28,11.35,11.23,11.25,3310300
2025-08-19,11.22,11.22,10.97,11.01,2870000
2025-08-20,11.06,11.19,10.96,11.19,3060800
2025-08-21,11.14,11.23,11.05,11.07,2225200
2025-08-22,11.13,11.34,10.98,11.33,2510200
2025-08-25,11.36,11.43,11.24,11.29,2502100
2025-08-26,11.29,11.37,11.15,11.18,3700600
2025-08-27,11.23,11.29,11.11,11.29,2226400
2025-08-28,11.32,11.49,11.27,11.32,5124200
2025-08-29,11.26,11.38,11.2,11.2,13534800
2025-09-01,11.24,11.28,11.06,11.16,2094600
2025-09-02,11.1,11.35,11.04,11.23,32642700
2025-09-03,11.23,11.31,11.15,11.15,1696900
2025-09-04,11.22,11.28,11.09,11.28,3890600
2025-09-05,11.31,11.43,11.28,11.4,2611600
2025-09-08,11.39,11.39,11.17,11.28,5699200
2025-09-09,11.26,11.47,11.22,11.43,5152500
2025-09-10,11.44,11.6,11.44,11.52,3711300
2025-09-11,11.52,11.72,11.46,11.56,5259900
2025-09-12,11.51,11.63,11.45,11.6,1758000
2025-09-15,11.63,11.79,11.6,11.75,1773300
2025-09-16,11.77,11.91,11.73,11.8,4723800
2025-09-17,11.8,12.0,11.8,12.0,2189200
2025-09-18,12.0,12.07,11.92,11.97,3127700
2025-09-19,11.98,12.18,11.92,12.18,5158700
2025-09-22,12.17,12.17,11.93,12.01,2995700
2025-09-23,12.03,12.17,11.98,12.17,1776900
2025-09-24,12.19,12.19,12.01,12.07,2281500
2025-09-25,12.05,12.08,11.81,11.86,3551900
2025-09-26,11.86,11.93,11.76,11.83,2602000
2025-09-29,11.88,12.05,11.8,12.04,4555800
2025-09-30,12.07,12.14,12.02,12.08,3966200
2025-10-01,12.18,12.26,12.02,12.1,6576500
2025-10-02,12.07,12.14,11.81,11.84,5504100
2025-10-03,11.83,11.86,11.68,11.85,2917400
2025-10-06,11.84,11.84,11.69,11.72,3332000
2025-10-07,11.69,11.69,11.42,11.53,10889400
2025-10-08,11.53,11.66,11.42,11.5,6619400
2025-10-09,11.52,11.65,11.5,11.58,2317100
2025-10-10,11.52,11.72,11.42,11.56,3225500
2025-10-13,11.58,11.76,11.58,11.69,2190700
2025-10-14,11.67,11.87,11.62,11.69,3894400
2025-10-15,11.69,11.8,11.58,11.72,7256600
2025-10-16,11.71,12.05,11.66,11.98,4108200
2025-10-17,11.92,12.28,11.86,12.22,2722400
2025-10-20,12.3,12.41,12.28,12.4,5694600
2025-10-21,12.34,12.49,12.33,12.48,2542900
2025-10-22,12.45,12.79,12.45,12.69,6225100
2025-10-23,12.82,12.82,12.6,12.79,2956100
2025-10-24,12.86,12.98,12.8,12.84,4434400
2025-10-27,12.86,13.03,12.83,12.91,4823400
2025-10-28,12.96,12.96,12.66,12.8,7548400
2025-10-29,12.83,13.0,12.76,12.96,5349500
2025-10-30,12.94,13.0,12.83,12.95,2504300
2025-10-31,13.0,13.14,12.93,13.11,5768700
2025-11-03,13.23,13.35,13.13,13.33,3538300
2025-11-04,13.31,13.47,13.28,13.37,3859200
2025-11-05,13.37,13.7,13.34,13.61,4456900
2025-11-06,13.58,13.6,13.26,13.37,5795900
2025-11-07,13.37,13.51,13.28,13.46,2844200
2025-11-10,13.46,13.71,13.46,13.7,4223400
2025-11-11,13.8,14.04,13.48,13.58,11195600
2025-11-12,13.57,13.65,13.43,13.57,7797600
2025-11-13,13.53,13.84,13.52,13.77,11551100
2025-11-14,13.86,13.86,13.55,13.77,8744600
2025-11-17,13.82,13.86,13.41,13.66,17295200
2025-11-18,13.66,13.77,13.48,13.62,8722400
2025-11-19,13.7,13.7,13.21,13.21,14875400
2025-11-21,13.21,13.25,12.85,13.02,7652400
2025-11-24,13.03,13.26,12.99,13.15,7241900
2025-11-25,13.16,13.37,13.05,13.37,5906100
2025-11-26,13.38,13.73,13.37,13.7,13186800
2025-11-27,13.7,13.77,13.63,13.67,4658500
2025-11-28,13.71,13.77,13.52,13.62,13899200
2025-12-01,13.6,13.71,13.4,13.6,12393300
2025-12-02,13.6,13.91,13.57,13.74,11796000
2025-12-03,13.74,13.86,13.57,13.78,5110100
2025-12-04,13.78,14.05,13.78,13.93,5550300
2025-12-05,13.93,14.02,13.18,13.28,7381500
2025-12-08,13.4,13.45,13.12,13.26,5967700
2025-12-09,13.15,13.35,12.88,13.29,6849300
2025-12-10,13.29,13.48,13.19,13.29,8136900
2025-12-11,13.29,13.45,13.19,13.36,5324000
2025-12-12,13.29,13.55,13.19,13.5,8074900
2025-12-15,13.6,13.75,13.52,13.71,12436900
2025-12-16,13.61,13.64,13.14,13.22,26561500
2025-12-17,13.19,13.19,12.7,12.96,17836500
2025-12-18,12.87,13.12,12.66,13.0,14329600
2025-12-19,13.0,13.14,12.79,12.87,26998900
2025-12-22,12.87,12.94,12.6,12.71,13945500
2025-12-23,12.75,13.07,12.74,12.93,13482700
2025-12-26,12.85,13.01,12.75,13.0,9095200
2025-12-29,12.99,13.04,12.81,12.87,43870900
2025-12-30,12.99,13.13,12.9,13.08,18404700
2026-01-02,12.41,12.51,12.1,12.14,18163600
2026-01-05,12.15,12.39,12.02,12.25,19884100
2026-01-06,12.25,12.5,12.25,12.44,13695300
2026-01-07,12.44,12.44,12.03,12.12,18721900
2026-01-08,12.11,12.47,12.05,12.38,13090600
2026-01-09,12.42,12.92,12.34,12.82,21896600
2026-01-12,12.82,12.99,12.72,12.88,16923400
2026-01-13,12.77,12.79,12.39,12.46,16862600
2026-01-14,12.51,12.63,12.31,12.45,27016300
2026-01-15,12.56,12.73,12.36,12.6,22657000
2026-01-16,12.64,12.7,12.2,12.31,42861600
2026-01-19,12.28,12.41,12.22,12.27,11423100
2026-01-20,12.28,12.49,12.12,12.46,18771400
2026-01-21,12.61,12.88,12.6,12.88,21096700
2026-01-22,12.88,13.41,12.84,13.29,20397600
2026-01-23,13.35,13.66,13.11,13.52,18818500
2026-01-26,13.57,13.64,13.3,13.59,17825500
2026-01-27,13.76,13.89,13.53,13.71,31378200
2026-01-28,13.75,13.82,13.19,13.49,35654700
2026-01-29,13.54,13.54,12.91,13.09,27454800
2026-01-30,13.04,13.3,13.04,13.18,19201400
2026-02-02,13.2,13.31,13.09,13.19,18400600
2026-02-03,13.24,13.62,13.24,13.54,23983200
2026-02-04,13.55,13.55,13.01,13.17,13696900
2026-02-05,13.22,13.42,13.18,13.34,15402000
2026-02-06,13.38,13.47,13.26,13.4,12070900
2026-02-09,13.45,13.75,13.45,13.72,26396300
2026-02-10,13.68,14.05,13.62,13.99,21666000
2026-02-11,14.1,14.3,13.99,14.16,21711700
2026-02-12,14.1,14.22,13.9,13.96,23311200
2026-02-13,13.81,14.0,13.59,13.97,18142800
2026-02-18,14.06,14.31,13.97,14.08,17775700
2026-02-19,14.11,14.37,13.96,14.28,27085200
2026-02-20,14.19,14.52,14.04,14.5,19174300
2026-02-23,14.48,14.52,14.25,14.4,15014100
2026-02-24,14.4,15.08,14.37,14.87,34355700
2026-02-25,15.0,15.0,14.75,14.87,13864600
2026-02-26,14.88,15.02,14.81,14.95,14844400
2026-02-27,15.02,15.04,14.62,14.66,123326700
2026-03-02,14.58,14.79,14.28,14.73,25231800
2026-03-03,14.2,14.47,13.98,14.38,22550500
2026-03-04,14.52,14.99,14.5,14.95,23212900
2026-03-05,14.94,14.94,14.46,14.59,16698500
2026-03-06,14.49,14.54,14.24,14.45,10467800
2026-03-09,14.45,14.55,14.12,14.53,26101600
2026-03-10,14.59,15.16,14.57,14.86,26877200
2026-03-11,14.72,14.93,14.61,14.69,25336400
2026-03-12,14.5,14.56,14.08,14.17,14285500
2026-03-13,14.3,14.48,14.02,14.09,15308100
2026-03-16,14.44,14.51,14.32,14.4,14371500
2026-03-17,14.35,14.68,14.31,14.4,50355600
2026-03-18,14.28,15.3,14.27,15.2,37966000
2026-03-19,14.9,15.56,14.9,15.47,29624700
2026-03-20,15.45,15.57,14.73,14.83,37272200
2026-03-23,15.1,15.52,15.03,15.36,17227100
2026-03-24,15.4,15.44,15.03,15.27,12262200
2026-03-25,15.45,15.57,15.27,15.36,27849500
2026-03-26,15.27,15.27,15.03,15.18,12400100
2026-03-27,15.12,15.29,14.87,14.98,13806200
2026-03-30,15.18,15.19,14.89,15.02,12903200
2026-03-31,15.12,15.48,15.07,15.43,23324600
2026-04-01,15.56,15.9,15.46,15.83,25239700
2026-04-02,15.43,16.030001,15.43,15.92,13410200
2026-04-06,15.96,16.139999,15.81,15.82,11244100
2026-04-07,15.81,15.82,15.57,15.8,14750000
2026-04-08,16.41,16.41,16.040001,16.23,22324500
2026-04-09,16.26,16.559999,16.219999,16.540001,18126300
2026-04-10,16.58,16.809999,16.48,16.66,18736400
2026-04-13,16.6,16.77,16.5,16.73,27622300
2026-04-14,16.700001,16.99,16.67,16.93,16045200
2026-04-15,16.9,16.940001,16.59,16.83,17391100
2026-04-16,16.91,16.91,16.67,16.799999,32594100
2026-04-17,17.0,17.129999,16.51,16.66,48828300
2026-04-20,16.639999,16.98,16.57,16.9,35395800
2026-04-22,16.9,16.91,16.6,16.709999,34600300
2026-04-23,16.790001,16.889999,16.700001,16.809999,24383700
2026-04-24,16.82,16.83,16.549999,16.59,21410300
2026-04-27,16.75,16.75,16.27,16.299999,17752400
2026-04-28,16.129999,16.129999,15.87,16.129999,34031600
2026-04-29,16.08,16.08,15.67,15.77,24501900
2026-04-30,15.53,15.99,15.53,15.9,43747800
2026-05-04,16.0,16.01,15.73,15.87,26087700
2026-05-05,15.7,16.0,15.69,15.9,40237700
2026-05-06,16.049999,16.049999,15.47,15.75,38530400
2026-05-07,15.72,15.79,15.25,15.29,24626400
