date,open,high,low,close,volume
2025-01-02,8.18,8.22,7.9,8.02,16226100
2025-01-03,8.01,8.1,7.92,8.05,14614100
2025-01-06,8.16,8.46,8.14,8.29,18328600
2025-01-07,8.41,8.52,8.3,8.38,16953500
2025-01-08,8.33,8.35,8.09,8.2,12836800
2025-01-09,8.15,8.3,8.1,8.21,7970300
2025-01-10,8.24,8.25,8.05,8.11,15466800
2025-01-13,8.11,8.49,8.07,8.21,18084000
2025-01-14,8.21,8.28,8.06,8.23,15181400
2025-01-15,8.31,8.68,8.3,8.58,29289100
2025-01-16,9.3,9.32,8.63,8.63,50819600
2025-01-17,8.73,8.75,8.2,8.2,28519500
2025-01-20,8.2,8.2,7.64,7.64,36878200
2025-01-21,7.7,7.83,7.57,7.75,27015900
2025-01-22,7.84,7.91,7.66,7.73,25724300
2025-01-23,7.74,7.84,7.51,7.57,31308700
2025-01-24,7.56,7.7,7.53,7.56,12929900
2025-01-27,7.51,7.9,7.46,7.83,22196700
2025-01-28,7.83,7.86,7.62,7.62,15909900
2025-01-29,7.7,7.7,7.47,7.48,14638800
2025-01-30,7.53,8.05,7.51,8.03,32032500
2025-01-31,8.03,8.09,7.74,7.74,19332300
2025-02-03,7.68,7.84,7.6,7.8,15699200
2025-02-04,7.78,7.8,7.61,7.68,10882300
2025-02-05,7.68,7.71,7.49,7.51,23165000
2025-02-06,7.52,7.69,7.42,7.65,21757200
2025-02-07,7.65,7.65,7.17,7.18,32056900
2025-02-10,7.18,7.5,7.18,7.45,21551000
2025-02-11,7.49,7.58,7.31,7.55,11583400
2025-02-12,7.47,7.47,7.11,7.31,34063400
2025-02-13,7.25,7.32,7.18,7.22,18055700
2025-02-14,7.28,7.65,7.28,7.58,26001400
2025-02-17,7.47,8.08,7.34,7.78,34272400
2025-02-18,7.77,7.94,7.71,7.77,22277300
2025-02-19,7.68,7.75,7.41,7.41,23571200
2025-02-20,7.46,7.6,7.42,7.47,17209300
2025-02-21,7.49,7.54,7.22,7.29,19279200
2025-02-24,7.31,7.36,6.92,6.96,45299900
2025-02-25,6.98,7.24,6.98,7.12,26360700
2025-02-26,7.2,7.28,7.0,7.0,40056600
2025-02-27,6.98,7.45,6.98,7.24,36912800
2025-02-28,7.1,7.24,7.0,7.09,226148900
2025-03-05,6.97,7.12,6.91,7.11,23658500
2025-03-06,7.13,7.24,6.98,7.06,29167300
2025-03-07,7.02,7.32,6.96,7.27,16276000
2025-03-10,7.21,7.28,7.02,7.09,15996300
2025-03-11,7.09,7.12,6.85,6.98,18226200
2025-03-12,7.0,7.05,6.87,6.91,14215400
2025-03-13,6.91,7.15,6.83,7.14,21682100
2025-03-14,7.18,7.51,7.16,7.47,19310200
2025-03-17,7.55,7.95,7.5,7.8,41312900
2025-03-18,7.75,7.79,7.61,7.69,14410100
2025-03-19,7.73,8.0,7.65,7.91,42712800
2025-03-20,7.88,7.97,7.75,7.8,16707700
2025-03-21,7.73,7.83,7.71,7.76,16641800
2025-03-24,7.74,7.76,7.54,7.59,8165500
2025-03-25,7.6,7.8,7.58,7.65,15164200
2025-03-26,7.69,7.77,7.59,7.71,13433400
2025-03-27,7.77,7.88,7.62,7.76,10066200
2025-03-28,7.75,7.76,7.55,7.63,8867800
2025-03-31,7.59,7.61,7.39,7.39,15151000
2025-04-01,7.36,7.5,7.33,7.37,11010000
2025-04-02,7.38,7.54,7.3,7.49,10457900
2025-04-03,7.47,7.79,7.43,7.79,20364000
2025-04-04,7.54,7.54,7.18,7.24,27268300
2025-04-07,7.0,7.43,6.93,7.01,18643200
2025-04-08,7.08,7.11,6.57,6.59,32612300
2025-04-09,6.5,6.99,6.45,6.84,43249100
2025-04-10,6.79,6.94,6.65,6.94,22727500
2025-04-11,7.01,7.11,6.84,7.04,16628200
2025-04-14,7.18,7.3,7.1,7.25,12736700
2025-04-15,7.19,7.27,6.99,7.05,11659100
2025-04-16,6.98,7.13,6.94,7.0,16658800
2025-04-17,6.99,7.2,6.92,7.17,20096100
2025-04-22,7.14,7.29,6.97,7.26,17620300
2025-04-23,7.38,7.59,7.38,7.51,18131300
2025-04-24,7.52,7.87,7.51,7.81,18102300
2025-04-25,7.8,7.83,7.66,7.71,13331400
2025-04-28,7.75,7.86,7.63,7.72,13610800
2025-04-29,7.74,7.92,7.7,7.73,14840600
2025-04-30,7.7,7.85,7.64,7.77,12319800
2025-05-02,8.02,8.11,7.79,8.01,26176200
2025-05-05,8.03,8.18,7.7,7.75,15221800
2025-05-06,7.82,7.98,7.72,7.73,13774600
2025-05-07,7.78,7.82,7.57,7.65,8866100
2025-05-08,7.88,8.28,7.87,7.99,23839300
2025-05-09,7.97,8.04,7.8,7.81,11369900
2025-05-12,7.99,8.08,7.75,7.78,12844400
2025-05-13,7.78,8.12,7.78,7.97,20765100
2025-05-14,7.87,7.96,7.71,7.8,13845100
2025-05-15,7.78,7.84,7.65,7.72,13791800
2025-05-16,7.66,7.69,7.31,7.57,28152700
2025-05-19,7.55,7.7,7.35,7.57,20138400
2025-05-20,7.54,7.71,7.46,7.58,17164000
2025-05-21,7.54,7.76,7.51,7.68,19276700
2025-05-22,7.71,8.01,7.6,7.74,35727500
2025-05-23,7.7,8.17,7.55,8.02,42043400
2025-05-26,8.07,8.22,8.05,8.05,14225500
2025-05-27,8.09,8.35,8.09,8.15,14858600
2025-05-28,8.12,8.23,8.01,8.23,15736500
2025-05-29,8.28,8.55,8.12,8.4,17922700
2025-05-30,8.45,8.57,8.13,8.23,21984800
2025-06-02,8.31,8.53,8.04,8.05,12081100
2025-06-03,8.04,8.56,8.04,8.54,19691700
2025-06-04,8.61,8.78,8.29,8.31,16784800
2025-06-05,8.35,8.37,8.04,8.04,19167500
2025-06-06,8.05,8.26,7.98,8.06,16457700
2025-06-09,8.05,8.08,7.84,8.01,13696600
2025-06-10,8.11,8.36,8.06,8.26,13774900
2025-06-11,8.17,8.36,8.14,8.25,8750400
2025-06-12,8.23,8.39,8.18,8.24,12058600
2025-06-13,8.23,8.23,8.03,8.12,10878000
2025-06-16,8.22,8.53,8.22,8.44,15036600
2025-06-17,8.46,8.46,8.11,8.12,13396500
2025-06-18,8.12,8.19,7.96,8.0,14631500
2025-06-20,7.91,7.93,7.28,7.28,42747000
2025-06-23,7.32,7.39,6.87,6.94,40417800
2025-06-24,6.99,7.18,6.9,7.11,31313500
2025-06-25,7.06,7.16,6.87,6.87,19256900
2025-06-26,6.95,7.04,6.89,6.91,13283700
2025-06-27,6.87,6.92,6.74,6.74,16162200
