date,open,high,low,close,volume
2025-01-02,20.82,20.969999,20.059999,20.530001,2719700
2025-01-03,20.530001,21.02,20.42,20.799999,2328800
2025-01-06,21.1,21.24,20.719999,20.799999,1393900
2025-01-07,20.76,21.16,20.700001,20.84,2532600
2025-01-08,20.65,21.889999,20.65,21.57,5107500
2025-01-09,21.620001,21.889999,21.43,21.75,1211600
2025-01-10,21.75,22.02,21.42,21.51,1224300
2025-01-13,21.59,21.85,21.200001,21.75,2223600
2025-01-14,21.84,21.889999,21.26,21.26,1897900
2025-01-15,21.379999,21.620001,21.09,21.469999,2111100
2025-01-16,21.4,21.719999,21.23,21.610001,1142200
2025-01-17,21.620001,21.9,21.35,21.719999,2997600
2025-01-20,21.719999,21.950001,21.6,21.73,666800
2025-01-21,21.879999,22.139999,21.5,22.0,824800
2025-01-22,21.9,22.26,21.76,21.860001,1429700
2025-01-23,21.83,21.99,21.4,21.65,1260400
2025-01-24,21.68,21.68,21.26,21.48,858200
2025-01-27,21.49,22.07,21.33,21.959999,963300
2025-01-28,21.950001,22.24,21.74,22.040001,892600
2025-01-29,22.209999,22.219999,21.969999,22.1,959300
2025-01-30,22.1,22.610001,22.09,22.450001,1380700
2025-01-31,22.450001,22.59,22.18,22.379999,1720100
2025-02-03,22.200001,22.67,22.02,22.67,849800
2025-02-04,22.67,22.969999,22.5,22.700001,1008800
2025-02-05,22.690001,23.16,22.57,23.0,1198500
2025-02-06,23.139999,23.139999,22.74,23.030001,1536500
2025-02-07,23.040001,23.65,23.01,23.26,1245100
2025-02-10,23.379999,24.07,23.25,23.860001,1497800
2025-02-11,23.85,24.459999,23.84,24.23,1203000
2025-02-12,24.16,24.25,23.57,23.75,1550800
2025-02-13,23.75,23.940001,23.43,23.940001,1185300
2025-02-14,24.0,24.66,23.93,24.52,1300800
2025-02-17,24.51,24.700001,24.27,24.469999,905400
2025-02-18,24.49,24.67,23.719999,23.940001,1353400
2025-02-19,23.709999,24.16,22.610001,22.700001,4447900
2025-02-20,22.709999,23.190001,22.41,23.040001,2607000
2025-02-21,23.040001,23.309999,22.790001,23.200001,1603100
2025-02-24,23.299999,23.299999,22.25,22.51,1584600
2025-02-25,22.58,22.84,22.4,22.76,1032000
2025-02-26,22.77,22.940001,22.360001,22.76,1947200
2025-02-27,22.85,22.99,22.450001,22.719999,1164900
2025-02-28,22.85,23.27,22.610001,23.27,2021900
2025-03-05,23.299999,23.370001,22.85,23.08,1394100
2025-03-06,22.530001,22.620001,21.959999,22.51,1892300
2025-03-07,22.57,22.84,22.059999,22.84,1774000
2025-03-10,22.879999,22.969999,22.48,22.75,1163300
2025-03-11,22.83,22.85,22.23,22.610001,1074500
2025-03-12,22.610001,22.83,22.5,22.83,784500
2025-03-13,22.99,23.200001,22.440001,23.200001,938200
2025-03-14,23.25,24.4,22.91,24.0,2921400
2025-03-17,24.030001,24.190001,23.58,23.75,1033900
2025-03-18,23.870001,23.950001,23.52,23.950001,772400
2025-03-19,24.0,24.0,23.58,23.879999,1342600
