date,open,high,low,close,volume
2025-01-02,8.88,8.91,8.38,8.42,11807600
2025-01-03,8.34,8.4,8.16,8.21,18857700
2025-01-06,8.28,8.69,8.27,8.53,11194600
2025-01-07,8.63,8.71,8.31,8.36,8167500
2025-01-08,8.3,8.31,7.76,7.76,13828400
2025-01-09,7.83,7.84,7.43,7.45,11296700
2025-01-10,7.46,7.9,7.44,7.73,17203200
2025-01-13,7.76,7.86,7.56,7.68,10836500
2025-01-14,7.79,7.79,7.47,7.49,12033400
2025-01-15,7.56,8.02,7.55,7.97,12117400
2025-01-16,7.9,8.01,7.72,7.81,14190400
2025-01-17,7.91,8.2,7.89,8.13,21683500
2025-01-20,8.09,8.09,7.91,7.99,7395500
2025-01-21,7.98,8.14,7.77,8.1,12916300
2025-01-22,8.07,8.14,7.78,7.85,16897900
2025-01-23,7.84,7.97,7.75,7.86,13162100
2025-01-24,7.9,8.42,7.89,8.26,19736100
2025-01-27,8.19,8.84,8.18,8.8,14802600
2025-01-28,8.75,8.87,8.65,8.73,8364300
2025-01-29,8.8,8.87,8.65,8.8,7421000
2025-01-30,8.9,9.41,8.89,9.25,13202300
2025-01-31,9.26,9.28,8.94,9.09,10652700
2025-02-03,8.9,9.19,8.89,9.03,8671200
2025-02-04,9.01,9.15,8.92,9.02,7845100
2025-02-05,8.99,9.04,8.71,8.73,10601200
2025-02-06,8.78,9.15,8.76,9.06,11471900
2025-02-07,9.05,9.12,8.89,8.94,12265900
2025-02-10,8.76,9.12,8.74,9.07,19244800
2025-02-11,8.93,9.25,8.66,8.87,18982100
2025-02-12,8.79,8.79,8.24,8.38,26187300
2025-02-13,8.33,8.46,8.19,8.36,12508800
2025-02-14,8.44,8.79,8.44,8.74,12119900
2025-02-17,8.75,9.14,8.75,8.79,10169500
2025-02-18,8.87,9.02,8.75,8.89,8487100
2025-02-19,8.79,8.97,8.68,8.76,11442300
2025-02-20,8.87,9.03,8.67,8.84,15332700
2025-02-21,8.83,9.04,8.63,8.7,14250500
2025-02-24,8.73,8.85,8.4,8.46,13463800
2025-02-25,8.4,8.59,8.39,8.54,12861700
2025-02-26,8.63,8.77,8.53,8.7,17876900
2025-02-27,8.63,9.02,8.6,8.67,14314300
2025-02-28,8.6,8.65,8.41,8.52,91028700
2025-03-05,8.45,8.57,8.3,8.5,6745300
2025-03-06,8.5,8.77,8.47,8.67,11616400
2025-03-07,8.52,8.84,8.41,8.8,10943300
2025-03-10,8.7,8.83,8.53,8.66,11471400
2025-03-11,8.65,8.75,8.31,8.44,11348100
2025-03-12,8.37,8.47,8.19,8.47,16468400
2025-03-13,8.55,9.34,8.55,9.14,25997900
2025-03-14,9.2,10.25,9.16,10.22,26742900
2025-03-17,10.17,10.3,10.01,10.08,10116600
2025-03-18,10.0,10.09,9.54,9.85,18130100
2025-03-19,9.8,10.17,9.68,10.05,15469800
