date,open,high,low,close,volume
2025-01-02,17.469999,17.639999,17.08,17.49,2042600
2025-01-03,17.360001,17.610001,17.219999,17.299999,1447900
2025-01-06,17.389999,17.870001,17.389999,17.870001,1314500
2025-01-07,18.0,18.209999,17.799999,17.950001,2271900
2025-01-08,17.809999,18.24,17.67,17.790001,3050000
2025-01-09,17.799999,18.370001,17.690001,18.200001,1738500
2025-01-10,18.129999,18.48,18.0,18.1,2196000
2025-01-13,17.959999,18.690001,17.9,18.549999,2732500
2025-01-14,18.610001,19.23,18.610001,19.219999,2680000
2025-01-15,19.280001,20.030001,19.200001,19.9,3523900
2025-01-16,19.85,19.860001,19.41,19.52,3170700
2025-01-17,19.620001,19.75,19.200001,19.52,1999900
2025-01-20,19.42,20.23,19.35,19.889999,783800
2025-01-21,19.790001,20.129999,19.790001,20.1,999800
2025-01-22,20.26,20.34,19.73,20.16,2562000
2025-01-23,20.17,20.23,19.700001,20.0,1872700
2025-01-24,20.08,20.469999,19.93,20.4,1490400
2025-01-27,20.4,21.110001,20.15,20.959999,1824300
2025-01-28,20.75,20.84,20.58,20.709999,1451900
2025-01-29,20.700001,21.15,20.540001,20.950001,1412600
2025-01-30,20.950001,21.799999,20.92,21.4,2756400
2025-01-31,21.51,21.74,21.43,21.620001,1832900
2025-02-03,21.59,22.09,21.559999,21.950001,3817200
2025-02-04,21.959999,22.219999,21.799999,21.9,2070900
2025-02-05,21.969999,21.969999,21.379999,21.74,1496600
2025-02-06,21.9,22.690001,21.76,22.690001,2385600
2025-02-07,22.66,23.15,22.25,22.35,2714400
2025-02-10,22.57,23.040001,22.440001,22.780001,2432500
2025-02-11,21.99,22.799999,21.870001,22.790001,1888300
2025-02-12,22.68,23.0,22.120001,22.82,2237800
2025-02-13,22.82,23.059999,22.65,22.68,1292700
2025-02-14,22.719999,23.610001,22.719999,23.24,2488300
2025-02-17,23.34,23.950001,23.34,23.48,1871000
2025-02-18,23.48,23.91,23.25,23.73,2156100
2025-02-19,23.49,23.549999,22.75,22.75,1769200
2025-02-20,22.75,22.940001,22.530001,22.76,1340300
2025-02-21,22.639999,23.9,22.639999,23.75,1619900
2025-02-24,23.67,23.76,22.67,22.74,1278900
2025-02-25,22.58,22.73,22.299999,22.299999,1864600
2025-02-26,22.41,22.639999,21.559999,21.799999,1994600
2025-02-27,21.52,21.950001,21.52,21.950001,1031000
2025-02-28,21.809999,22.26,21.200001,21.209999,1363300
2025-03-05,21.02,21.49,20.76,21.309999,1225600
2025-03-06,21.33,22.51,21.23,21.83,3646600
2025-03-07,21.66,22.42,21.35,22.16,1314400
2025-03-10,22.16,22.33,21.870001,22.01,1149500
2025-03-11,22.110001,22.120001,21.33,21.49,1572500
2025-03-12,21.299999,22.809999,21.299999,22.68,1989200
2025-03-13,22.559999,22.59,21.92,22.42,1527500
2025-03-14,22.42,23.639999,22.42,23.33,1164300
2025-03-17,23.59,23.709999,23.139999,23.48,2247300
2025-03-18,23.48,24.620001,23.309999,24.25,4990300
2025-03-19,24.25,25.1,24.18,24.959999,2839200
2025-03-20,25.08,25.190001,24.190001,24.219999,1729900
2025-03-21,24.27,24.27,23.74,23.93,2183400
2025-03-24,24.030001,24.120001,23.620001,23.77,1135300
2025-03-25,23.77,24.24,23.57,24.200001,2520300
2025-03-26,24.41,24.959999,24.280001,24.52,1483200
2025-03-27,24.51,25.16,24.43,24.940001,1073400
2025-03-28,24.75,24.9,24.469999,24.790001,1308400
2025-03-31,24.549999,24.92,24.34,24.549999,1863200
2025-04-01,24.450001,25.610001,24.450001,25.309999,1543300
2025-04-02,25.309999,26.190001,25.290001,25.85,1942400
2025-04-03,25.83,26.75,25.41,26.040001,2179000
2025-04-04,25.530001,25.77,25.049999,25.360001,1578600
2025-04-07,25.139999,26.1,24.629999,25.360001,2415400
2025-04-08,25.530001,26.59,25.51,26.09,2291500
2025-04-09,26.0,26.82,25.73,26.15,4180200
2025-04-10,26.24,26.24,25.35,25.620001,1915100
2025-04-11,25.629999,26.07,25.01,25.93,2740500
2025-04-14,26.309999,26.549999,25.950001,26.549999,1739500
2025-04-15,26.629999,27.15,26.35,27.059999,1650900
2025-04-16,26.83,27.25,26.73,26.91,1314900
2025-04-17,27.1,27.450001,26.879999,27.34,1198900
