date,open,high,low,close,volume
2025-01-02,14.32,14.51,14.08,14.42,4464900
2025-01-03,14.42,14.5,14.23,14.31,4566600
2025-01-06,14.0,14.16,13.85,14.16,4714800
2025-01-07,14.18,14.35,14.17,14.18,3721100
2025-01-08,14.18,14.31,14.04,14.09,3306000
2025-01-09,14.09,14.29,14.05,14.25,1895400
2025-01-10,14.16,14.28,14.07,14.16,2737700
2025-01-13,14.15,14.18,14.02,14.11,2713200
2025-01-14,14.1,14.3,13.99,14.18,3521900
2025-01-15,14.25,14.48,14.14,14.38,3624900
2025-01-16,14.36,14.47,14.2,14.22,2463900
2025-01-17,14.3,14.59,14.2,14.48,2883800
2025-01-20,14.45,14.62,14.41,14.44,2221300
2025-01-21,14.44,14.59,14.35,14.54,3218100
2025-01-22,14.57,14.77,14.41,14.45,3220100
2025-01-23,14.5,14.85,14.37,14.45,4357900
2025-01-24,14.45,14.82,14.42,14.76,4544400
2025-01-27,14.75,15.03,14.7,14.9,3033700
2025-01-28,14.88,15.04,14.78,14.86,2659300
2025-01-29,14.9,14.98,14.55,14.55,2268800
2025-01-30,14.64,14.76,14.53,14.65,4615200
2025-01-31,14.67,14.91,14.62,14.68,3583200
2025-02-03,14.7,15.0,14.6,14.93,3397200
2025-02-04,14.93,14.94,14.56,14.6,2749100
2025-02-05,14.58,14.89,14.58,14.83,3433500
2025-02-06,14.83,14.95,14.53,14.57,2732600
2025-02-07,14.62,14.68,14.35,14.35,3225900
2025-02-10,14.47,14.67,14.46,14.52,1780400
2025-02-11,14.56,14.65,14.42,14.42,1906200
2025-02-12,14.41,14.6,14.2,14.39,5273900
2025-02-13,14.41,14.8,14.34,14.74,4770400
2025-02-14,14.9,15.3,14.35,14.67,8599400
2025-02-17,14.73,14.97,14.67,14.9,5290000
2025-02-18,14.95,15.42,14.84,15.12,5069600
2025-02-19,15.06,15.47,15.01,15.28,4149900
2025-02-20,15.37,15.52,15.07,15.43,3126800
2025-02-21,15.4,15.72,15.21,15.64,6460300
2025-02-24,15.6,15.8,15.44,15.53,2943100
2025-02-25,15.56,15.68,15.42,15.46,2561900
2025-02-26,15.5,15.54,15.16,15.16,2647200
2025-02-27,15.2,15.46,15.1,15.25,5345200
2025-02-28,15.24,15.25,14.98,15.2,6210700
2025-03-05,15.2,15.85,15.12,15.83,4106600
2025-03-06,15.83,16.15,15.7,15.95,10028800
2025-03-07,15.9,16.129999,15.68,15.99,3805000
2025-03-10,15.49,15.69,15.09,15.34,7159200
2025-03-11,15.36,15.42,15.07,15.19,4451900
2025-03-12,15.26,15.26,14.96,15.13,3162500
2025-03-13,15.11,15.34,15.01,15.28,2041400
2025-03-14,15.32,15.89,15.32,15.85,3331300
2025-03-17,15.85,16.02,15.72,16.02,1833800
2025-03-18,15.95,15.99,15.6,15.68,4119200
2025-03-19,15.74,15.91,15.5,15.62,4823600
2025-03-20,15.1,15.39,14.91,15.23,19106300
2025-03-21,15.2,15.27,14.93,15.1,18338000
2025-03-24,15.12,15.23,14.92,14.99,5065200
2025-03-25,14.98,15.02,14.75,14.79,9217300
2025-03-26,14.8,15.16,14.79,15.12,5150200
2025-03-27,15.15,15.28,15.08,15.18,3800600
2025-03-28,15.12,15.3,15.08,15.2,3675600
2025-03-31,15.15,15.25,14.91,14.91,5018000
2025-04-01,14.97,15.18,14.81,15.03,5735300
2025-04-02,15.41,15.51,15.17,15.23,5588700
2025-04-03,15.2,15.68,15.1,15.16,6087300
2025-04-04,15.05,15.3,14.96,15.12,4945400
2025-04-07,14.93,15.12,14.7,14.75,5520400
2025-04-08,14.86,15.28,14.79,15.13,5430500
2025-04-09,15.1,15.68,15.05,15.52,5149100
