date,open,high,low,close,volume
2025-01-02,16.9,16.98,16.27,16.57,7306700
2025-01-03,16.540001,16.700001,16.299999,16.43,3959800
2025-01-06,16.629999,16.82,16.33,16.74,10029000
2025-01-07,16.940001,17.08,16.709999,16.85,8100400
2025-01-08,16.540001,16.6,16.110001,16.27,9827300
2025-01-09,16.209999,16.709999,16.16,16.549999,2767000
2025-01-10,16.5,16.530001,16.16,16.51,4783900
2025-01-13,16.549999,16.549999,16.200001,16.389999,5134900
2025-01-14,16.51,16.76,16.26,16.73,5685500
2025-01-15,16.93,17.969999,16.91,17.940001,7966000
2025-01-16,18.059999,18.09,17.610001,17.75,7628100
2025-01-17,17.83,18.1,17.629999,17.870001,6218900
2025-01-20,17.809999,18.32,17.690001,17.950001,3303000
2025-01-21,17.969999,18.360001,17.879999,18.299999,3374200
2025-01-22,18.370001,18.92,18.1,18.65,8368000
2025-01-23,18.799999,18.879999,18.360001,18.540001,5382700
2025-01-24,18.549999,18.959999,18.379999,18.700001,4438700
2025-01-27,18.450001,19.65,18.41,19.540001,5616300
2025-01-28,19.4,19.620001,19.299999,19.360001,2250600
2025-01-29,19.43,19.67,19.209999,19.549999,3929000
2025-01-30,19.67,20.51,19.639999,20.379999,7948200
2025-01-31,20.48,20.84,20.32,20.43,8548700
2025-02-03,20.27,20.860001,20.120001,20.690001,7085200
2025-02-04,20.58,20.91,20.51,20.67,6493400
2025-02-05,20.639999,20.860001,20.299999,20.799999,4685300
2025-02-06,20.719999,21.120001,20.68,21.0,3759500
2025-02-07,21.0,21.25,20.370001,20.48,7783700
2025-02-10,20.58,20.889999,20.58,20.629999,2784200
2025-02-11,20.639999,21.280001,20.6,21.15,3974300
2025-02-12,20.9,21.030001,20.459999,20.92,5431600
2025-02-13,20.950001,21.15,20.690001,21.15,3550500
2025-02-14,21.309999,22.0,21.26,21.83,6563100
2025-02-17,21.959999,22.889999,21.959999,22.57,9533100
2025-02-18,22.620001,22.75,22.190001,22.4,8229900
2025-02-19,22.17,22.379999,22.040001,22.209999,4754200
2025-02-20,22.33,22.469999,21.950001,22.26,4350500
2025-02-21,22.32,22.559999,22.18,22.459999,4614000
2025-02-24,22.440001,22.549999,21.65,21.66,4601100
2025-02-25,21.58,22.09,21.58,21.799999,2945400
2025-02-26,22.08,22.139999,21.290001,21.360001,3312800
2025-02-27,21.23,21.610001,21.209999,21.32,3973400
2025-02-28,21.049999,21.52,20.5,20.75,7151900
2025-03-05,20.25,21.09,20.25,20.879999,4549800
2025-03-06,21.01,21.790001,20.940001,21.1,6269600
2025-03-07,20.9,22.01,20.74,21.75,7958000
2025-03-10,21.620001,21.940001,21.48,21.639999,4412800
2025-03-11,21.65,21.76,21.18,21.559999,4908600
2025-03-12,21.559999,22.389999,21.559999,22.24,5899400
2025-03-13,22.35,22.77,21.950001,22.6,5533300
2025-03-14,22.6,23.280001,22.52,23.02,5257900
2025-03-17,23.02,23.42,22.860001,23.32,5280900
2025-03-18,23.32,23.91,23.32,23.42,6398100
2025-03-19,23.4,24.24,23.379999,24.02,9198100
2025-03-20,24.040001,24.700001,23.85,23.85,9421400
2025-03-21,24.1,24.35,23.34,23.9,8599500
2025-03-24,24.0,24.0,23.43,23.49,3622100
2025-03-25,23.440001,24.09,23.41,23.73,3844000
2025-03-26,23.73,24.379999,23.639999,23.99,5119100
2025-03-27,24.16,24.35,23.9,24.17,4957600
2025-03-28,24.1,24.65,23.91,24.299999,5201900
2025-03-31,24.07,24.450001,23.809999,23.9,3732900
2025-04-01,23.93,24.450001,23.82,24.17,3360000
2025-04-02,24.190001,24.58,23.98,24.129999,3392700
2025-04-03,24.0,25.389999,23.82,25.190001,6459000
2025-04-04,24.610001,24.83,24.129999,24.42,5344300
2025-04-07,24.09,24.99,23.74,24.26,6010600
2025-04-08,24.59,25.07,24.5,24.549999,7694000
2025-04-09,24.299999,25.25,24.1,24.84,7801500
2025-04-10,24.780001,24.950001,24.42,24.73,4758900
2025-04-11,24.83,24.940001,23.969999,24.92,7901500
2025-04-14,25.290001,25.43,24.98,25.200001,4784300
2025-04-15,25.01,25.75,25.01,25.620001,4243600
2025-04-16,25.5,25.67,25.200001,25.34,3657000
2025-04-17,25.1,25.799999,25.09,25.639999,3817900
2025-04-22,25.559999,26.26,25.5,26.16,4894400
2025-04-23,26.389999,26.469999,25.83,25.870001,4603600
2025-04-24,25.879999,27.049999,25.85,26.950001,4343100
2025-04-25,26.83,26.91,25.08,25.530001,16986500
2025-04-28,24.75,25.42,24.469999,25.059999,6772000
2025-04-29,25.110001,25.120001,24.200001,24.360001,9866000
2025-04-30,24.360001,24.85,24.309999,24.790001,4420200
2025-05-02,24.860001,24.889999,24.209999,24.51,4906900
2025-05-05,24.41,24.719999,24.040001,24.49,2848500
2025-05-06,24.629999,25.01,24.57,24.9,5278000
2025-05-07,25.030001,25.1,24.5,24.969999,4961100
2025-05-08,25.530001,26.58,25.34,26.0,5609400
2025-05-09,26.030001,26.48,25.84,26.27,4730600
2025-05-12,26.0,26.15,25.27,25.559999,5769200
2025-05-13,25.809999,26.0,25.0,25.17,8876700
2025-05-14,25.27,25.719999,24.610001,24.940001,8547200
2025-05-15,25.280001,25.459999,24.940001,25.459999,6041500
2025-05-16,24.860001,26.25,24.25,26.25,12992000
2025-05-19,26.07,26.5,25.690001,26.299999,5325700
2025-05-20,26.4,26.969999,26.129999,26.75,4953000
2025-05-21,26.48,26.65,25.18,25.25,9761400
2025-05-22,25.27,25.469999,24.65,24.66,9593500
2025-05-23,24.1,25.15,23.629999,24.969999,4807900
2025-05-26,24.98,25.33,24.91,25.15,1702800
2025-05-27,25.65,25.799999,25.25,25.719999,6781200
2025-05-28,25.530001,25.620001,25.26,25.52,2189800
2025-05-29,25.459999,25.610001,24.66,24.93,4139500
2025-05-30,24.91,25.049999,24.620001,24.969999,4419000
2025-06-02,25.18,25.440001,24.790001,25.07,4314100
2025-06-03,25.08,25.85,25.02,25.719999,3738200
2025-06-04,25.860001,26.299999,25.33,25.43,4890000
2025-06-05,25.6,26.0,25.16,25.5,5871700
2025-06-06,25.52,25.75,25.02,25.200001,3453500
2025-06-09,25.01,25.200001,24.5,24.84,2882400
2025-06-10,25.299999,25.51,25.040001,25.280001,4877500
2025-06-11,25.18,25.41,24.559999,24.74,5685100
2025-06-12,24.700001,24.83,24.459999,24.799999,2154600
2025-06-13,24.459999,24.549999,24.059999,24.4,4678000
2025-06-16,24.84,25.219999,24.57,25.110001,4740300
2025-06-17,25.059999,25.82,24.969999,25.360001,5866500
2025-06-18,25.059999,25.82,24.969999,25.540001,3275900
2025-06-20,25.200001,25.440001,25.08,25.26,7261500
2025-06-23,25.25,25.440001,25.030001,25.379999,3117800
2025-06-24,25.309999,25.879999,25.309999,25.780001,3647100
2025-06-25,25.49,25.59,25.07,25.15,3531400
2025-06-26,25.26,26.07,25.01,25.84,3392700
2025-06-27,25.84,25.950001,25.4,25.620001,2128600
2025-06-30,25.58,26.280001,25.360001,26.139999,3305900
2025-07-01,26.27,26.940001,26.18,26.57,4235300
2025-07-02,26.4,26.790001,25.549999,25.790001,6048600
2025-07-03,25.85,26.24,25.790001,25.959999,4359500
2025-07-04,25.91,26.190001,25.65,26.01,2645400
2025-07-07,26.02,26.16,25.49,25.66,2298100
2025-07-08,25.75,26.030001,25.5,25.67,4289600
2025-07-09,26.0,26.1,25.450001,25.790001,8922000
2025-07-10,25.51,25.639999,24.700001,25.389999,4999900
2025-07-11,25.4,26.01,25.309999,25.6,6469000
2025-07-14,25.639999,25.74,25.25,25.52,5663900
2025-07-15,25.559999,26.52,25.559999,26.4,6016700
2025-07-16,26.33,26.799999,26.059999,26.639999,6253500
2025-07-17,26.5,26.969999,26.360001,26.860001,3567100
2025-07-18,26.540001,27.02,26.540001,26.58,6040500
2025-07-21,26.6,26.98,26.33,26.33,4605500
2025-07-22,26.33,26.559999,25.65,25.709999,5227000
2025-07-23,25.74,26.23,25.59,25.940001,8451700
2025-07-24,25.65,25.700001,24.84,24.940001,5744800
2025-07-25,24.9,25.48,24.9,25.27,2944200
2025-07-28,25.15,25.459999,24.1,24.440001,4868600
2025-07-29,24.43,24.780001,24.32,24.639999,4222900
2025-07-30,24.41,24.950001,24.190001,24.780001,4993300
2025-07-31,24.5,24.690001,24.040001,24.52,4105600
2025-08-01,24.639999,25.209999,24.42,24.51,5965700
2025-08-04,24.719999,24.860001,23.870001,24.27,4058300
2025-08-05,24.120001,24.299999,23.9,24.200001,5108900
2025-08-06,24.5,24.9,24.1,24.74,4494300
2025-08-07,24.74,25.370001,24.65,24.85,6261300
2025-08-08,24.76,25.6,24.690001,25.110001,5526200
2025-08-11,25.110001,25.17,24.73,24.75,5609000
2025-08-12,25.01,25.41,24.889999,25.299999,7767000
2025-08-13,25.33,25.370001,24.48,24.709999,6052800
2025-08-14,24.5,25.41,24.41,25.190001,7225800
2025-08-15,24.42,25.879999,24.1,25.799999,9223200
2025-08-18,25.780001,26.129999,25.389999,25.389999,4243600
2025-08-19,25.0,25.01,24.59,24.870001,5531100
2025-08-20,24.73,24.9,24.469999,24.540001,4405200
2025-08-21,24.469999,24.76,24.219999,24.48,3680000
2025-08-22,24.629999,26.290001,24.49,26.129999,13060700
2025-08-25,26.120001,27.040001,26.01,26.52,6837600
2025-08-26,26.52,26.860001,26.389999,26.559999,3839700
2025-08-27,26.57,27.09,26.559999,27.0,4440400
2025-08-28,27.34,28.43,27.309999,27.83,7894600
2025-08-29,27.799999,28.34,27.690001,28.120001,5174400
2025-09-01,28.120001,28.549999,27.799999,27.799999,2995300
2025-09-02,27.530001,27.809999,27.26,27.76,2967200
2025-09-03,27.83,27.959999,27.4,27.610001,4770500
2025-09-04,27.6,28.32,27.41,28.07,2518400
2025-09-05,28.42,29.379999,28.41,28.83,5730300
2025-09-08,28.719999,28.969999,28.33,28.43,2898300
2025-09-09,28.809999,29.030001,28.58,28.629999,5214000
2025-09-10,28.530001,29.459999,28.530001,29.110001,4593700
2025-09-11,29.4,30.879999,29.32,30.540001,13645000
2025-09-12,30.299999,30.66,30.1,30.34,6314000
2025-09-15,30.639999,30.950001,30.450001,30.540001,3364700
2025-09-16,30.84,32.279999,30.620001,30.620001,7156200
2025-09-17,30.620001,31.049999,30.34,30.68,5065200
2025-09-18,30.629999,30.790001,30.4,30.620001,9294400
