date,open,high,low,close,volume
2025-01-02,8.87,8.913333,8.656666,8.873333,6353100
2025-01-03,8.883333,8.956666,8.836666,8.853333,7308600
2025-01-06,8.453333,8.57,8.396666,8.533333,5975100
2025-01-07,8.533333,8.733333,8.483333,8.526666,6498600
2025-01-08,8.513333,8.513333,8.033333,8.103333,12414600
2025-01-09,8.076666,8.14,7.973333,8.106666,4923300
2025-01-10,8.106666,8.13,7.983333,8.05,7115700
2025-01-13,8.05,8.116666,7.96,8.083333,4884900
2025-01-14,8.06,8.27,8.033333,8.17,5958900
2025-01-15,8.183333,8.703333,8.183333,8.673333,11499900
2025-01-16,8.666666,8.696666,8.423333,8.516666,5460600
2025-01-17,8.553333,8.616666,8.39,8.436666,5176200
2025-01-20,8.353333,8.48,8.22,8.443333,8998200
2025-01-21,8.443333,8.546666,8.356666,8.503333,5904300
2025-01-22,8.49,8.856666,8.436666,8.8,6411600
2025-01-23,8.883333,8.883333,8.61,8.673333,5343000
2025-01-24,8.666666,8.963333,8.61,8.92,5826300
2025-01-27,8.893333,9.2,8.863333,9.166666,5770500
2025-01-28,9.153333,9.23,9.09,9.136666,4162800
2025-01-29,9.17,9.343333,9.103333,9.266666,5140500
2025-01-30,9.29,9.706666,9.29,9.566666,6821400
2025-01-31,9.64,9.66,9.536666,9.593333,5652600
2025-02-03,9.593333,9.833333,9.486666,9.756666,10282800
2025-02-04,9.76,9.923333,9.666666,9.923333,5801100
2025-02-05,9.92,9.953333,9.64,9.743333,3471600
2025-02-06,9.666666,10.076666,9.666666,10.013333,7740600
2025-02-07,9.976666,10.103333,9.826666,9.91,4770600
2025-02-10,9.91,10.116666,9.866666,9.95,5375700
2025-02-11,9.866666,10.123333,9.866666,10.09,3351900
2025-02-12,10.053333,10.156666,9.926666,10.116666,3893700
2025-02-13,10.09,10.22,10.036666,10.22,3041700
2025-02-14,10.3,10.48,10.213333,10.386666,4312200
2025-02-17,10.386666,10.563333,10.366666,10.476666,4846200
2025-02-18,10.453333,10.58,10.406666,10.553333,6113100
2025-02-19,10.433333,10.493333,10.32,10.386666,3702900
2025-02-20,10.366666,10.45,10.26,10.39,2711100
2025-02-21,10.39,10.806666,10.32,10.8,7629000
2025-02-24,10.79,10.853333,10.213333,10.29,3833100
2025-02-25,10.266666,10.44,10.17,10.173333,5093100
2025-02-26,10.243333,10.31,9.786666,9.816666,4624800
2025-02-27,9.783333,10.023333,9.743333,9.976666,5013000
2025-02-28,9.88,10.106666,9.683333,9.783333,4831800
2025-03-05,9.7,9.866666,9.426666,9.866666,4427700
2025-03-06,9.87,10.2,9.723333,10.03,11045700
2025-03-07,9.933333,10.256666,9.806666,10.14,5393700
2025-03-10,10.053333,10.14,9.923333,10.043333,4817100
2025-03-11,9.94,10.016666,9.5,9.693333,11706600
2025-03-12,9.616666,10.04,9.616666,10.02,5193300
2025-03-13,10.016666,10.033333,9.763333,9.793333,6810000
2025-03-14,9.82,10.09,9.82,10.0,4359600
2025-03-17,9.986666,10.156666,9.773333,10.066666,5874000
2025-03-18,10.09,10.556666,10.033333,10.516666,10467600
2025-03-19,10.566666,11.016666,10.503333,10.776666,10089600
2025-03-20,10.683333,10.8,10.5,10.563333,4842300
2025-03-21,10.6,10.643333,10.423333,10.54,4537200
2025-03-24,10.583333,10.676666,10.353333,10.39,2786400
2025-03-25,10.423333,10.693333,10.353333,10.62,6072900
2025-03-26,10.626666,10.886666,10.61,10.77,4986300
2025-03-27,10.846666,10.92,10.7,10.72,5283300
2025-03-28,10.723333,10.75,10.54,10.6,2535900
2025-03-31,10.61,10.706666,10.373333,10.476666,4826100
2025-04-01,10.44,10.72,10.44,10.63,4485300
2025-04-02,10.6,10.73,10.52,10.73,12881100
2025-04-03,10.686666,11.163333,10.633333,10.963333,8172600
2025-04-04,10.823333,10.823333,10.486666,10.8,5191500
2025-04-07,10.58,10.93,10.453333,10.866666,5946300
2025-04-08,10.916666,11.22,10.823333,10.933333,7991700
2025-04-09,10.9,11.133333,10.643333,10.95,6232200
2025-04-10,10.97,10.97,10.71,10.846666,8259900
2025-04-11,10.833333,10.893333,10.383333,10.766666,8775000
2025-04-14,10.94,11.123333,10.846666,11.073333,5278200
2025-04-15,11.083333,11.213333,10.986666,11.183333,3342600
2025-04-16,11.206666,11.34,11.11,11.21,3756000
2025-04-17,11.25,11.44,11.17,11.44,4533000
2025-04-22,11.433333,11.616666,11.386666,11.59,4569300
2025-04-23,11.64,11.73,11.443333,11.7,4707300
2025-04-24,11.713333,12.173333,11.68,12.173333,4625700
2025-04-25,12.203333,12.213333,11.736666,11.956666,5762400
2025-04-28,11.956666,12.276666,11.886666,12.136666,5030100
2025-04-29,12.016666,12.2,11.64,11.64,6878700
2025-04-30,11.543333,12.116666,11.513333,12.116666,6029700
2025-05-02,12.2,12.263333,11.98,12.053333,13578900
2025-05-05,12.03,12.11,11.836666,12.106666,4523400
2025-05-06,12.106666,12.486666,12.106666,12.486666,5955900
2025-05-07,12.59,12.603333,12.13,12.283333,6158400
2025-05-08,12.406666,12.813333,12.303333,12.656666,7652400
2025-05-09,12.676666,12.74,12.336666,12.436666,6404400
2025-05-12,12.47,12.47,11.97,12.213333,6766500
2025-05-13,12.203333,12.516666,12.066666,12.403333,8781000
2025-05-14,12.41,12.72,12.343333,12.553333,5230500
2025-05-15,12.666666,12.733333,12.466666,12.716666,8781300
2025-05-16,12.733333,12.923333,12.573333,12.893333,6360300
2025-05-19,12.86,12.866666,12.553333,12.816666,6311700
2025-05-20,12.816666,12.916666,12.613333,12.916666,6156900
2025-05-21,12.913333,12.913333,12.396666,12.466666,5672700
2025-05-22,12.46,12.846666,12.37,12.59,7174800
2025-05-23,12.516666,13.173333,12.373333,13.16,6279000
2025-05-26,13.116666,13.353333,13.096666,13.273333,3985500
2025-05-27,13.466666,13.666666,13.33,13.48,6250200
2025-05-28,13.483333,13.62,13.333333,13.51,4294200
2025-05-29,13.343333,13.6,13.323333,13.45,4764000
2025-05-30,13.45,13.636666,13.333333,13.553333,8033400
2025-06-02,13.65,13.856666,13.4,13.626666,3741600
2025-06-03,13.613333,13.933333,13.573333,13.873333,4198200
2025-06-04,13.87,14.286666,13.846666,13.93,5885400
2025-06-05,13.926666,14.253333,13.91,14.006666,7125000
2025-06-06,14.056666,14.096666,13.42,13.57,6092100
2025-06-09,13.57,13.64,13.306666,13.626666,4335300
2025-06-10,13.666666,13.8,13.486666,13.65,4496700
2025-06-11,13.673333,13.753333,13.38,13.72,3862500
2025-06-12,13.686666,13.69,13.483333,13.59,2848800
2025-06-13,13.506666,13.506666,13.103333,13.153333,3921000
2025-06-16,13.323333,13.703333,13.196666,13.656666,3840600
2025-06-17,13.966666,14.063333,13.79,13.916666,5446800
2025-06-18,13.97,14.25,13.913333,14.156666,6679800
2025-06-20,14.213333,14.253333,13.866666,14.05,4708500
2025-06-23,14.09,14.09,13.803333,13.87,3548400
2025-06-24,13.95,14.366666,13.92,14.16,6483600
2025-06-25,14.14,14.393333,13.936666,14.15,5899800
2025-06-26,14.2,14.443333,14.093333,14.133333,6082200
2025-06-27,14.156666,14.236666,14.01,14.146666,4274100
2025-06-30,13.453333,13.606666,13.25,13.606666,4784400
2025-07-01,13.603333,13.81,13.52,13.76,4738500
2025-07-02,13.8,13.833333,13.23,13.293333,5977200
2025-07-03,13.326666,13.733333,13.246666,13.6,9204300
2025-07-04,13.6,13.783333,13.55,13.696666,1949700
2025-07-07,13.666666,13.726666,13.45,13.466666,3775500
2025-07-08,13.49,13.666666,13.433333,13.61,4066200
2025-07-09,13.61,13.64,13.39,13.476666,3443400
2025-07-10,13.3,13.37,13.093333,13.34,3527400
2025-07-11,13.37,13.503333,13.043333,13.196666,4750500
2025-07-14,13.24,13.266666,12.953333,13.203333,2901300
2025-07-15,13.166666,13.633333,13.113333,13.59,5905800
2025-07-16,13.59,13.67,13.38,13.586666,3509100
2025-07-17,13.586666,13.81,13.493333,13.81,3081300
2025-07-18,13.723333,13.823333,13.41,13.42,4285500
2025-07-21,13.42,13.583333,13.4,13.416666,5073300
2025-07-22,13.423333,13.54,13.066666,13.066666,4533900
2025-07-23,13.09,13.293333,13.0,13.166666,3937200
2025-07-24,13.133333,13.133333,12.716666,12.73,6321300
2025-07-25,12.73,12.886666,12.73,12.766666,2219400
2025-07-28,12.816666,12.93,12.533333,12.57,6441900
2025-07-29,12.673333,12.983333,12.55,12.96,4862100
2025-07-30,12.823333,13.2,12.816666,13.17,3039000
2025-07-31,12.883333,13.06,12.656666,12.996666,4404900
2025-08-01,13.133333,13.48,13.05,13.073333,6160200
2025-08-04,13.14,13.39,12.826666,13.006666,2961600
2025-08-05,12.986666,13.126666,12.873333,13.106666,5131800
2025-08-06,13.106666,13.753333,13.056666,13.746666,5304900
2025-08-07,13.75,13.936666,13.703333,13.82,4168200
2025-08-08,13.826666,14.16,13.636666,13.663333,5310000
2025-08-11,13.8,13.9,13.47,13.63,4667700
2025-08-12,13.99,14.39,13.75,14.2,8861300
2025-08-13,14.2,14.21,13.78,13.98,5543400
2025-08-14,13.83,14.26,13.8,14.15,3129800
2025-08-15,14.15,14.31,14.0,14.23,2445400
2025-08-18,14.25,14.32,14.07,14.09,2639800
2025-08-19,14.09,14.1,13.64,13.83,3837900
2025-08-20,13.8,13.98,13.64,13.97,2561000
2025-08-21,13.94,14.11,13.8,13.96,4128200
2025-08-22,14.02,14.63,13.83,14.43,4620900
2025-08-25,14.55,14.87,14.43,14.72,3595500
2025-08-26,14.66,14.87,14.59,14.85,7231700
2025-08-27,14.88,15.19,14.72,15.09,3784500
2025-08-28,15.28,15.59,15.16,15.37,3404900
2025-08-29,15.37,15.67,15.26,15.45,4694900
2025-09-01,15.36,15.48,14.95,15.16,3852300
2025-09-02,15.05,15.42,14.86,15.37,5445500
2025-09-03,15.42,15.45,15.2,15.28,4966500
2025-09-04,15.33,15.7,15.25,15.64,5462500
2025-09-05,15.95,16.25,15.54,15.94,3294700
2025-09-08,15.97,16.030001,15.65,15.84,3902600
2025-09-09,15.45,15.55,15.1,15.37,6786200
2025-09-10,15.21,15.54,15.07,15.2,4188500
2025-09-11,15.32,15.45,15.08,15.2,4142300
2025-09-12,15.13,15.58,15.01,15.55,3919400
2025-09-15,15.6,15.63,15.16,15.23,3436200
2025-09-16,15.24,15.49,15.1,15.24,4028000
2025-09-17,15.34,15.53,15.2,15.33,5652500
2025-09-18,15.38,15.43,15.21,15.37,2578600
2025-09-19,15.37,15.62,15.3,15.54,2537900
2025-09-22,15.42,15.55,15.15,15.53,4238400
2025-09-23,15.6,15.96,15.45,15.65,2990200
2025-09-24,15.71,15.86,15.6,15.7,2024900
2025-09-25,15.68,15.69,15.43,15.46,3906100
2025-09-26,15.58,15.89,15.54,15.81,4072500
2025-09-29,15.94,16.15,15.77,16.049999,3170800
2025-09-30,16.379999,16.469999,16.110001,16.17,3683000
2025-10-01,16.15,16.459999,16.110001,16.17,4794400
2025-10-02,16.16,16.370001,15.74,15.86,5202200
2025-10-03,15.89,16.01,15.68,15.98,2055300
2025-10-06,16.030001,16.09,15.65,15.76,2243800
2025-10-07,15.64,15.66,14.79,15.17,6178600
2025-10-08,15.3,15.37,15.04,15.27,5750300
2025-10-09,15.25,15.31,14.64,14.93,7049900
2025-10-10,15.11,15.11,14.1,14.66,11981400
2025-10-13,14.7,14.99,14.56,14.7,5648200
2025-10-14,14.69,14.7,14.45,14.68,4408300
2025-10-15,14.55,14.95,14.39,14.91,6154700
2025-10-16,14.72,14.91,14.6,14.85,2847900
2025-10-17,14.71,15.03,14.65,14.97,4213700
2025-10-20,14.9,15.67,14.9,15.59,6254900
2025-10-21,15.59,15.76,15.22,15.65,3402200
2025-10-22,15.72,15.82,15.57,15.81,1987700
2025-10-23,15.82,16.129999,15.82,16.02,3586900
2025-10-24,16.15,16.200001,15.88,16.15,3382100
2025-10-27,16.280001,16.42,16.0,16.18,4254300
2025-10-28,16.219999,16.219999,15.89,16.129999,3639100
2025-10-29,16.120001,16.549999,16.120001,16.49,4593200
2025-10-30,16.299999,16.700001,16.299999,16.690001,3011200
2025-10-31,16.709999,17.1,16.639999,16.98,6258900
2025-11-03,17.129999,17.200001,16.84,16.9,5090900
2025-11-04,16.799999,17.09,16.74,17.08,3079800
2025-11-05,17.08,17.389999,16.99,17.07,4855800
2025-11-06,17.129999,17.25,16.950001,17.25,3335300
2025-11-07,17.26,17.440001,17.15,17.440001,4307500
2025-11-10,17.5,17.610001,17.379999,17.549999,4887100
2025-11-11,17.65,18.040001,17.620001,17.700001,4828700
2025-11-12,17.76,18.02,17.67,17.959999,6019100
2025-11-13,17.85,18.110001,17.5,18.09,7490300
2025-11-14,18.129999,18.790001,17.959999,18.65,4056000
2025-11-17,18.65,18.75,18.34,18.450001,9482600
2025-11-18,18.309999,18.68,18.27,18.610001,5524500
2025-11-19,18.59,18.59,18.389999,18.4,2037000
2025-11-21,18.299999,18.43,17.93,18.25,3226300
2025-11-24,18.26,18.59,18.139999,18.379999,3826300
2025-11-25,18.42,18.59,18.23,18.32,4892800
2025-11-26,18.459999,18.57,18.280001,18.360001,3953900
2025-11-27,18.360001,18.469999,18.290001,18.33,1873600
2025-11-28,18.34,18.66,18.26,18.51,6407500
2025-12-01,18.6,18.6,18.1,18.4,5071400
2025-12-02,18.48,18.719999,18.360001,18.58,6169400
2025-12-03,18.690001,18.74,18.0,18.059999,3887200
2025-12-04,18.190001,18.700001,18.0,18.700001,4254100
2025-12-05,18.700001,19.040001,16.950001,17.110001,14450000
2025-12-08,17.450001,17.540001,16.969999,17.209999,11764900
2025-12-09,17.030001,17.360001,16.6,17.200001,7649800
2025-12-10,17.290001,17.559999,17.08,17.440001,9882000
2025-12-11,17.780001,17.799999,17.370001,17.450001,14216300
2025-12-12,17.48,17.76,17.049999,17.610001,8513200
2025-12-15,17.92,17.959999,17.5,17.51,6191100
2025-12-16,17.49,17.49,16.559999,16.559999,28393200
2025-12-17,14.83,14.83,14.08,14.37,14274900
2025-12-18,14.29,14.35,13.81,13.87,11530500
2025-12-19,13.87,14.15,13.7,13.83,9489700
2025-12-22,13.77,13.79,13.27,13.38,9747500
2025-12-23,13.51,14.01,13.44,14.01,8781900
2025-12-26,13.94,14.07,13.77,14.03,3659600
2025-12-29,14.0,14.01,13.67,13.83,7662300
2025-12-30,13.88,14.27,13.84,14.12,8914300
2026-01-02,14.15,14.23,13.52,13.63,10710200
2026-01-05,13.56,14.4,13.52,14.33,9439300
2026-01-06,14.45,14.75,14.05,14.07,5661300
2026-01-07,14.05,14.06,13.55,13.65,17733700
2026-01-08,13.7,13.89,13.64,13.78,5242600
2026-01-09,13.78,14.3,13.68,13.92,6143700
2026-01-12,13.96,13.96,13.5,13.58,4673000
2026-01-13,13.5,13.63,13.17,13.35,6799500
2026-01-14,13.5,13.55,13.2,13.39,9495200
2026-01-15,13.5,13.65,13.42,13.5,5146300
2026-01-16,13.47,13.47,12.52,12.73,19221800
2026-01-19,12.78,13.16,12.72,13.07,7027300
2026-01-20,13.1,13.19,12.87,13.05,7394200
2026-01-21,13.21,13.55,13.12,13.46,6642600
2026-01-22,13.45,13.98,13.43,13.73,7220200
2026-01-23,13.78,13.99,13.61,13.78,5764200
2026-01-26,13.78,13.89,13.4,13.66,8250700
2026-01-27,13.9,14.1,13.75,13.96,9726700
2026-01-28,13.99,14.23,13.95,14.21,7380800
2026-01-29,14.27,14.36,13.71,13.88,8087100
2026-01-30,13.88,14.05,13.81,13.95,7798200
2026-02-02,13.95,14.88,13.95,14.87,10923000
2026-02-03,14.92,15.43,14.71,14.79,12841700
2026-02-04,14.69,15.0,14.16,14.44,8783800
2026-02-05,14.45,15.02,14.45,14.79,5721800
2026-02-06,14.82,15.84,14.68,15.81,16590700
2026-02-09,15.92,15.96,15.42,15.81,9047400
2026-02-10,15.81,16.0,15.65,15.88,5036700
2026-02-11,16.01,16.01,15.52,15.82,7749800
2026-02-12,15.72,16.049999,15.68,15.85,4760500
2026-02-13,15.68,16.280001,15.55,16.190001,4066200
2026-02-18,16.25,16.68,16.25,16.59,6814800
2026-02-19,16.639999,16.85,16.5,16.77,4458200
2026-02-20,16.66,16.940001,16.48,16.879999,4283600
2026-02-23,16.879999,16.9,16.43,16.58,3324300
2026-02-24,16.6,16.879999,16.49,16.49,4895900
2026-02-25,16.629999,16.65,15.99,16.15,6971000
2026-02-26,16.219999,16.6,16.15,16.6,6119000
