date,open,high,low,close,volume
2025-01-02,10.1,10.1,9.35,9.55,30048900
2025-01-03,9.98,10.14,9.85,10.07,34677800
2025-01-06,10.5,10.7,10.27,10.66,19928900
2025-01-07,10.79,11.0,10.59,10.67,13954100
2025-01-08,10.54,10.69,10.47,10.59,15679500
2025-01-09,10.5,10.8,10.5,10.52,10583000
2025-01-10,10.48,10.77,10.43,10.69,12174600
2025-01-13,10.67,11.21,10.67,11.06,14924100
2025-01-14,11.05,11.11,10.73,10.75,8422500
2025-01-15,10.95,11.19,10.77,11.04,7994300
2025-01-16,10.99,11.03,10.77,10.8,5901800
2025-01-17,10.82,11.02,10.77,10.83,8708500
2025-01-20,10.91,10.92,10.64,10.65,7876500
2025-01-21,10.72,10.95,10.68,10.83,8612100
2025-01-22,10.97,11.19,10.82,11.14,9693000
2025-01-23,11.11,11.15,10.8,10.8,7037300
2025-01-24,10.75,10.97,10.75,10.81,6842500
2025-01-27,10.78,11.37,10.77,11.27,7387300
2025-01-28,11.3,11.34,11.11,11.18,4500100
2025-01-29,11.25,11.3,11.08,11.22,5479300
2025-01-30,11.2,11.82,11.2,11.73,8441900
2025-01-31,11.86,11.86,11.68,11.8,7598000
2025-02-03,11.75,12.15,11.68,11.95,8216000
2025-02-04,11.91,11.98,11.71,11.81,7245400
2025-02-05,11.73,12.03,11.64,11.86,9145400
2025-02-06,11.71,11.96,11.65,11.91,24483000
2025-02-07,11.95,11.95,11.58,11.65,7162500
2025-02-10,11.8,12.01,11.66,11.81,7873800
2025-02-11,11.92,12.28,11.79,12.09,9409800
2025-02-12,11.81,12.03,11.79,11.83,9295600
2025-02-13,11.78,12.02,11.77,11.92,4566900
2025-02-14,12.02,12.33,11.98,12.24,6428000
2025-02-17,12.32,12.52,12.26,12.26,7319900
2025-02-18,12.38,12.4,11.93,12.05,6015600
2025-02-19,11.91,12.09,11.89,11.97,5979600
2025-02-20,11.82,12.39,11.81,12.26,7819700
2025-02-21,12.26,12.38,12.12,12.16,6528500
2025-02-24,12.27,12.27,11.92,11.92,7109100
2025-02-25,12.02,12.49,11.94,12.21,9183000
2025-02-26,12.38,12.41,11.9,11.9,7547600
2025-02-27,11.95,12.18,11.92,12.01,7295800
2025-02-28,12.0,12.2,11.72,11.78,7975700
2025-03-05,11.68,11.88,11.48,11.7,9299900
2025-03-06,11.67,12.05,11.65,11.94,8798200
2025-03-07,11.81,12.25,11.74,12.13,5995200
2025-03-10,12.41,12.56,12.08,12.08,9859800
2025-03-11,12.04,12.18,11.95,12.16,8075700
2025-03-12,12.06,12.27,11.9,11.99,7033600
2025-03-13,11.97,12.47,11.91,12.39,6333800
2025-03-14,12.51,12.7,12.43,12.59,7206400
2025-03-17,12.66,12.75,12.4,12.57,9510400
2025-03-18,12.57,12.65,12.46,12.58,11519800
2025-03-19,12.69,13.04,12.61,12.83,9655900
2025-03-20,12.87,12.96,12.68,12.68,6678400
2025-03-21,12.13,12.45,12.03,12.22,27657600
2025-03-24,12.08,12.28,11.88,11.88,11875600
2025-03-25,11.98,12.32,11.94,12.07,7364300
2025-03-26,12.21,12.25,11.97,12.0,6831300
2025-03-27,12.05,12.13,11.84,11.85,10517500
2025-03-28,11.87,12.1,11.81,11.9,4396100
2025-03-31,11.83,12.14,11.68,11.83,12440400
