date,open,high,low,close,volume
2025-01-02,27.389999,27.389999,26.59,26.719999,10795600
2025-01-03,26.629999,26.91,26.24,26.24,8855300
2025-01-06,26.77,27.379999,26.719999,27.16,12049200
2025-01-07,27.236092,27.726021,27.206095,27.666029,9600777
2025-01-08,27.456059,27.596039,26.926134,27.006124,8966986
2025-01-09,27.006124,27.536049,27.006124,27.226091,7013806
2025-01-10,27.226091,27.436062,26.526194,27.156101,13374219
2025-01-13,27.226091,27.326078,26.866144,27.136105,6916592
2025-01-14,26.92,27.27,26.82,27.17,11157400
2025-01-15,27.459999,28.02,27.32,27.77,23067100
2025-01-16,27.76,27.82,27.35,27.559999,8180500
2025-01-17,27.559999,28.17,27.42,27.860001,12831500
2025-01-20,27.719999,28.17,27.42,28.1,5139900
2025-01-21,28.24,28.43,27.959999,28.280001,7017700
2025-01-22,28.200001,29.049999,28.15,28.700001,10481800
2025-01-23,28.85,28.85,28.280001,28.360001,5572100
2025-01-24,28.219999,28.709999,28.049999,28.370001,5191800
2025-01-27,28.540001,29.379999,28.34,29.26,6746700
2025-01-28,29.209999,29.459999,29.040001,29.35,8234400
2025-01-29,29.49,29.6,29.09,29.120001,6387700
2025-01-30,29.129999,30.65,29.09,30.52,15645300
2025-01-31,30.610001,30.65,30.1,30.15,7673300
2025-02-03,29.91,30.389999,29.48,30.139999,11613400
2025-02-04,30.0,30.440001,29.98,30.35,7896200
2025-02-05,30.389999,30.799999,30.07,30.4,8087400
2025-02-06,30.1,30.799999,30.07,30.700001,6742800
2025-02-07,30.75,30.98,30.299999,30.299999,9968000
2025-02-10,30.75,30.75,29.98,30.08,6937600
2025-02-11,29.799999,30.959999,29.66,30.790001,7529800
2025-02-12,30.48,30.719999,30.120001,30.309999,8064800
2025-02-13,30.120001,30.719999,30.040001,30.58,3117500
2025-02-14,30.9,31.950001,30.780001,31.43,7599400
2025-02-17,31.58,32.099998,31.459999,31.799999,6789500
2025-02-18,31.940001,31.969999,31.15,31.32,6336000
2025-02-19,31.110001,31.24,30.959999,31.17,6704600
2025-02-20,31.049999,31.27,30.57,31.1,6856100
2025-02-21,31.02,31.5,30.809999,31.190001,5884800
2025-02-24,31.309999,31.309999,30.16,30.34,7373100
2025-02-25,30.26,31.190001,30.24,31.0,8763700
2025-02-26,31.25,31.35,30.26,30.42,6130800
2025-02-27,30.610001,30.610001,30.190001,30.33,4631100
2025-02-28,30.0,30.73,29.709999,30.059999,11272000
2025-03-05,30.059999,30.129999,29.440001,29.690001,8435700
2025-03-06,29.709999,30.51,29.6,30.219999,6691500
2025-03-07,29.809999,31.059999,29.629999,30.799999,8225400
2025-03-10,30.870001,31.6,30.870001,31.200001,13118200
2025-03-11,31.059999,31.389999,30.83,31.15,8900900
2025-03-12,31.25,32.049999,31.209999,31.719999,10508700
2025-03-13,31.610001,32.25,31.389999,31.809999,7823400
2025-03-14,32.18,32.779999,32.060001,32.220001,7368700
2025-03-17,32.18,33.02,32.080002,32.77,7396900
2025-03-18,32.880001,32.970001,32.509998,32.619999,6289200
2025-03-19,32.700001,33.580002,32.639999,33.299999,10487500
2025-03-20,33.380001,33.77,33.029999,33.099998,10826700
2025-03-21,33.110001,33.279999,32.790001,33.0,12726500
2025-03-24,32.880001,32.900002,32.360001,32.509998,6701800
2025-03-25,32.5,33.16,32.459999,32.849998,7291400
2025-03-26,32.990002,33.09,32.549999,32.810001,7353700
2025-03-27,33.02,33.049999,32.310001,32.66,7179100
2025-03-28,32.450001,32.619999,31.969999,32.27,6903700
2025-03-31,32.25,32.389999,31.6,32.0,9912500
2025-04-01,32.0,32.529999,31.75,32.23,4688700
2025-04-02,32.25,32.599998,32.060001,32.48,4635000
2025-04-03,32.52,33.759998,32.52,33.349998,7476600
2025-04-04,33.009998,33.75,32.52,33.330002,15612000
2025-04-07,33.27,33.619999,32.599998,32.790001,18873000
2025-04-08,32.73,33.669998,32.669998,32.959999,9053600
2025-04-09,32.919998,33.900002,32.32,33.380001,11678100
2025-04-10,33.099998,33.439999,32.68,33.200001,7200400
2025-04-11,33.32,33.759998,32.970001,33.599998,6674900
2025-04-14,33.919998,34.450001,33.709999,34.34,10086700
2025-04-15,34.200001,34.540001,34.07,34.360001,5996900
2025-04-16,33.970001,34.200001,33.389999,33.560001,8869600
2025-04-17,33.380001,34.209999,33.330002,34.150002,6538800
2025-04-22,33.869999,34.209999,33.75,34.02,7094500
2025-04-23,34.150002,34.73,34.150002,34.68,6647200
2025-04-24,34.889999,35.650002,34.709999,35.450001,11886700
2025-04-25,35.59,35.950001,35.529999,35.950001,8327900
2025-04-28,36.0,36.290001,35.810001,36.169998,7923900
2025-04-29,35.990002,36.459999,35.900002,36.040001,11322000
2025-04-30,36.040001,36.810001,35.75,36.810001,11927700
2025-05-02,35.66,36.119999,35.450001,35.900002,6970700
2025-05-05,36.040001,36.07,35.459999,35.799999,9057100
2025-05-06,36.0,36.110001,35.459999,35.810001,9051300
2025-05-07,35.84,36.0,35.57,35.830002,4327200
2025-05-08,36.450001,37.400002,36.209999,36.810001,14497900
2025-05-09,36.529999,37.220001,36.529999,36.689999,6518700
2025-05-12,36.630001,36.709999,35.82,36.330002,16835200
2025-05-13,36.360001,37.369999,36.279999,37.330002,5804100
2025-05-14,37.189999,37.360001,36.950001,37.18,3992600
2025-05-15,37.080002,37.16,36.18,36.990002,12570000
2025-05-16,36.52,36.720001,36.25,36.48,12594600
2025-05-19,36.439999,37.25,36.32,36.950001,5837200
2025-05-20,37.009998,37.32,36.610001,37.310001,4995800
2025-05-21,37.310001,37.310001,36.16,36.299999,8552900
2025-05-22,36.299999,36.869999,36.09,36.139999,7470300
2025-05-23,35.98,36.32,35.470001,36.290001,4471500
2025-05-26,36.400002,36.860001,36.189999,36.470001,3626500
2025-05-27,37.299999,37.48,36.98,37.110001,5736600
2025-05-28,37.189999,37.189999,36.650002,36.810001,3880000
2025-05-29,36.66,37.52,36.66,37.049999,4004900
2025-05-30,37.099998,37.169998,36.43,36.59,10521400
2025-06-02,36.849998,37.060001,36.360001,36.509998,14681100
2025-06-03,36.400002,36.990002,36.369999,36.98,5398500
2025-06-04,37.060001,37.240002,36.48,36.77,7151000
2025-06-05,36.990002,36.990002,36.389999,36.68,6912500
2025-06-06,36.799999,36.830002,36.169998,36.25,6358100
2025-06-09,36.060001,36.240002,35.52,35.830002,5782200
2025-06-10,36.150002,36.740002,36.0,36.41,10814200
2025-06-11,36.099998,36.599998,35.799999,36.400002,6744300
2025-06-12,36.009998,36.639999,36.009998,36.529999,4777200
2025-06-13,36.029999,36.59,35.98,36.400002,10091700
2025-06-16,36.98,37.0,36.580002,36.919998,8451000
2025-06-17,36.900002,37.029999,36.380001,36.639999,5738700
2025-06-18,36.77,36.84,36.34,36.560001,7325800
2025-06-20,36.369999,36.450001,35.549999,35.93,21432500
2025-06-23,35.860001,35.959999,35.450001,35.599998,6713600
2025-06-24,35.630001,36.369999,35.41,36.0,4433500
2025-06-25,35.610001,35.790001,35.0,35.189999,8467900
2025-06-26,35.330002,35.549999,35.130001,35.48,5529500
2025-06-27,35.16,35.560001,35.16,35.279999,5046200
2025-06-30,35.119999,36.310001,35.119999,35.959999,7840200
2025-07-01,36.490002,36.529999,35.900002,36.130001,6227200
2025-07-02,36.18,36.27,34.889999,35.389999,10740700
2025-07-03,35.48,36.25,35.330002,36.060001,3820800
2025-07-04,35.84,36.150002,35.84,36.07,1591800
2025-07-07,36.110001,36.119999,35.139999,35.32,4115200
2025-07-08,35.139999,35.34,34.93,35.23,4643100
2025-07-09,35.099998,35.23,34.490002,34.700001,6688300
2025-07-10,34.470001,34.700001,33.709999,34.439999,7780400
2025-07-11,34.220001,34.349998,33.869999,34.349998,6130000
2025-07-14,34.16,34.27,33.73,34.150002,5122200
2025-07-15,34.25,34.599998,33.98,34.470001,4942700
2025-07-16,34.529999,34.560001,34.080002,34.360001,9429400
2025-07-17,34.41,34.630001,33.98,34.529999,4961500
2025-07-18,34.259998,34.759998,34.029999,34.220001,8113500
2025-07-21,34.389999,34.439999,34.09,34.34,3682600
2025-07-22,34.439999,34.689999,33.849998,33.93,5499900
2025-07-23,33.98,34.709999,33.91,34.599998,3416700
2025-07-24,34.25,34.450001,34.080002,34.150002,3806200
2025-07-25,34.389999,34.389999,33.73,33.880001,4159800
2025-07-28,34.07,34.09,33.16,33.5,5195700
2025-07-29,33.490002,34.099998,33.16,33.77,4672300
2025-07-30,33.5,34.950001,33.5,34.529999,7364800
2025-07-31,34.189999,34.360001,33.759998,34.07,5550900
2025-08-01,34.330002,35.049999,34.080002,34.330002,6030200
2025-08-04,34.66,34.830002,34.0,34.25,4230400
2025-08-05,34.220001,34.709999,34.009998,34.220001,3268100
2025-08-06,34.439999,34.59,33.82,34.299999,9346300
2025-08-07,34.299999,35.139999,34.02,35.139999,6531000
2025-08-08,35.23,35.66,35.18,35.599998,8261000
2025-08-11,35.290001,35.580002,34.93,35.049999,6437900
2025-08-12,35.459999,36.5,35.310001,36.34,12028700
2025-08-13,35.970001,36.32,35.540001,35.68,10019200
2025-08-14,35.810001,36.389999,35.400002,35.5,9805200
2025-08-15,35.48,35.900002,35.029999,35.900002,5592500
2025-08-18,35.919998,36.189999,35.759998,35.939999,4403400
2025-08-19,35.290001,35.450001,34.709999,35.029999,6302100
2025-08-20,34.740002,35.290001,34.740002,35.290001,4844100
2025-08-21,35.07,35.279999,34.619999,34.709999,6469800
2025-08-22,34.759998,35.900002,34.73,35.75,7531200
2025-08-25,35.959999,36.34,35.59,35.650002,4927000
2025-08-26,35.599998,35.720001,35.02,35.630001,7967200
2025-08-27,35.470001,36.330002,35.450001,36.25,5638700
2025-08-28,36.43,37.080002,36.32,36.639999,6899100
2025-08-29,36.57,37.0,36.470001,36.57,7484100
2025-09-01,36.619999,36.73,36.099998,36.299999,3949300
2025-09-02,36.080002,36.189999,35.650002,35.889999,5110200
2025-09-03,35.919998,35.950001,35.34,35.580002,6671400
2025-09-04,35.700001,36.060001,35.330002,35.84,9022300
2025-09-05,36.16,36.73,36.060001,36.59,4509400
2025-09-08,36.610001,36.669998,36.23,36.419998,3525000
2025-09-09,36.380001,36.540001,36.110001,36.209999,3873600
2025-09-10,36.189999,36.610001,36.139999,36.450001,4009500
2025-09-11,36.450001,36.75,36.07,36.43,6205500
2025-09-12,36.07,36.380001,35.889999,36.169998,4485900
2025-09-15,36.459999,36.82,36.139999,36.560001,4243100
2025-09-16,36.950001,36.950001,35.810001,36.25,21540900
2025-09-17,36.34,36.830002,36.209999,36.66,7088200
2025-09-18,36.560001,36.700001,36.349998,36.610001,8788300
2025-09-19,36.619999,37.360001,36.470001,37.189999,12662300
2025-09-22,36.75,36.959999,36.060001,36.580002,5030200
2025-09-23,36.630001,37.459999,36.509998,37.240002,3604100
2025-09-24,37.189999,37.25,36.77,36.919998,3211000
2025-09-25,36.82,36.919998,36.529999,36.630001,4095600
2025-09-26,36.75,37.0,36.41,36.73,3238300
2025-09-29,37.32,37.369999,36.799999,37.009998,4236600
2025-09-30,37.240002,37.360001,36.860001,36.950001,6519500
2025-10-01,36.759998,37.080002,36.650002,36.720001,6579000
2025-10-02,36.619999,36.77,36.029999,36.25,7774900
2025-10-03,36.25,36.389999,35.849998,36.25,4691600
2025-10-06,36.25,36.380001,35.919998,36.110001,5390300
2025-10-07,35.91,35.970001,35.09,35.220001,26233100
2025-10-08,35.380001,35.400002,35.0,35.290001,20706800
2025-10-09,35.470001,35.509998,35.150002,35.330002,6721400
2025-10-10,35.389999,35.630001,34.919998,35.25,24800700
2025-10-13,35.41,35.709999,35.380001,35.389999,5046900
2025-10-14,35.349998,35.619999,35.110001,35.259998,7482400
2025-10-15,34.84,35.720001,34.75,35.689999,11827400
2025-10-16,35.32,35.959999,35.32,35.880001,5982600
2025-10-17,35.509998,36.529999,35.509998,36.330002,12510900
2025-10-20,36.549999,36.740002,36.310001,36.5,5660000
2025-10-21,36.419998,36.669998,36.040001,36.259998,4577200
2025-10-22,36.389999,36.57,35.959999,36.57,7354800
2025-10-23,36.700001,36.889999,36.279999,36.68,4933000
2025-10-24,36.889999,37.369999,36.799999,37.099998,4514500
