date,open,high,low,close,volume
2025-01-02,12.1,12.13,11.76,12.03,3702000
2025-01-03,12.09,12.15,11.91,11.95,5677800
2025-01-06,12.05,12.3,12.0,12.28,2525300
2025-01-07,12.32,12.43,12.17,12.24,2457200
2025-01-08,12.15,12.22,12.05,12.11,2651000
2025-01-09,12.11,12.14,12.02,12.07,1329700
2025-01-10,12.07,12.09,11.78,11.84,2731000
2025-01-13,11.82,11.9,11.54,11.55,3618900
2025-01-14,11.55,11.7,11.49,11.63,2026400
2025-01-15,11.82,11.89,11.65,11.76,4603800
2025-01-16,11.7,11.7,11.21,11.35,4122300
2025-01-17,11.37,11.55,11.27,11.54,2897300
2025-01-20,11.45,11.77,11.41,11.77,1717600
2025-01-21,11.77,11.8,11.58,11.6,2822900
2025-01-22,11.71,11.74,11.5,11.74,4063600
2025-01-23,11.87,11.87,11.44,11.44,2517600
2025-01-24,11.49,11.84,11.42,11.58,5952100
2025-01-27,11.57,12.08,11.54,11.97,4579300
2025-01-28,11.96,11.96,11.64,11.64,2530400
2025-01-29,11.66,11.74,11.45,11.5,3912500
2025-01-30,11.5,12.1,11.5,11.93,4056300
2025-01-31,11.93,11.99,11.79,11.84,3353400
2025-02-03,11.91,12.02,11.74,11.88,2276100
2025-02-04,11.88,12.03,11.79,11.85,2460700
2025-02-05,11.86,11.88,11.54,11.54,2358000
2025-02-06,11.5,11.63,11.45,11.48,2368800
2025-02-07,11.47,11.69,11.42,11.69,3072600
2025-02-10,11.79,12.15,11.79,11.89,2446600
2025-02-11,12.01,12.56,11.93,12.49,3028000
2025-02-12,12.35,12.35,11.98,11.98,3623100
2025-02-13,11.95,11.95,11.64,11.77,3486200
2025-02-14,11.81,12.47,11.75,12.45,4645500
2025-02-17,12.45,12.66,12.33,12.44,2559000
2025-02-18,12.46,12.46,12.04,12.13,4139000
2025-02-19,12.05,12.2,11.9,11.9,2086200
2025-02-20,11.81,12.07,11.8,11.88,4725600
2025-02-21,11.9,11.91,11.66,11.74,2922800
2025-02-24,11.82,11.91,11.62,11.68,1993900
2025-02-25,11.72,11.76,11.43,11.43,2957000
2025-02-26,11.55,11.56,11.18,11.18,4503200
2025-02-27,11.18,11.36,11.12,11.12,3716100
2025-02-28,11.44,11.8,11.09,11.09,10019100
2025-03-05,11.13,11.61,11.06,11.39,5053800
2025-03-06,11.43,11.74,11.35,11.6,6058600
2025-03-07,11.0,11.19,10.78,11.06,7112600
2025-03-10,11.06,11.24,10.98,11.01,4308600
2025-03-11,11.06,11.06,10.71,10.71,5358200
2025-03-12,10.71,10.88,10.65,10.72,2984400
2025-03-13,10.97,11.37,10.91,11.25,5061500
2025-03-14,11.33,11.66,11.28,11.55,2656800
2025-03-17,11.55,11.84,11.5,11.68,2649600
2025-03-18,11.67,11.9,11.63,11.63,2964200
2025-03-19,11.6,12.23,11.56,11.9,6233800
2025-03-20,11.85,12.25,11.83,11.86,5552200
2025-03-21,11.81,12.1,11.73,11.81,3124600
2025-03-24,11.7,11.85,11.5,11.54,3175200
2025-03-25,11.52,11.79,11.44,11.76,1701900
2025-03-26,11.79,12.01,11.65,11.81,2704200
2025-03-27,11.83,12.02,11.83,11.97,2003600
2025-03-28,12.0,12.0,11.65,11.75,3462600
2025-03-31,11.66,11.75,11.57,11.7,2228100
2025-04-01,11.69,11.96,11.64,11.7,3070200
2025-04-02,11.7,11.91,11.68,11.86,2048600
2025-04-03,11.86,12.1,11.86,11.95,2792900
2025-04-04,11.8,11.8,11.55,11.7,3237200
2025-04-07,11.6,11.86,11.39,11.5,3472100
2025-04-08,11.6,11.77,11.38,11.49,3312400
2025-04-09,11.37,12.07,11.28,11.94,3491800
2025-04-10,11.87,11.98,11.77,11.93,2106600
2025-04-11,12.01,12.1,11.83,12.02,1955700
2025-04-14,12.19,12.34,11.95,12.13,4018900
2025-04-15,12.12,12.14,11.96,12.13,1200700
2025-04-16,12.12,12.49,12.04,12.36,8237900
2025-04-17,12.37,12.41,12.11,12.29,3057600
2025-04-22,12.32,12.46,12.1,12.38,2885900
2025-04-23,12.48,12.69,12.48,12.59,2513200
2025-04-24,12.67,13.01,12.56,12.99,3466200
2025-04-25,13.08,13.12,12.92,12.98,2274200
2025-04-28,12.98,13.13,12.8,12.92,2940900
2025-04-29,12.8,13.06,12.79,12.92,2277900
2025-04-30,12.9,13.01,12.7,12.99,3534700
2025-05-02,12.88,13.0,12.78,12.95,3477100
2025-05-05,12.96,13.13,12.87,12.88,2605600
2025-05-06,12.89,12.98,12.83,12.84,1691700
2025-05-07,12.96,12.96,12.75,12.83,1592400
2025-05-08,13.02,13.34,12.94,13.18,2352400
2025-05-09,13.14,13.16,12.4,12.46,5405000
2025-05-12,12.46,12.65,12.37,12.65,1790500
2025-05-13,12.65,12.99,12.61,12.89,2416000
2025-05-14,12.89,12.89,12.55,12.67,4285100
2025-05-15,12.52,12.7,12.37,12.65,3226100
2025-05-16,12.58,12.59,12.4,12.55,2425300
2025-05-19,12.5,13.03,12.43,12.87,3991700
2025-05-20,12.85,12.9,12.65,12.75,2815700
2025-05-21,12.79,12.79,12.41,12.47,2875100
2025-05-22,12.59,12.66,12.35,12.47,3436400
2025-05-23,12.34,12.61,12.16,12.59,2522100
2025-05-26,12.59,12.8,12.58,12.66,1131500
2025-05-27,12.8,12.87,12.69,12.76,4240100
2025-05-28,12.81,12.94,12.69,12.86,1700200
2025-05-29,12.86,13.0,12.8,12.9,1929900
2025-05-30,12.62,12.85,12.44,12.85,5185700
2025-06-02,12.86,13.19,12.77,12.82,2571500
2025-06-03,12.8,13.29,12.78,13.04,2432700
2025-06-04,13.23,13.3,13.04,13.06,2257900
2025-06-05,13.1,13.16,12.96,13.0,3712100
2025-06-06,13.07,13.2,12.98,13.07,2844500
2025-06-09,13.06,13.18,12.8,12.97,2233100
2025-06-10,13.05,13.15,12.73,12.81,2600300
2025-06-11,12.75,12.98,12.72,12.77,1537900
2025-06-12,12.7,12.98,12.7,12.92,2437900
2025-06-13,12.86,13.12,12.72,13.02,2528800
2025-06-16,13.19,13.36,13.11,13.24,3008100
2025-06-17,13.3,13.35,13.12,13.26,3201300
2025-06-18,13.2,13.55,13.16,13.47,3401500
2025-06-20,13.38,13.45,13.04,13.06,4495500
2025-06-23,13.04,13.33,12.96,13.26,2321300
2025-06-24,13.33,13.37,13.02,13.17,2869200
2025-06-25,13.07,13.18,12.88,12.88,3454700
2025-06-26,13.03,13.06,12.78,12.84,2426500
2025-06-27,12.79,12.94,12.61,12.73,1785300
2025-06-30,12.73,13.09,12.69,13.02,1455800
2025-07-01,12.98,13.15,12.91,13.0,1703400
2025-07-02,13.04,13.13,12.81,13.05,3336800
2025-07-03,13.08,13.17,12.86,12.86,1531300
2025-07-04,12.83,13.13,12.83,13.02,985600
2025-07-07,13.05,13.17,12.82,13.0,2185300
2025-07-08,12.98,13.06,12.89,12.92,2460100
2025-07-09,12.92,13.03,12.85,12.85,2677900
2025-07-10,12.77,12.85,12.65,12.7,5338500
2025-07-11,12.68,12.74,12.48,12.62,2965700
2025-07-14,12.64,12.94,12.53,12.86,2293400
2025-07-15,12.92,12.96,12.63,12.77,2242300
2025-07-16,12.88,12.94,12.69,12.82,3829900
2025-07-17,12.82,12.89,12.7,12.78,2169900
2025-07-18,12.63,12.85,12.6,12.63,2332300
2025-07-21,14.9,15.19,14.31,14.51,18142600
2025-07-22,14.38,14.63,14.2,14.39,10068600
2025-07-23,14.28,14.62,14.28,14.51,3109600
2025-07-24,14.37,14.51,14.15,14.15,3089000
2025-07-25,14.12,14.56,14.12,14.48,2888900
2025-07-28,14.48,14.69,14.42,14.42,4693900
2025-07-29,14.38,14.65,14.38,14.43,3342000
2025-07-30,14.31,14.67,14.3,14.54,2860300
2025-07-31,14.44,14.49,14.23,14.35,3419000
2025-08-01,14.44,14.59,14.24,14.24,6553100
2025-08-04,14.4,14.43,14.05,14.3,2522400
2025-08-05,14.23,14.41,14.14,14.24,2209200
2025-08-06,14.36,14.58,14.19,14.58,2646200
2025-08-07,14.56,14.88,14.52,14.55,3101000
2025-08-08,14.57,14.65,14.14,14.35,2333700
2025-08-11,14.26,14.37,14.16,14.28,1567400
2025-08-12,14.3,14.54,14.27,14.38,2150000
2025-08-13,14.11,14.19,13.73,13.97,3072700
2025-08-14,13.77,14.16,13.77,13.94,5629600
2025-08-15,13.91,14.22,13.72,14.08,2576500
2025-08-18,14.12,14.26,13.98,14.17,2542800
2025-08-19,13.9,14.15,13.78,13.96,3611600
2025-08-20,13.96,14.06,13.86,13.95,3144700
2025-08-21,13.8,14.22,13.8,13.9,4593100
2025-08-22,13.93,14.22,13.84,14.21,1835300
2025-08-25,14.12,14.3,14.12,14.19,1227600
2025-08-26,14.25,14.25,14.13,14.15,1105900
2025-08-27,14.14,14.43,14.12,14.34,2129900
2025-08-28,14.45,14.89,14.41,14.6,2381400
2025-08-29,14.65,14.91,14.54,14.89,2978400
2025-09-01,15.33,15.54,15.19,15.37,5288200
2025-09-02,15.23,15.51,15.06,15.23,3332200
2025-09-03,15.23,15.48,15.23,15.4,6990100
2025-09-04,15.44,15.57,15.33,15.43,2739700
2025-09-05,15.45,15.77,15.45,15.77,2782700
2025-09-08,15.7,15.79,15.44,15.71,3189100
2025-09-09,15.64,15.79,15.53,15.79,2608100
2025-09-10,15.78,15.86,15.64,15.72,4661100
2025-09-11,15.66,15.84,15.55,15.6,3339000
2025-09-12,15.49,15.84,15.49,15.8,2643900
2025-09-15,15.78,15.86,15.55,15.57,3894100
2025-09-16,15.62,15.73,15.44,15.61,4084900
2025-09-17,15.63,15.74,15.42,15.58,3837900
2025-09-18,15.58,15.6,15.34,15.53,2276500
2025-09-19,15.52,16.190001,15.48,15.97,10260300
2025-09-22,15.81,16.02,15.64,15.94,3093100
2025-09-23,15.95,16.1,15.81,16.08,2689700
2025-09-24,16.049999,16.34,15.99,16.26,3773800
2025-09-25,16.17,16.25,16.01,16.049999,3099700
2025-09-26,16.120001,16.23,15.94,16.09,2989700
2025-09-29,16.23,16.32,15.96,16.139999,3584400
2025-09-30,16.200001,16.35,16.129999,16.139999,2809100
2025-10-01,16.139999,16.190001,15.82,15.96,3132700
2025-10-02,15.91,16.0,15.73,16.0,3356300
2025-10-03,15.98,16.01,15.86,16.0,2797600
2025-10-06,16.0,16.07,15.78,15.92,1586600
2025-10-07,15.87,15.92,15.68,15.75,3127200
2025-10-08,15.79,15.79,15.46,15.61,4686900
2025-10-09,15.69,15.69,15.33,15.48,2006700
2025-10-10,15.42,15.57,15.26,15.43,2347900
2025-10-13,15.37,15.54,15.37,15.45,1236100
2025-10-14,15.36,15.53,15.33,15.35,1579400
2025-10-15,15.23,15.48,15.16,15.48,1986000
2025-10-16,15.49,15.57,15.3,15.36,1465600
2025-10-17,15.25,15.58,15.24,15.58,1408300
2025-10-20,14.99,15.1,14.69,14.91,6329100
2025-10-21,14.87,14.93,14.68,14.85,2576900
2025-10-22,14.36,14.45,13.97,14.45,17859100
2025-10-23,14.63,14.64,14.03,14.2,8209300
2025-10-24,14.2,14.58,14.16,14.45,9597100
2025-10-27,14.58,14.64,14.24,14.64,5788200
2025-10-28,14.55,14.76,14.42,14.66,5137500
2025-10-29,14.78,14.85,14.48,14.49,3444900
2025-10-30,14.41,14.55,14.35,14.47,2262700
2025-10-31,14.63,14.64,14.46,14.55,2847400
2025-11-03,14.74,14.75,14.44,14.53,1587000
2025-11-04,14.5,14.6,14.43,14.55,1384200
2025-11-05,14.55,14.93,14.52,14.81,3381300
2025-11-06,14.85,15.17,14.75,15.1,3117400
2025-11-07,15.25,15.76,15.23,15.7,6201800
2025-11-10,15.87,16.030001,15.68,15.77,7412800
2025-11-11,15.89,15.97,15.72,15.82,3786000
2025-11-12,15.82,16.190001,15.75,16.139999,4280400
2025-11-13,16.059999,16.16,15.81,15.85,3419100
2025-11-14,15.85,15.99,15.81,15.9,2447800
2025-11-17,15.95,15.95,15.7,15.78,1684300
2025-11-18,15.71,15.73,15.59,15.64,3873900
2025-11-19,15.61,15.7,15.54,15.63,4812900
2025-11-21,15.62,15.62,15.29,15.33,4665000
2025-11-24,15.32,15.56,15.15,15.23,3119000
2025-11-25,15.25,15.28,15.03,15.03,3445200
