date,open,high,low,close,volume
2025-01-02,18.09,18.17,17.76,17.91,9490100
2025-01-03,17.809999,17.870001,17.32,17.32,12764200
2025-01-06,17.6,18.290001,17.4,18.030001,19572100
2025-01-07,18.139999,18.57,17.85,17.940001,12132300
2025-01-08,17.82,18.09,17.559999,17.6,13010100
2025-01-09,17.540001,17.639999,17.1,17.1,14299700
2025-01-10,17.120001,17.219999,16.66,16.799999,17317900
2025-01-13,16.82,17.07,16.51,16.99,12931600
2025-01-14,17.040001,17.219999,16.84,17.07,12190000
2025-01-15,17.219999,17.68,17.219999,17.65,11043700
2025-01-16,17.610001,17.639999,16.99,17.26,13266400
2025-01-17,17.4,17.5,17.17,17.370001,12833100
2025-01-20,17.290001,17.610001,17.110001,17.530001,6081600
2025-01-21,17.6,17.93,17.5,17.91,10082400
2025-01-22,17.99,17.99,17.469999,17.6,11092400
2025-01-23,17.620001,17.690001,17.360001,17.459999,8861100
2025-01-24,17.469999,17.629999,17.389999,17.559999,8425700
2025-01-27,17.530001,17.780001,17.459999,17.75,8151600
2025-01-28,17.66,17.879999,17.549999,17.67,7886500
2025-01-29,17.700001,17.799999,17.370001,17.469999,14489200
2025-01-30,17.5,17.879999,17.48,17.77,8594400
2025-01-31,17.73,17.92,16.959999,17.219999,18726300
2025-02-03,17.1,17.6,17.059999,17.48,13393700
2025-02-04,17.35,17.459999,17.030001,17.09,10929300
2025-02-05,17.110001,17.110001,16.799999,16.9,10004300
2025-02-06,16.940001,17.16,16.790001,17.09,6745400
2025-02-07,17.209999,17.209999,16.629999,16.700001,8165400
2025-02-10,17.1,17.74,17.0,17.57,20915200
2025-02-11,17.540001,18.129999,17.51,17.74,18838100
2025-02-12,17.540001,17.66,17.219999,17.370001,14205900
2025-02-13,17.299999,17.5,17.129999,17.450001,5875700
2025-02-14,17.58,17.719999,17.34,17.58,6853000
2025-02-17,17.549999,17.709999,17.360001,17.370001,8584700
2025-02-18,17.459999,17.639999,17.27,17.440001,11477300
2025-02-19,17.32,17.5,17.17,17.360001,8894400
2025-02-20,17.43,17.58,16.43,16.43,26719700
2025-02-21,16.6,16.77,16.09,16.219999,18547500
2025-02-24,16.17,16.5,15.93,16.27,14514900
