date,open,high,low,close,volume
2025-01-02,17.870001,18.09,17.629999,17.83,2512400
2025-01-03,17.83,17.92,17.610001,17.92,9451200
2025-01-06,18.1,18.59,18.030001,18.030001,4008900
2025-01-07,18.309999,18.76,17.969999,18.01,4487100
2025-01-08,17.9,18.32,17.82,18.030001,3167900
2025-01-09,18.0,18.18,17.709999,17.93,3113700
2025-01-10,17.82,18.07,17.73,17.82,4876500
2025-01-13,17.780001,18.219999,17.74,17.98,4927000
2025-01-14,17.870001,18.26,17.82,18.07,4147200
2025-01-15,18.280001,18.48,18.049999,18.4,3455100
2025-01-16,18.219999,18.35,17.950001,18.09,2433300
2025-01-17,18.09,18.4,17.780001,18.290001,4948800
2025-01-20,18.27,18.469999,17.92,18.379999,2128200
2025-01-21,18.290001,18.49,18.190001,18.440001,3239500
2025-01-22,18.440001,18.549999,18.18,18.33,4620700
2025-01-23,18.49,18.530001,18.059999,18.34,3245100
2025-01-24,18.52,18.629999,18.26,18.4,6822200
2025-01-27,18.41,18.93,18.309999,18.799999,6568100
2025-01-28,18.879999,19.02,18.09,18.17,3529600
2025-01-29,18.17,18.34,18.02,18.1,1344000
2025-01-30,18.120001,18.57,18.120001,18.4,3739100
2025-01-31,18.450001,18.6,18.08,18.280001,3963700
2025-02-03,18.280001,18.959999,18.09,18.75,4552700
2025-02-04,18.68,19.18,18.440001,18.98,3073100
2025-02-05,19.1,19.129999,18.780001,18.969999,2840000
2025-02-06,18.870001,19.09,18.870001,19.0,2292800
2025-02-07,18.99,18.99,18.48,18.549999,4818000
2025-02-10,18.82,19.07,18.57,18.76,2650600
2025-02-11,18.870001,19.34,18.780001,19.18,4062400
2025-02-12,18.82,19.59,18.709999,19.389999,8135600
2025-02-13,19.290001,19.49,18.969999,19.35,6099300
2025-02-14,19.379999,19.85,19.379999,19.719999,3359000
2025-02-17,19.75,20.540001,19.639999,20.120001,5431000
2025-02-18,20.08,20.700001,20.01,20.5,6419400
2025-02-19,20.35,20.48,19.93,19.98,4674100
2025-02-20,20.0,20.15,19.92,20.01,3117200
2025-02-21,19.959999,20.1,19.4,19.52,6407300
2025-02-24,19.690001,19.690001,19.0,19.200001,4802100
2025-02-25,19.24,19.540001,19.200001,19.200001,41440200
2025-02-26,19.32,19.48,19.139999,19.25,4417200
2025-02-27,19.27,19.43,19.139999,19.26,4482700
2025-02-28,19.1,19.370001,18.66,19.049999,47624900
2025-03-05,18.639999,19.9,18.32,19.6,5016600
2025-03-06,19.73,20.049999,19.49,19.67,3065600
