date,open,high,low,close,volume
2025-01-02,17.26,17.379999,17.030001,17.23,1786800
2025-01-03,17.24,17.360001,17.07,17.07,1980200
2025-01-06,17.309999,17.450001,17.209999,17.360001,1378900
2025-01-07,17.59,17.639999,17.1,17.35,2810400
2025-01-08,17.32,17.32,17.01,17.030001,2528800
2025-01-09,17.030001,17.200001,16.940001,17.040001,1826000
2025-01-10,17.040001,17.190001,16.77,16.799999,2029100
2025-01-13,16.9,16.92,16.629999,16.65,1871900
2025-01-14,16.610001,17.27,16.610001,17.25,2945300
2025-01-15,17.43,17.809999,17.35,17.66,2215600
2025-01-16,17.709999,17.709999,17.16,17.16,2697500
2025-01-17,17.34,17.34,17.0,17.120001,2433800
2025-01-20,17.120001,17.4,16.91,17.190001,2113000
2025-01-21,17.24,17.48,17.120001,17.280001,2016700
2025-01-22,17.469999,17.700001,17.25,17.629999,3294900
2025-01-23,17.74,17.74,17.16,17.24,3012600
2025-01-24,17.290001,17.290001,16.969999,17.030001,1755200
2025-01-27,16.93,17.950001,16.93,17.82,3261200
2025-01-28,17.85,17.93,17.68,17.82,1554500
2025-01-29,17.98,18.040001,17.68,17.68,1978000
2025-01-30,17.799999,18.620001,17.719999,18.469999,3034900
2025-01-31,18.469999,18.58,18.27,18.43,2911200
2025-02-03,18.32,18.969999,18.290001,18.639999,2374100
2025-02-04,18.379999,18.92,18.379999,18.84,2594300
2025-02-05,18.84,18.969999,18.559999,18.83,1948800
2025-02-06,18.76,19.0,18.719999,18.84,1829700
2025-02-07,18.57,19.209999,18.559999,18.98,3764900
2025-02-10,18.98,19.33,18.639999,18.66,2280800
2025-02-11,18.82,19.08,18.43,18.879999,6690000
2025-02-12,18.75,18.799999,18.42,18.59,2494900
2025-02-13,18.549999,18.969999,18.41,18.959999,1810500
2025-02-14,19.17,19.76,19.01,19.549999,3635900
2025-02-17,19.719999,20.139999,19.469999,19.9,3397700
2025-02-18,19.92,20.110001,19.530001,19.74,1692300
2025-02-19,19.84,20.049999,19.129999,19.129999,4250900
2025-02-20,19.219999,19.459999,19.059999,19.4,2769200
2025-02-21,19.41,19.67,19.290001,19.43,5166300
2025-02-24,19.299999,19.299999,18.299999,18.299999,4658900
2025-02-25,18.41,18.690001,18.219999,18.299999,8852400
2025-02-26,18.51,18.58,17.85,17.91,4871800
2025-02-27,18.01,18.469999,17.950001,18.24,4938400
2025-02-28,18.25,18.25,17.51,17.66,4605800
2025-03-05,17.32,17.780001,17.309999,17.450001,2457600
2025-03-06,17.42,17.82,17.389999,17.549999,1851400
2025-03-07,17.32,18.25,17.280001,18.02,2362800
2025-03-10,17.809999,18.16,17.809999,17.92,1864400
2025-03-11,17.450001,17.700001,17.219999,17.440001,5041300
