date,open,high,low,close,volume
2025-01-02,8.599422,8.609183,8.423725,8.47253,32178021
2025-01-03,8.47253,8.501812,8.316354,8.326115,32830619
2025-01-06,8.394442,8.618944,8.365159,8.599422,30017377
2025-01-07,8.638466,8.755598,8.609183,8.667749,42528929
2025-01-08,8.599422,8.648227,8.492051,8.501812,34604827
2025-01-09,8.501812,8.609183,8.47253,8.570139,18119288
2025-01-10,8.570139,8.5799,8.423725,8.453008,23454101
2025-01-13,8.443247,8.570139,8.423725,8.511573,22522945
2025-01-14,8.511573,8.550617,8.413964,8.492051,21448565
2025-01-15,8.570139,8.862969,8.550617,8.853208,36409973
2025-01-16,8.843447,8.892252,8.765359,8.784881,33751941
2025-01-17,8.843447,8.921535,8.784881,8.833686,37199136
2025-01-20,8.804403,9.019144,8.794642,8.902013,15633984
2025-01-21,8.911774,8.989861,8.882491,8.9801,20080669
2025-01-22,8.9801,9.028905,8.941057,8.970339,28916258
2025-01-23,9.009383,9.106993,8.941057,8.950817,21408917
2025-01-24,8.950817,8.9801,8.902013,8.931296,12490345
2025-01-27,8.931296,9.155798,8.902013,9.155798,25210687
2025-01-28,9.116754,9.224125,9.058188,9.155798,22638917
2025-01-29,9.224125,9.243647,9.106993,9.146037,17422842
2025-01-30,9.17532,9.399823,9.146037,9.360779,28371743
2025-01-31,9.399823,9.409584,9.253408,9.302213,26756536
2025-02-03,9.224125,9.292452,9.136276,9.204603,22151773
2025-02-04,9.165559,9.263169,9.106993,9.224125,20328185
2025-02-05,9.253408,9.399823,9.233886,9.331496,25044003
2025-02-06,9.282691,9.399823,9.097232,9.390062,27776516
2025-02-07,9.390062,9.429105,9.224125,9.292452,21361893
2025-02-10,9.341257,9.429105,9.282691,9.341257,25816262
2025-02-11,9.458388,9.57552,9.399823,9.468149,46185529
2025-02-12,9.438866,9.468149,9.165559,9.224125,50136260
2025-02-13,9.224125,9.302213,9.185081,9.302213,18668311
2025-02-14,9.380301,9.585281,9.341257,9.57552,39555047
2025-02-17,9.643847,9.751218,9.595042,9.653608,50846845
2025-02-18,9.107843,9.117647,8.90196,9.029411,62072712
2025-02-19,8.95098,9.009803,8.882352,8.941176,34597584
2025-02-20,8.990196,8.990196,8.862745,8.911764,18955680
2025-02-21,8.90196,8.911764,8.774509,8.90196,27687186
2025-02-24,8.90196,8.960784,8.72549,8.803921,22565460
2025-02-25,8.833333,8.941176,8.823529,8.852941,25837620
2025-02-26,8.921568,8.931372,8.774509,8.813725,19115208
2025-02-27,8.823529,8.90196,8.803921,8.843137,29274408
2025-02-28,8.803921,8.833333,8.607843,8.617647,47522106
2025-03-05,8.754901,8.754901,8.607843,8.656862,34672248
2025-03-06,8.666666,8.745098,8.607843,8.696078,27951264
2025-03-07,8.67647,8.823529,8.62745,8.784313,27155562
