date,open,high,low,close,volume
2025-01-02,12.14,12.24,11.8,12.0,12393100
2025-01-03,12.15,12.31,11.99,12.15,11475100
2025-01-06,12.37,12.64,12.25,12.53,14582200
2025-01-07,12.6,13.15,12.59,13.07,26326600
2025-01-08,13.01,13.01,12.61,12.87,20822400
2025-01-09,12.79,13.04,12.75,13.0,8370800
2025-01-10,12.94,13.07,12.63,12.84,14184800
2025-01-13,12.9,12.9,12.57,12.85,11375400
2025-01-14,12.86,12.92,12.46,12.61,18228700
2025-01-15,12.84,13.32,12.63,13.2,14631300
2025-01-16,13.14,13.14,12.35,12.41,20884500
2025-01-17,12.51,12.66,12.21,12.33,18370400
2025-01-20,12.35,12.52,12.14,12.4,10296200
2025-01-21,12.45,12.52,12.27,12.52,12450300
2025-01-22,12.65,13.26,12.4,13.13,17391800
2025-01-23,13.11,13.24,12.72,13.0,20940600
2025-01-24,12.91,13.39,12.9,13.17,11096400
2025-01-27,13.08,13.73,13.08,13.65,19215400
2025-01-28,13.6,13.75,13.36,13.43,12682500
2025-01-29,13.49,13.69,13.24,13.39,11869400
2025-01-30,13.55,14.02,13.46,13.9,14659800
2025-01-31,13.86,14.06,13.52,13.65,14246500
2025-02-03,13.55,13.8,13.45,13.56,10475200
2025-02-04,13.5,13.53,13.06,13.18,14219800
2025-02-05,13.13,13.17,12.77,13.02,14893600
2025-02-06,13.05,13.46,12.86,13.32,11009200
2025-02-07,13.14,13.23,12.64,12.83,21394900
2025-02-10,12.95,13.25,12.88,13.11,9483400
2025-02-11,13.11,13.35,13.07,13.26,8427800
2025-02-12,13.08,13.12,12.64,12.72,16749200
2025-02-13,12.75,13.23,12.59,13.1,12838400
2025-02-14,13.17,13.78,13.17,13.65,15663600
2025-02-17,13.71,14.53,13.7,14.11,21573800
2025-02-18,14.01,14.22,13.72,14.05,15011200
2025-02-19,13.85,13.97,13.49,13.54,11999100
2025-02-20,13.59,13.87,13.38,13.71,14388600
