date,open,high,low,close,volume
2025-01-02,17.040001,17.25,15.71,17.16,14408900
2025-01-03,17.040001,17.219999,16.530001,16.85,11388500
2025-01-06,16.950001,16.959999,16.26,16.41,8523100
2025-01-07,16.41,16.799999,16.1,16.799999,7908500
2025-01-08,16.790001,17.120001,16.549999,16.950001,11844400
2025-01-09,16.870001,17.059999,16.360001,16.99,7750300
2025-01-10,16.83,16.950001,16.33,16.860001,9910200
2025-01-13,16.530001,16.91,16.209999,16.9,11599100
2025-01-14,16.799999,16.870001,16.33,16.51,13144900
2025-01-15,16.540001,16.77,16.200001,16.219999,7532500
2025-01-16,16.27,16.49,15.19,15.19,9250400
2025-01-17,15.25,15.62,14.99,15.48,8454600
2025-01-20,15.48,15.71,15.24,15.58,3877500
2025-01-21,15.58,15.59,14.45,14.95,15844200
2025-01-22,15.15,15.28,14.83,15.03,6184500
2025-01-23,15.15,16.290001,15.06,15.64,11929100
2025-01-24,15.78,15.85,15.49,15.65,4622000
2025-01-27,15.6,15.98,15.54,15.84,3321700
2025-01-28,15.78,16.09,15.74,15.93,3689300
2025-01-29,15.99,16.200001,15.72,15.74,5392200
2025-01-30,15.79,16.07,15.55,15.92,4833300
2025-01-31,15.9,16.24,15.83,15.89,3543700
2025-02-03,15.95,16.040001,15.03,15.1,9773400
2025-02-04,15.15,15.25,14.63,14.73,8816900
2025-02-05,14.78,15.06,14.65,14.99,8603100
2025-02-06,15.07,15.25,14.96,15.23,7090200
2025-02-07,15.24,15.39,14.7,14.84,6892300
2025-02-10,14.99,15.33,14.88,15.13,7570600
2025-02-11,15.15,15.4,15.03,15.24,6137400
2025-02-12,15.15,15.19,14.42,14.62,6135900
2025-02-13,14.64,14.65,14.08,14.15,6375400
2025-02-14,14.3,14.58,13.97,14.44,8908700
2025-02-17,14.54,14.76,14.12,14.15,4580900
2025-02-18,14.25,14.28,13.93,14.05,5061200
2025-02-19,14.07,14.22,13.79,13.87,3930900
2025-02-20,13.93,13.96,13.44,13.57,5259200
2025-02-21,13.58,13.85,13.54,13.79,3753700
2025-02-24,13.84,13.96,13.39,13.46,3410800
