date,open,high,low,close,volume
2025-01-02,6.190476,6.257142,5.95238,6.123809,29886990
2025-01-03,6.123809,6.247619,5.857142,5.961904,21285600
2025-01-06,6.104761,6.371428,6.066666,6.333333,32892720
2025-01-07,6.4,6.485714,6.228571,6.285714,22956255
2025-01-08,6.15238,6.171428,5.780952,5.87619,27441855
2025-01-09,5.838095,5.87619,5.619047,5.723809,25137630
2025-01-10,5.733333,5.847619,5.619047,5.742857,19073040
2025-01-13,5.780952,5.790476,5.495238,5.533333,17932110
2025-01-14,5.580952,5.638095,5.438095,5.628571,26096805
2025-01-15,5.723809,6.123809,5.714285,6.066666,34238610
2025-01-16,5.980952,6.038095,5.638095,5.657142,30684045
2025-01-17,5.723809,5.838095,5.619047,5.771428,24618720
2025-01-20,5.723809,5.923809,5.571428,5.819047,18469395
2025-01-21,5.819047,5.95238,5.761904,5.866666,17863125
2025-01-22,5.942857,6.2,5.819047,6.066666,23871855
2025-01-23,6.066666,6.171428,5.87619,5.990476,19196625
2025-01-24,6.028571,6.27619,6.019047,6.066666,15180375
2025-01-27,6.047619,6.704761,6.0,6.67619,28981995
2025-01-28,6.647619,6.704761,6.438095,6.438095,19353285
2025-01-29,6.504761,6.533333,6.15238,6.27619,21692580
2025-01-30,6.390476,7.066666,6.390476,6.923809,33369210
2025-01-31,6.961904,7.2,6.857142,7.104761,27166020
2025-02-03,6.971428,6.971428,6.742857,6.87619,24056340
2025-02-04,6.809523,6.95238,6.485714,6.895238,30244725
2025-02-05,6.866666,6.866666,6.533333,6.55238,21965685
2025-02-06,6.580952,7.066666,6.580952,7.038095,28730310
2025-02-07,6.990476,7.095238,6.628571,6.733333,32135880
2025-02-10,6.819047,7.114285,6.8,6.914285,21918015
2025-02-11,6.904761,7.114285,6.742857,6.923809,27440070
2025-02-12,6.771428,6.857142,6.628571,6.75238,25194330
2025-02-13,6.714285,6.819047,6.647619,6.67619,25699590
2025-02-14,6.819047,7.180952,6.666666,7.028571,37153830
2025-02-17,7.066666,7.638095,7.066666,7.580952,40265610
2025-02-18,7.533333,7.685714,7.257142,7.314285,41769420
2025-02-19,7.15238,7.371428,7.095238,7.095238,19883955
2025-02-20,7.219047,7.266666,6.971428,7.019047,22409205
2025-02-21,7.019047,7.114285,6.819047,6.933333,28604835
2025-02-24,7.095238,7.104761,6.447619,6.542857,32060490
2025-02-25,6.571428,7.114285,6.542857,7.028571,38796345
2025-02-26,7.190476,7.190476,6.819047,7.009523,24038070
2025-02-27,7.009523,7.15238,6.885714,6.961904,22567020
2025-02-28,6.87619,7.15238,6.666666,6.809523,31235505
2025-03-05,6.780952,6.971428,6.695238,6.933333,11439960
2025-03-06,6.742857,6.866666,6.55238,6.771428,36697080
2025-03-07,6.733333,7.495238,6.619047,7.485714,42929040
2025-03-10,7.295238,8.085714,7.295238,7.857142,41209455
2025-03-11,7.828571,8.285714,7.742857,7.904761,37232685
2025-03-12,7.914285,8.361904,7.914285,8.171428,23080260
2025-03-13,8.238095,8.380952,7.847619,8.057142,25050270
2025-03-14,8.133333,9.571428,8.028571,9.142857,68990040
2025-03-17,9.142857,9.942857,9.028571,9.657142,40030620
2025-03-18,9.619047,9.857142,9.55238,9.55238,27941865
2025-03-19,9.55238,10.123809,9.495238,9.933333,36316980
2025-03-20,9.95238,10.07619,9.780952,9.87619,18864195
2025-03-21,9.857142,9.914285,9.6,9.619047,31040415
2025-03-24,9.666666,9.761904,9.47619,9.723809,24540075
2025-03-25,10.07619,10.704761,9.895238,9.961904,60765390
2025-03-26,10.07619,10.228571,9.819047,9.990476,28995015
2025-03-27,9.980952,10.914285,9.809523,10.35238,40345935
2025-03-28,10.27619,10.323809,9.714285,10.057142,32397960
2025-03-31,9.942857,10.133333,9.6,9.666666,30495675
2025-04-01,9.704761,10.104761,9.666666,9.95238,26700450
2025-04-02,9.933333,10.67619,9.87619,10.657142,39647580
2025-04-03,10.628571,11.285714,10.609523,11.238095,34625745
2025-04-04,10.8,10.942857,10.228571,10.314285,42220815
2025-04-07,9.914285,10.361904,9.571428,9.657142,56328930
2025-04-08,9.895238,9.923809,8.314285,8.361904,56292285
2025-04-09,8.247619,9.4,8.07619,9.304761,56130060
2025-04-10,9.238095,9.990476,9.123809,9.723809,43742055
2025-04-11,9.847619,10.038095,9.55238,9.971428,28795725
2025-04-14,10.295238,10.485714,9.67619,9.990476,28517895
2025-04-15,10.0,10.266666,9.75238,9.95238,24270750
2025-04-16,9.866666,10.095238,9.733333,9.857142,21185430
2025-04-17,9.914285,9.980952,9.67619,9.714285,28199640
2025-04-22,9.704761,9.942857,9.333333,9.657142,27106800
2025-04-23,9.87619,10.028571,9.057142,9.085714,36383025
2025-04-24,9.15238,10.066666,9.123809,10.066666,39585210
2025-04-25,10.171428,10.190476,9.847619,9.95238,20091540
2025-04-28,9.771428,9.942857,9.409523,9.523809,24289965
2025-04-29,9.609523,10.114285,9.457142,9.504761,35508375
2025-04-30,9.561904,9.6,8.828571,8.87619,27377700
2025-05-02,8.961904,9.028571,8.723809,8.885714,15879465
2025-05-05,8.885714,8.990476,8.409523,8.438095,20914215
2025-05-06,8.571428,8.638095,8.228571,8.323809,18405240
2025-05-07,8.409523,8.419047,8.066666,8.133333,15524355
2025-05-08,8.409523,8.914285,8.314285,8.590476,24839115
2025-05-09,8.428571,8.466666,7.533333,7.990476,51607500
2025-05-12,8.180952,8.590476,8.114285,8.361904,25225725
2025-05-13,8.4,8.961904,8.133333,8.723809,40216260
2025-05-14,8.666666,9.019047,8.485714,8.904761,31186785
