date,open,high,low,close,volume
2025-04-23,12.88,13.18,12.77,13.04,10391500
2025-04-24,12.91,13.14,12.8,13.07,13592400
2025-04-25,13.04,13.29,12.9,13.2,12487200
2025-04-28,13.2,13.38,13.14,13.15,9291100
2025-04-29,13.28,13.53,13.24,13.29,18830000
2025-04-30,13.28,13.5,13.18,13.45,11708200
2025-05-02,13.27,13.98,13.07,13.98,6083200
2025-05-05,13.87,13.93,13.44,13.44,5718300
2025-05-06,13.57,13.76,13.31,13.37,6970300
2025-05-07,13.4,13.49,13.08,13.32,5766500
2025-05-08,13.8,13.8,13.32,13.4,6419000
2025-05-09,13.51,13.57,13.0,13.18,13163800
2025-05-12,13.34,13.34,12.91,12.99,4671800
2025-05-13,13.07,13.45,13.0,13.37,13508800
2025-05-14,13.23,13.58,13.23,13.42,9021300
2025-05-15,13.88,13.88,13.22,13.24,10897000
2025-05-16,13.17,13.51,13.05,13.51,7660600
2025-05-19,13.7,13.76,13.38,13.61,6438700
2025-05-20,13.66,13.8,13.28,13.8,12709800
2025-05-21,13.61,13.75,13.34,13.42,11565200
2025-05-22,13.34,13.6,13.24,13.34,6432300
2025-05-23,13.26,13.55,12.94,13.47,8264600
2025-05-26,13.47,13.86,13.46,13.56,3243300
2025-05-27,14.0,14.1,13.86,13.91,5046500
2025-05-28,14.0,14.0,13.75,13.97,3573600
2025-05-29,14.1,14.1,13.46,13.68,10106200
2025-05-30,13.68,13.74,13.35,13.48,13034600
2025-06-02,13.68,13.77,13.25,13.4,6052000
2025-06-03,13.36,13.48,13.21,13.48,5749800
2025-06-04,13.5,13.67,13.41,13.53,6329800
2025-06-05,13.61,13.74,13.46,13.5,10460600
2025-06-06,13.56,13.56,13.21,13.35,4050100
2025-06-09,13.34,13.42,13.06,13.3,3969300
2025-06-10,13.39,13.53,13.35,13.4,5695900
2025-06-11,13.24,13.62,13.16,13.48,3107800
2025-06-12,13.32,13.58,13.31,13.4,2919400
2025-06-13,13.25,13.37,13.15,13.37,4207700
2025-06-16,13.55,13.77,13.42,13.62,6611600
2025-06-17,13.75,13.83,13.53,13.7,5681400
2025-06-18,13.73,13.84,13.63,13.72,6395400
2025-06-20,13.53,13.79,13.49,13.51,7449500
2025-06-23,13.45,13.57,13.3,13.43,8987300
2025-06-24,13.51,13.97,13.27,13.73,8163500
2025-06-25,13.45,13.63,13.38,13.48,6142000
2025-06-26,13.59,13.66,13.3,13.6,6324200
2025-06-27,13.49,13.78,13.48,13.51,5900300
2025-06-30,13.65,13.94,13.56,13.79,8444700
2025-07-01,13.82,14.01,13.78,13.83,3762400
2025-07-02,13.8,13.87,13.42,13.59,5527800
2025-07-03,13.6,13.8,13.5,13.71,3447600
2025-07-04,13.65,13.91,13.6,13.79,1660600
2025-07-07,13.65,13.99,13.58,13.69,5770700
2025-07-08,13.68,13.77,13.52,13.59,5166100
2025-07-09,13.48,13.65,13.35,13.44,8903100
2025-07-10,13.3,13.33,13.07,13.2,11372900
2025-07-11,13.01,13.22,12.94,12.94,6987400
2025-07-14,12.9,12.95,12.77,12.89,12782400
2025-07-15,13.06,13.33,12.93,13.24,8178500
2025-07-16,13.39,13.39,12.95,13.0,9014600
2025-07-17,13.0,13.12,12.9,12.96,4518300
2025-07-18,12.69,12.98,12.5,12.55,10568900
2025-07-21,12.56,12.63,12.3,12.42,8828700
2025-07-22,12.44,12.57,12.28,12.34,6219900
2025-07-23,12.26,12.62,12.24,12.53,8937000
2025-07-24,12.5,12.66,12.38,12.46,5741600
2025-07-25,12.46,12.5,12.3,12.4,7083800
2025-07-28,12.45,12.5,12.25,12.3,5544200
2025-07-29,12.4,12.44,12.23,12.35,11213200
2025-07-30,12.3,12.55,12.07,12.35,13234200
2025-07-31,12.21,12.44,12.14,12.31,8383000
2025-08-01,12.49,12.7,12.38,12.5,11070800
2025-08-04,12.64,12.81,12.53,12.64,8181000
2025-08-05,12.7,13.18,12.7,12.76,11540300
2025-08-06,12.62,13.01,12.6,12.7,10141300
2025-08-07,12.65,12.9,12.65,12.85,3791100
2025-08-08,12.85,13.01,12.78,12.84,5446000
2025-08-11,12.8,12.97,12.77,12.85,4335000
2025-08-12,12.99,13.22,12.93,13.1,7022600
2025-08-13,12.95,13.19,12.95,13.09,5933100
2025-08-14,12.92,13.37,12.9,13.16,5830500
2025-08-15,13.16,13.42,13.08,13.3,5451200
2025-08-18,13.36,13.54,13.32,13.34,5265300
