date,open,high,low,close,volume
2025-01-02,5.31,5.32,5.11,5.22,8202000
2025-01-03,5.2,5.29,5.12,5.12,8122400
2025-01-06,5.23,5.39,5.2,5.34,9285800
2025-01-07,5.38,5.65,5.35,5.6,11003300
2025-01-08,5.51,5.56,5.24,5.3,8607600
2025-01-09,5.26,5.29,5.15,5.2,6189900
2025-01-10,5.2,5.21,4.99,5.09,9194600
2025-01-13,5.06,5.19,5.02,5.19,6694300
2025-01-14,5.56,5.58,5.19,5.2,19613400
2025-01-15,5.31,5.56,5.23,5.52,13695400
2025-01-16,5.45,5.5,5.33,5.35,7481600
2025-01-17,5.38,5.38,5.22,5.27,10545100
2025-01-20,5.24,5.44,5.2,5.36,7314900
2025-01-21,5.35,5.45,5.33,5.34,6933000
2025-01-22,5.37,5.51,5.26,5.44,12092000
2025-01-23,5.48,5.48,5.09,5.13,18995700
2025-01-24,5.14,5.28,5.08,5.18,9994100
2025-01-27,5.15,5.48,5.11,5.47,14098200
2025-01-28,5.44,5.49,5.34,5.42,5597400
2025-01-29,5.44,5.47,5.35,5.45,6807400
2025-01-30,5.48,5.79,5.45,5.72,13565800
2025-01-31,5.74,5.82,5.57,5.64,8711400
2025-02-03,5.6,5.68,5.43,5.59,7643500
2025-02-04,5.52,5.57,5.35,5.52,8484400
2025-02-05,5.5,5.51,5.25,5.49,11068100
2025-02-06,5.45,5.64,5.42,5.62,8151500
2025-02-07,5.6,5.69,5.35,5.45,7816900
2025-02-10,5.49,5.71,5.48,5.61,7529900
2025-02-11,5.59,5.83,5.59,5.7,5896700
2025-02-12,5.67,5.67,5.39,5.52,10660000
2025-02-13,5.48,5.53,5.42,5.52,6195100
2025-02-14,5.55,5.82,5.55,5.8,10426700
2025-02-17,5.83,6.08,5.8,5.96,10352800
2025-02-18,5.98,5.98,5.77,5.9,8347300
2025-02-19,5.78,5.86,5.64,5.64,7848500
2025-02-20,5.71,5.74,5.6,5.69,6928600
2025-02-21,5.7,5.79,5.6,5.74,7983500
2025-02-24,5.76,5.77,5.35,5.35,14085200
2025-02-25,5.08,5.42,5.01,5.1,23008300
2025-02-26,5.26,5.27,4.7,4.7,23539800
2025-02-27,4.7,4.9,4.66,4.71,21591300
2025-02-28,4.72,4.87,4.51,4.51,22746900
2025-03-05,4.52,4.61,4.43,4.48,7619300
2025-03-06,4.49,4.64,4.47,4.53,10201600
2025-03-07,4.51,4.9,4.45,4.77,15874700
2025-03-10,4.71,4.84,4.69,4.71,9485800
2025-03-11,4.73,4.76,4.54,4.62,9057200
2025-03-12,4.61,4.7,4.59,4.66,9996100
2025-03-13,4.66,4.7,4.55,4.66,6892900
2025-03-14,4.72,5.06,4.72,5.02,10478400
2025-03-17,5.02,5.2,4.99,5.06,8435100
2025-03-18,5.06,5.3,5.06,5.15,8312900
2025-03-19,5.17,5.25,5.12,5.13,12305300
2025-03-20,5.1,5.34,5.03,5.25,13930800
2025-03-21,5.26,5.26,5.01,5.04,13842200
2025-03-24,5.07,5.1,4.96,5.0,8539300
2025-03-25,5.03,5.17,5.02,5.04,6965600
2025-03-26,5.1,5.35,5.08,5.25,12556300
2025-03-27,5.28,5.38,5.24,5.28,12563300
2025-03-28,5.24,5.31,5.09,5.2,10047700
2025-03-31,5.11,5.15,4.99,5.11,9601200
2025-04-01,5.11,5.25,5.06,5.11,7019100
2025-04-02,5.15,5.22,5.06,5.18,6772800
2025-04-03,5.12,5.44,5.1,5.28,10806200
2025-04-04,5.17,5.17,4.88,4.99,11048300
2025-04-07,4.88,5.1,4.7,4.8,18530300
2025-04-08,4.9,4.96,4.59,4.66,13233200
2025-04-09,4.61,4.88,4.56,4.81,27144900
2025-04-10,4.81,4.83,4.69,4.78,7974600
2025-04-11,4.83,4.93,4.69,4.93,9275100
2025-04-14,5.0,5.06,4.91,5.01,9439000
2025-04-15,4.99,5.08,4.94,4.97,7125500
2025-04-16,4.85,5.18,4.79,5.12,15088100
2025-04-17,5.17,5.67,5.08,5.57,22614000
2025-04-22,5.57,6.15,5.54,6.03,24449100
2025-04-23,6.1,6.33,5.96,6.01,20770800
2025-04-24,5.95,6.27,5.94,6.2,14443200
2025-04-25,6.23,6.26,6.01,6.11,10623500
2025-04-28,6.14,6.25,6.03,6.06,10307700
2025-04-29,6.02,6.19,5.82,5.83,13497700
2025-04-30,5.83,6.01,5.8,5.92,10931400
2025-05-02,5.94,5.94,5.77,5.88,5409800
2025-05-05,5.91,5.94,5.73,5.84,6559000
2025-05-06,5.9,5.93,5.74,5.81,8154100
2025-05-07,5.84,5.87,5.64,5.76,10981400
2025-05-08,5.9,6.27,5.86,6.15,15902600
2025-05-09,5.75,6.0,5.42,5.46,37322000
2025-05-12,5.6,5.61,5.26,5.31,12906000
2025-05-13,5.32,5.6,5.32,5.51,10413500
2025-05-14,5.5,5.68,5.39,5.46,9682200
2025-05-15,5.49,5.58,5.35,5.49,10275200
2025-05-16,5.44,5.61,5.41,5.6,8967300
2025-05-19,5.54,5.56,5.45,5.5,6877200
2025-05-20,5.51,5.52,5.38,5.4,7355100
2025-05-21,5.41,5.41,5.08,5.1,11181800
2025-05-22,5.1,5.19,5.01,5.05,10562500
2025-05-23,4.99,5.12,4.86,5.07,11797300
2025-05-26,5.13,5.15,5.04,5.15,5495700
2025-05-27,5.28,5.46,5.24,5.36,14452200
2025-05-28,5.33,5.35,5.22,5.3,5547900
2025-05-29,5.27,5.38,5.18,5.29,8685200
2025-05-30,5.28,5.38,5.23,5.29,7320800
2025-06-02,5.35,5.44,5.28,5.37,5417200
2025-06-03,5.33,5.57,5.33,5.54,9617000
2025-06-04,5.59,6.07,5.58,5.92,25878300
2025-06-05,5.92,6.35,5.86,5.9,26715900
2025-06-06,5.87,5.99,5.71,5.92,10453200
2025-06-09,5.9,6.08,5.69,6.03,16122600
2025-06-10,6.15,6.27,6.03,6.04,9985100
2025-06-11,6.02,6.37,5.97,6.19,16642400
2025-06-12,6.17,6.18,5.9,5.9,13903300
2025-06-13,5.9,5.95,5.76,5.76,10601700
2025-06-16,5.92,6.02,5.81,5.91,10657100
2025-06-17,5.91,6.13,5.9,5.97,11929000
2025-06-18,5.97,6.07,5.88,5.9,8269400
2025-06-20,5.82,5.86,5.73,5.86,6767600
2025-06-23,5.9,5.9,5.67,5.83,8131100
2025-06-24,5.87,6.1,5.86,5.95,9569900
2025-06-25,5.95,5.98,5.79,5.79,4548800
2025-06-26,5.9,6.13,5.85,6.0,13025400
2025-06-27,5.99,6.06,5.84,5.92,10463000
2025-06-30,5.9,6.37,5.87,6.37,15124200
2025-07-01,6.38,6.6,6.31,6.41,12016400
2025-07-02,6.44,6.47,6.19,6.25,8502300
2025-07-03,6.26,6.33,6.16,6.16,5518400
2025-07-04,6.16,6.31,6.11,6.29,3697300
2025-07-07,6.27,6.3,6.09,6.14,5901800
2025-07-08,6.15,6.21,6.06,6.11,3905600
2025-07-09,6.13,6.15,5.96,6.0,4467600
2025-07-10,5.84,5.96,5.76,5.91,7450400
2025-07-11,5.89,6.23,5.89,6.09,16699200
2025-07-14,6.12,6.27,5.87,6.27,11514700
2025-07-15,6.21,6.26,5.77,6.09,37312200
2025-07-16,6.09,6.15,5.89,5.94,12835700
2025-07-17,5.94,6.02,5.89,6.02,7739000
2025-07-18,5.98,6.05,5.88,5.95,10541600
2025-07-21,5.94,6.05,5.85,5.89,9685400
2025-07-22,5.88,6.13,5.88,5.96,9316900
2025-07-23,5.97,6.33,5.96,6.21,16374300
2025-07-24,6.18,6.2,6.03,6.08,6749500
2025-07-25,6.1,6.14,6.0,6.1,5660800
2025-07-28,6.1,6.18,5.84,5.95,7926100
2025-07-29,5.97,6.07,5.89,6.02,6132300
2025-07-30,5.99,6.16,5.94,6.05,6663800
2025-07-31,6.0,6.1,5.87,5.95,9067800
2025-08-01,6.03,6.17,5.97,5.99,9643100
2025-08-04,6.1,6.1,5.89,5.95,4309300
2025-08-05,5.95,6.02,5.88,5.94,5684700
2025-08-06,6.0,6.44,5.94,6.37,13851800
2025-08-07,6.37,6.57,6.35,6.54,10993100
2025-08-08,6.54,6.65,6.4,6.49,8538100
2025-08-11,6.47,6.53,6.39,6.48,4103200
2025-08-12,6.65,6.73,6.44,6.49,10283500
2025-08-13,6.25,7.18,6.18,6.92,39558800
2025-08-14,6.89,7.27,6.75,7.17,17138500
2025-08-15,7.2,7.3,7.11,7.16,10934200
2025-08-18,7.13,7.43,7.13,7.41,11419900
2025-08-19,7.34,7.35,7.13,7.24,12617000
2025-08-20,7.24,7.3,7.09,7.11,7790700
2025-08-21,7.07,7.2,7.01,7.03,6600200
2025-08-22,7.08,7.57,7.06,7.5,11635300
2025-08-25,7.59,7.64,7.47,7.59,6499200
2025-08-26,7.57,7.65,7.22,7.33,10023800
2025-08-27,7.33,7.52,7.28,7.45,8814400
2025-08-28,7.47,7.79,7.46,7.61,16213800
2025-08-29,7.62,7.69,7.51,7.59,6068800
2025-09-01,7.57,7.73,7.45,7.6,3529100
2025-09-02,7.51,7.87,7.48,7.76,8641900
2025-09-03,7.8,7.94,7.72,7.77,6394800
2025-09-04,7.78,7.94,7.73,7.89,5534300
2025-09-05,7.95,8.3,7.94,8.11,12720500
2025-09-08,8.13,8.18,8.01,8.13,5340100
2025-09-09,8.17,8.17,8.02,8.07,5191700
2025-09-10,8.1,8.13,7.67,7.68,13935000
2025-09-11,7.75,7.86,7.65,7.72,9373500
2025-09-12,7.65,7.7,7.5,7.56,9725400
2025-09-15,7.6,7.68,7.46,7.58,5648800
2025-09-16,7.64,7.73,7.59,7.6,5929100
2025-09-17,7.6,7.98,7.59,7.81,8710400
2025-09-18,7.79,7.84,7.71,7.73,4204700
2025-09-19,7.76,7.9,7.68,7.9,5350100
2025-09-22,7.83,7.92,7.68,7.81,9361600
2025-09-23,7.8,7.9,7.76,7.85,4479000
2025-09-24,7.91,7.96,7.82,7.88,5969100
2025-09-25,7.87,7.87,7.44,7.46,12730500
2025-09-26,7.49,7.51,7.26,7.31,10475900
2025-09-29,7.41,7.5,7.11,7.22,14519200
2025-09-30,7.36,7.51,7.32,7.45,15497000
2025-10-01,7.47,7.49,7.29,7.4,5219500
2025-10-02,7.38,7.41,7.12,7.21,7446400
2025-10-03,7.17,7.32,7.06,7.26,5848800
2025-10-06,7.26,7.33,7.09,7.18,4744700
2025-10-07,6.99,6.99,6.24,6.31,24251300
2025-10-08,6.39,6.46,6.2,6.35,9524800
2025-10-09,6.38,6.4,6.22,6.25,9956700
2025-10-10,6.26,6.29,6.11,6.26,11554900
2025-10-13,6.33,6.37,6.21,6.22,5182300
2025-10-14,6.17,6.26,6.11,6.24,5578100
2025-10-15,6.21,6.55,6.19,6.54,11085100
2025-10-16,6.5,6.54,6.36,6.41,8315400
2025-10-17,6.37,6.46,6.33,6.45,6066400
2025-10-20,6.49,6.7,6.38,6.55,9633400
2025-10-21,6.52,6.7,6.46,6.64,5391200
2025-10-22,6.7,6.93,6.63,6.87,8854300
2025-10-23,6.9,7.12,6.86,7.02,7137800
2025-10-24,7.09,7.18,7.0,7.12,4930500
2025-10-27,7.21,7.34,7.11,7.24,5222100
2025-10-28,7.26,7.27,6.96,7.03,7589200
2025-10-29,7.06,7.14,7.0,7.11,5515800
2025-10-30,7.06,7.44,7.01,7.41,12157600
2025-10-31,7.46,7.73,7.43,7.56,11929800
2025-11-03,7.59,7.63,7.49,7.59,4442700
2025-11-04,7.56,7.65,7.53,7.62,3171600
2025-11-05,7.62,7.82,7.58,7.76,5727300
2025-11-06,7.74,7.82,7.56,7.63,5815100
2025-11-07,7.61,7.78,7.58,7.69,4769300
2025-11-10,7.76,7.79,7.65,7.66,3299600
2025-11-11,7.82,8.15,7.82,8.06,11381900
2025-11-12,8.05,8.25,8.04,8.14,9350500
2025-11-13,8.25,8.83,8.1,8.56,17215700
2025-11-14,8.58,8.92,8.42,8.42,13785600
2025-11-17,8.41,8.59,8.35,8.54,8105300
2025-11-18,8.45,8.54,8.32,8.37,6767100
2025-11-19,8.31,8.47,8.2,8.25,7182600
2025-11-21,8.21,8.44,8.18,8.38,5351000
2025-11-24,8.4,8.8,8.35,8.71,6105300
2025-11-25,8.7,9.0,8.7,8.9,7264300
2025-11-26,8.95,8.99,8.7,8.89,8137700
2025-11-27,8.89,9.04,8.78,9.0,6036400
2025-11-28,9.01,9.38,8.95,9.3,6992200
2025-12-01,9.29,9.43,9.13,9.27,5464200
2025-12-02,9.34,9.44,9.27,9.36,4311700
2025-12-03,9.42,9.5,9.23,9.31,6612600
2025-12-04,9.41,9.5,9.08,9.23,11678800
2025-12-05,9.23,9.4,8.38,8.47,15855200
2025-12-08,8.55,8.63,8.24,8.34,8309200
2025-12-09,8.26,8.41,8.0,8.3,7167600
2025-12-10,8.3,8.39,8.24,8.35,3574100
2025-12-11,8.39,8.55,8.22,8.22,7790200
2025-12-12,8.22,8.43,8.05,8.3,8940100
2025-12-15,8.4,8.46,8.27,8.34,5597900
2025-12-16,8.24,8.24,7.96,8.01,6411100
2025-12-17,8.16,8.28,7.91,8.04,10256500
2025-12-18,8.0,8.13,7.88,7.9,8874000
2025-12-19,7.9,7.98,7.77,7.81,5577000
2025-12-22,7.81,7.81,7.59,7.61,5510100
2025-12-23,7.64,7.75,7.6,7.74,5802100
2025-12-26,7.73,7.73,7.6,7.69,4660000
2025-12-29,7.69,7.75,7.63,7.69,4328100
2025-12-30,7.78,7.86,7.72,7.79,5194200
2026-01-02,7.84,7.85,7.63,7.72,4902600
2026-01-05,7.72,8.27,7.66,8.19,7619500
2026-01-06,8.26,8.48,8.21,8.41,6296300
2026-01-07,8.36,8.41,7.96,8.01,6538700
2026-01-08,8.04,8.16,7.96,8.09,4954700
2026-01-09,8.14,8.34,8.05,8.17,4043000
2026-01-12,8.16,8.18,7.95,7.98,6290400
2026-01-13,7.92,8.2,7.86,8.05,16571400
2026-01-14,8.25,8.56,7.41,7.62,34070800
2026-01-15,7.62,7.85,7.6,7.78,9483400
2026-01-16,7.77,7.82,7.35,7.48,10263700
2026-01-19,7.47,7.47,7.26,7.37,7824600
2026-01-20,7.3,7.49,7.21,7.38,5476400
2026-01-21,7.49,7.65,7.46,7.61,5781400
2026-01-22,7.67,8.06,7.65,7.77,7848200
2026-01-23,7.85,8.0,7.81,7.94,10554300
2026-01-26,7.94,8.15,7.77,8.1,8501400
2026-01-27,8.21,8.46,8.21,8.33,9744800
2026-01-28,8.43,8.55,8.18,8.27,10509200
2026-01-29,8.41,8.43,7.88,8.08,12831500
2026-01-30,8.08,8.17,8.0,8.07,7396900
2026-02-02,8.1,8.38,8.08,8.28,6297400
2026-02-03,8.45,8.61,8.37,8.41,7609500
2026-02-04,8.36,8.45,8.06,8.18,9042200
2026-02-05,8.18,8.79,8.15,8.74,11355700
2026-02-06,8.76,8.97,8.62,8.94,9544400
2026-02-09,8.99,9.12,8.8,9.1,5960800
2026-02-10,9.03,9.56,9.0,9.48,11981500
2026-02-11,9.55,9.97,9.54,9.85,11314400
2026-02-12,9.85,10.1,9.77,9.85,12874900
2026-02-13,9.7,9.86,9.49,9.79,7005800
2026-02-18,9.7,10.04,9.7,9.84,5144300
