date,open,high,low,close,volume
2025-06-26,36.860001,36.860001,36.860001,36.860001,0
2025-06-27,36.860001,36.860001,36.860001,36.860001,0
2025-06-30,36.860001,36.860001,36.860001,36.860001,0
2025-07-01,36.860001,36.860001,36.860001,36.860001,0
2025-07-02,10.64,10.84,9.99,10.19,5423000
2025-07-03,10.24,10.47,10.12,10.35,3661200
2025-07-04,10.36,10.51,10.25,10.51,1648100
2025-07-07,10.54,10.65,10.24,10.41,5669800
2025-07-08,10.4,10.52,10.28,10.42,4181500
2025-07-09,10.31,10.38,10.17,10.17,4826400
2025-07-10,10.11,10.15,9.81,10.1,5620100
2025-07-11,10.05,10.07,9.71,9.79,7490300
2025-07-14,9.85,9.96,9.75,9.86,4614300
2025-07-15,9.9,10.03,9.8,10.02,3893500
2025-07-16,9.97,10.13,9.71,9.75,6349000
2025-07-17,9.79,9.83,9.42,9.65,9436500
2025-07-18,9.56,9.56,9.44,9.51,4901100
2025-07-21,9.4,9.53,9.3,9.4,4800100
2025-07-22,9.39,9.57,9.14,9.14,5650200
2025-07-23,9.11,9.53,9.11,9.53,3637800
2025-07-24,9.36,9.55,9.19,9.4,5091200
2025-07-25,9.47,9.47,9.01,9.16,6375100
2025-07-28,9.19,9.27,8.95,9.03,3777900
2025-07-29,9.06,9.22,8.98,9.14,3659400
2025-07-30,9.14,9.3,8.96,9.15,3550300
2025-07-31,9.05,9.12,8.92,9.03,6016100
2025-08-01,9.19,9.24,8.91,8.91,4336600
2025-08-04,9.02,9.06,8.71,8.77,7113900
2025-08-05,8.82,8.89,8.68,8.73,5437800
2025-08-06,8.77,9.2,8.76,9.14,5816100
2025-08-07,9.15,9.4,9.14,9.17,3666700
2025-08-08,9.17,9.21,8.73,8.88,6156300
2025-08-11,8.88,9.73,8.87,9.4,10102000
2025-08-12,9.6,9.64,8.65,8.65,19478100
2025-08-13,8.69,8.9,8.47,8.75,12381900
2025-08-14,8.66,9.15,8.66,9.0,10508400
2025-08-15,8.9,9.14,8.62,9.14,10993000
2025-08-18,9.01,9.14,8.81,8.86,5560200
2025-08-19,8.82,8.85,8.33,8.4,8347500
2025-08-20,8.42,8.5,8.21,8.38,11073100
2025-08-21,8.36,8.44,8.2,8.44,12942200
2025-08-22,8.5,9.14,8.5,9.14,14929200
2025-08-25,9.15,9.3,8.83,8.89,14570000
2025-08-26,8.87,9.18,8.84,8.97,132647300
2025-08-27,8.97,9.08,8.77,9.08,9142900
2025-08-28,9.15,9.31,9.13,9.16,9088400
2025-08-29,9.17,9.23,8.88,9.01,8940200
2025-09-01,9.09,9.09,8.82,8.96,3587000
2025-09-02,8.9,8.96,8.73,8.73,6671000
2025-09-03,8.76,8.84,8.56,8.61,4888000
2025-09-04,8.64,8.7,8.56,8.69,4360200
2025-09-05,8.76,9.05,8.76,8.84,6090900
2025-09-08,8.85,8.9,8.58,8.61,10853800
2025-09-09,8.68,8.71,8.57,8.63,4420500
2025-09-10,8.7,8.77,8.61,8.64,4737900
2025-09-11,8.69,8.89,8.61,8.79,4874400
2025-09-12,8.67,8.84,8.61,8.75,4187200
2025-09-15,9.1,9.1,8.68,8.94,9226800
2025-09-16,8.98,9.27,8.73,8.75,10086300
2025-09-17,8.8,8.9,8.6,8.87,22085000
2025-09-18,9.93,10.33,9.79,10.33,43312700
2025-09-19,10.44,10.44,9.82,9.85,23382700
2025-09-22,9.82,9.82,9.26,9.36,17535100
2025-09-23,9.36,9.41,9.16,9.21,13036800
2025-09-24,9.22,9.23,8.95,8.97,16849200
2025-09-25,9.04,9.35,8.97,9.18,16245900
2025-09-26,9.22,9.48,9.09,9.4,14712700
2025-09-29,9.5,9.59,9.28,9.4,6035200
2025-09-30,9.51,9.51,9.22,9.35,13203000
2025-10-01,9.36,9.42,9.1,9.19,14680600
2025-10-02,9.21,9.21,8.95,9.02,8535700
2025-10-03,9.0,9.05,8.82,8.92,7242800
2025-10-06,8.95,8.95,8.5,8.59,8642000
2025-10-07,8.59,8.59,8.07,8.13,16311700
2025-10-08,8.19,8.38,8.06,8.29,12493400
2025-10-09,8.34,8.47,8.19,8.43,10297600
2025-10-10,8.47,8.49,8.22,8.4,7665100
2025-10-13,8.5,8.67,8.4,8.47,9811400
2025-10-14,8.44,8.44,8.17,8.24,9186100
2025-10-15,8.2,8.35,8.15,8.23,12481100
2025-10-16,8.2,8.3,8.15,8.26,7525600
2025-10-17,8.2,8.39,8.14,8.16,5642600
2025-10-20,8.28,8.58,8.22,8.53,9260600
2025-10-21,8.55,8.68,8.5,8.6,6790900
2025-10-22,8.62,8.68,8.46,8.51,7430700
2025-10-23,8.53,8.67,8.43,8.53,4606300
2025-10-24,8.49,8.83,8.49,8.74,10518200
2025-10-27,8.85,9.17,8.75,8.81,8067400
2025-10-28,8.81,8.81,8.6,8.73,4217400
2025-10-29,8.72,8.83,8.63,8.7,5426300
2025-10-30,8.6,8.81,8.53,8.73,3104000
2025-10-31,8.8,9.07,8.66,9.01,9108600
2025-11-03,9.09,9.31,9.04,9.05,8337300
2025-11-04,9.0,9.06,8.92,9.02,8755800
2025-11-05,9.02,9.19,8.92,9.12,8700100
2025-11-06,9.12,9.23,9.01,9.2,5477000
2025-11-07,9.14,9.4,9.07,9.35,5817300
2025-11-10,9.3,9.36,9.08,9.2,5787900
2025-11-11,8.04,8.04,7.48,7.76,51047000
2025-11-12,7.77,7.98,7.73,7.85,15806400
2025-11-13,7.89,7.93,7.64,7.88,11256800
2025-11-14,7.89,7.97,7.74,7.82,8927600
2025-11-17,7.82,7.84,7.72,7.77,5427700
2025-11-18,7.72,7.89,7.67,7.75,5552500
2025-11-19,7.77,7.8,7.67,7.76,5630900
2025-11-21,7.75,7.81,7.55,7.61,7967800
2025-11-24,7.65,7.65,7.45,7.47,14540400
2025-11-25,7.51,7.8,7.5,7.67,12087200
2025-11-26,7.7,8.03,7.64,8.0,13934000
2025-11-27,8.03,8.13,7.92,7.93,5451700
2025-11-28,7.93,8.38,7.9,8.29,13659500
2025-12-01,8.25,8.36,8.16,8.19,15385600
2025-12-02,8.24,8.51,8.22,8.36,6888200
2025-12-03,8.4,8.48,8.33,8.39,5668500
2025-12-04,8.48,8.77,8.46,8.72,7999000
2025-12-05,8.72,8.81,8.05,8.08,12527700
2025-12-08,8.17,8.25,7.76,7.85,10475700
2025-12-09,7.81,7.98,7.6,7.85,11219400
2025-12-10,7.93,7.93,7.71,7.76,6576000
2025-12-11,7.77,7.94,7.72,7.91,6481700
2025-12-12,7.88,8.2,7.88,7.97,6386800
