date,open,high,low,close,volume
2025-01-02,40.310001,41.380001,40.209999,40.77,7288200
2025-01-03,41.259998,41.259998,40.380001,40.619999,8415700
2025-01-06,41.299999,41.950001,40.98,40.98,7626900
2025-01-07,41.330002,42.139999,41.110001,41.630001,6776100
2025-01-08,41.790001,42.25,41.130001,41.400002,13768900
2025-01-09,41.380001,42.040001,41.380001,41.959999,5875300
2025-01-10,42.880001,43.709999,42.459999,42.630001,16998700
2025-01-13,43.09,43.540001,42.5,42.529999,9702500
2025-01-14,42.41,42.580002,42.09,42.200001,10267700
2025-01-15,42.5,43.419998,42.16,43.0,21990100
2025-01-16,42.779999,42.830002,41.169998,41.970001,9431800
2025-01-17,42.139999,42.759998,41.360001,42.709999,9197000
2025-01-20,42.700001,43.169998,42.580002,42.689999,6034500
2025-01-21,41.98,42.860001,41.98,42.720001,5448600
2025-01-22,42.740002,43.02,42.209999,42.450001,6311900
2025-01-23,42.560001,42.689999,40.950001,41.48,11785100
2025-01-24,41.48,41.650002,41.060001,41.150002,4947300
2025-01-27,40.84,42.259998,40.799999,42.099998,17190100
2025-01-28,42.130001,42.32,41.32,41.380001,4684000
2025-01-29,41.52,41.59,40.34,40.419998,6869300
2025-01-30,40.639999,41.68,40.52,41.459999,6424500
2025-01-31,41.459999,41.830002,40.950001,40.990002,6986700
2025-02-03,41.099998,41.549999,40.869999,41.23,6440800
2025-02-04,40.889999,41.68,40.720001,41.23,8540100
2025-02-05,41.380001,41.599998,40.34,40.34,7122600
2025-02-06,40.349998,40.810001,40.040001,40.57,6182600
2025-02-07,40.799999,40.82,39.619999,39.619999,9511100
2025-02-10,39.900002,40.299999,39.709999,40.0,5847300
2025-02-11,40.400002,40.41,39.880001,40.299999,6336600
2025-02-12,39.900002,40.040001,39.450001,39.509998,6820800
2025-02-13,39.16,39.310001,38.610001,38.889999,18522200
2025-02-14,39.169998,39.73,38.830002,39.43,7550800
2025-02-17,39.32,39.889999,38.91,39.119999,5899300
2025-02-18,39.220001,39.52,38.959999,39.0,6443200
2025-02-19,39.0,39.669998,38.77,39.009998,8055800
2025-02-20,39.119999,39.400002,38.380001,38.529999,6647800
2025-02-21,38.560001,38.849998,37.439999,37.700001,10360300
2025-02-24,37.84,37.889999,36.630001,36.73,7270200
2025-02-25,36.799999,37.43,36.66,36.66,9821300
2025-02-26,36.860001,36.98,36.02,36.169998,6946600
2025-02-27,36.84,38.389999,36.599998,38.200001,16881300
2025-02-28,39.599998,39.91,38.049999,38.169998,23997500
2025-03-05,38.310001,38.619999,37.009998,37.369999,13874200
2025-03-06,37.68,38.779999,37.330002,37.48,9708100
2025-03-07,37.75,38.98,37.439999,38.32,8474100
2025-03-10,38.32,38.380001,37.380001,37.529999,7788000
2025-03-11,37.599998,38.0,36.84,37.16,6884400
2025-03-12,37.310001,37.32,36.650002,36.880001,5721200
2025-03-13,36.849998,37.25,36.470001,36.5,7577500
2025-03-14,36.759998,39.48,36.560001,39.349998,16461300
2025-03-17,39.43,40.040001,39.240002,39.700001,6861900
2025-03-18,40.009998,40.34,39.5,39.650002,5736600
2025-03-19,39.900002,39.950001,39.25,39.27,6020000
2025-03-20,39.16,39.529999,38.630001,39.279999,7601700
2025-03-21,39.32,39.48,38.610001,39.060001,18792600
2025-03-24,39.040001,39.84,38.880001,39.5,6333000
2025-03-25,39.610001,39.900002,39.009998,39.09,5309300
2025-03-26,39.200001,41.279999,39.119999,40.619999,9516300
2025-03-27,40.599998,41.150002,40.209999,40.66,5058400
2025-03-28,40.68,40.68,39.830002,40.139999,3759600
2025-03-31,39.91,40.189999,39.509998,39.799999,5740500
2025-04-01,39.849998,40.389999,39.77,40.060001,6359900
2025-04-02,39.16,39.93,38.619999,39.580002,10892000
2025-04-03,37.240002,38.400002,36.59,36.830002,26969000
2025-04-04,33.650002,34.41,32.900002,33.900002,34554900
2025-04-07,33.130001,34.849998,33.02,34.509998,17720000
2025-04-08,34.880001,35.509998,33.48,33.82,16672700
2025-04-09,33.200001,36.09,32.689999,35.799999,27219000
2025-04-10,35.310001,35.310001,32.68,32.889999,46430200
2025-04-11,33.200001,34.630001,32.860001,34.330002,16037300
2025-04-14,35.16,35.619999,33.799999,33.82,12487600
2025-04-15,33.459999,33.66,32.810001,33.029999,13880600
2025-04-16,33.299999,33.889999,32.900002,33.400002,14023500
2025-04-17,33.900002,35.09,33.77,34.560001,9855200
2025-04-22,34.310001,34.889999,33.650002,34.580002,7539700
2025-04-23,35.0,35.09,33.25,33.25,12124200
2025-04-24,33.560001,34.799999,33.23,34.509998,12728000
2025-04-25,34.529999,35.490002,34.310001,34.880001,12026500
2025-04-28,34.59,35.189999,33.57,33.810001,11731800
2025-04-29,33.48,35.5,33.459999,34.66,16921600
2025-04-30,34.310001,34.75,33.549999,33.709999,12114100
2025-05-02,35.91,36.779999,35.360001,36.43,32006300
2025-05-05,35.98,36.560001,35.18,35.470001,13400200
2025-05-06,36.23,37.509998,36.23,36.970001,16209700
2025-05-07,37.169998,37.200001,35.599998,35.73,18622700
2025-05-08,36.549999,37.189999,36.400002,36.66,8208100
2025-05-09,37.099998,37.700001,36.32,36.669998,12685300
2025-05-12,38.0,38.779999,37.900002,38.560001,16688400
2025-05-13,38.639999,39.700001,38.439999,39.27,9271100
2025-05-14,39.25,39.869999,38.849998,39.200001,8012700
2025-05-15,38.52,39.23,38.41,39.0,8852100
2025-05-16,39.0,39.700001,38.919998,39.43,14691500
2025-05-19,39.549999,39.639999,38.950001,39.389999,5486500
2025-05-20,39.389999,40.189999,39.169998,39.740002,6453700
2025-05-21,39.990002,40.580002,39.400002,39.75,7292800
2025-05-22,39.310001,39.82,38.639999,38.98,7958000
2025-05-23,38.529999,38.959999,38.32,38.799999,6589700
2025-05-26,38.990002,39.27,38.849998,39.049999,4824800
2025-05-27,39.619999,39.869999,38.970001,39.41,5143800
2025-05-28,39.630001,40.200001,39.200001,39.200001,8036200
2025-05-29,39.360001,40.189999,39.25,40.0,6895300
2025-05-30,39.98,40.23,38.950001,38.950001,22845000
2025-06-02,40.5,40.599998,39.52,39.740002,10583600
2025-06-03,39.200001,41.400002,39.200001,40.950001,11809900
2025-06-04,41.16,42.150002,40.610001,40.900002,12365600
2025-06-05,41.32,41.490002,40.77,41.049999,6252600
2025-06-06,41.240002,42.599998,41.220001,42.509998,10041300
2025-06-09,42.619999,42.740002,41.66,42.150002,6642100
2025-06-10,42.619999,43.200001,42.240002,42.57,8206900
2025-06-11,43.099998,43.849998,42.669998,43.310001,11168400
2025-06-12,43.0,43.389999,42.57,43.220001,6901200
2025-06-13,45.650002,45.650002,43.34,43.98,17205500
2025-06-16,43.709999,44.32,43.029999,43.18,11671400
2025-06-17,43.52,44.029999,43.16,44.029999,10165300
2025-06-18,43.52,44.169998,43.119999,43.700001,9586500
2025-06-20,43.599998,44.0,43.369999,43.560001,11367500
2025-06-23,43.959999,44.439999,42.639999,43.25,14990900
2025-06-24,42.330002,43.310001,40.93,41.560001,19524200
