date,open,high,low,close,volume
2025-01-02,16.209999,16.549999,16.120001,16.5,1976600
2025-01-03,16.450001,16.5,16.200001,16.43,2437200
2025-01-06,16.610001,16.690001,16.030001,16.1,2419400
2025-01-07,16.360001,16.540001,16.059999,16.360001,1601900
2025-01-08,16.35,16.389999,16.049999,16.200001,1565300
2025-01-09,16.200001,16.41,16.049999,16.4,1684600
2025-01-10,16.68,16.76,16.27,16.360001,2108600
2025-01-13,16.4,16.799999,16.4,16.469999,3114600
2025-01-14,16.469999,16.629999,16.379999,16.559999,1203600
2025-01-15,16.719999,17.1,16.6,17.1,2259800
2025-01-16,16.99,17.01,16.51,16.6,1262100
2025-01-17,16.700001,16.74,16.42,16.690001,1459700
2025-01-20,16.530001,16.74,16.450001,16.51,1128000
2025-01-21,16.450001,16.709999,16.379999,16.700001,1621500
2025-01-22,16.76,16.889999,16.639999,16.65,1641200
2025-01-23,16.790001,16.790001,15.76,15.81,2653500
2025-01-24,15.82,15.99,15.65,15.68,1644100
2025-01-27,15.66,16.16,15.55,16.16,1393700
2025-01-28,16.200001,16.200001,15.8,15.81,1437200
2025-01-29,15.85,15.97,15.55,15.55,1180900
2025-01-30,15.64,16.0,15.63,15.99,1708200
2025-01-31,15.94,16.15,15.87,15.87,1749600
2025-02-03,15.83,16.139999,15.81,15.91,1989800
2025-02-04,15.87,15.97,15.59,15.84,1472300
2025-02-05,15.82,16.049999,15.63,15.67,1649100
2025-02-06,15.67,15.84,15.59,15.72,1838700
2025-02-07,15.72,15.79,15.38,15.38,2591200
2025-02-10,15.6,15.97,15.5,15.82,3544300
2025-02-11,15.88,16.07,15.85,16.07,1741400
2025-02-12,15.9,15.93,15.56,15.6,1985700
2025-02-13,15.55,15.6,15.33,15.6,1824800
2025-02-14,15.71,15.76,15.46,15.58,3610400
2025-02-17,15.53,16.18,15.53,15.92,2719700
2025-02-18,15.92,16.1,15.84,15.97,1272400
2025-02-19,15.89,16.09,15.78,15.78,1777600
2025-02-20,15.83,17.0,15.83,16.950001,6146000
2025-02-21,16.950001,17.139999,16.110001,16.139999,3090300
2025-02-24,16.15,16.200001,15.79,15.79,1934000
2025-02-25,15.79,15.96,15.61,15.67,1523400
2025-02-26,15.67,15.88,15.45,15.47,1922000
2025-02-27,15.65,16.549999,15.54,16.35,3714800
2025-02-28,16.18,16.450001,15.89,15.89,2557800
2025-03-05,15.67,15.83,15.32,15.39,2928100
2025-03-06,15.46,15.84,15.34,15.44,3595200
2025-03-07,15.48,15.98,15.4,15.84,2373700
2025-03-10,15.81,15.99,15.57,15.74,2404500
2025-03-11,15.76,15.89,15.47,15.77,2578100
2025-03-12,15.72,15.86,15.47,15.57,2159200
2025-03-13,15.5,15.75,15.42,15.56,2250700
2025-03-14,15.6,16.35,15.6,16.35,1612600
2025-03-17,16.299999,16.6,16.290001,16.43,1790000
2025-03-18,16.41,16.67,16.41,16.67,1702800
2025-03-19,16.700001,16.700001,16.379999,16.440001,1786500
2025-03-20,16.23,16.4,15.79,16.030001,4373900
2025-03-21,16.02,16.639999,16.01,16.34,6295200
2025-03-24,16.379999,16.690001,16.24,16.559999,1788900
2025-03-25,16.559999,16.690001,16.33,16.41,2045800
