date,open,high,low,close,volume
2025-01-02,23.799999,23.889999,23.190001,23.75,4217500
2025-01-03,23.76,23.950001,23.219999,23.42,2074800
2025-01-06,23.6,24.030001,23.440001,24.0,1576600
2025-01-07,24.27,24.379999,24.02,24.370001,3243700
2025-01-08,24.379999,24.379999,23.870001,24.049999,1612800
2025-01-09,24.0,24.16,23.870001,24.049999,725200
2025-01-10,24.049999,24.07,23.66,23.809999,2084500
2025-01-13,23.809999,24.25,23.76,23.879999,4410600
2025-01-14,23.969999,24.1,23.700001,24.1,9470600
2025-01-15,24.190001,25.040001,24.18,24.950001,2750300
2025-01-16,24.959999,25.08,24.65,25.030001,2135900
2025-01-17,25.049999,25.129999,24.709999,24.860001,2151600
2025-01-20,24.9,25.02,24.610001,24.969999,1374600
2025-01-21,24.969999,25.23,24.84,25.040001,2481700
2025-01-22,24.93,25.360001,24.790001,25.360001,3097300
2025-01-23,25.030001,25.1,24.4,24.58,4816300
2025-01-24,24.629999,24.84,24.440001,24.84,2033200
2025-01-27,24.84,25.18,24.639999,25.1,2075400
2025-01-28,25.110001,25.110001,24.870001,24.969999,1103200
2025-01-29,25.120001,25.18,24.780001,24.780001,1043900
2025-01-30,24.780001,25.85,24.780001,25.73,1936500
2025-01-31,25.73,25.99,25.66,25.959999,2836300
2025-02-03,25.92,26.0,25.68,25.83,3180300
2025-02-04,25.84,25.92,25.459999,25.5,2376400
2025-02-05,26.41,27.33,26.33,27.08,10640300
2025-02-06,26.99,27.280001,26.58,27.0,2193400
2025-02-07,26.91,27.030001,26.18,26.41,4350700
2025-02-10,26.41,26.799999,26.120001,26.15,2519400
2025-02-11,26.290001,26.719999,26.059999,26.25,2227700
2025-02-12,26.24,26.629999,26.040001,26.09,4152900
2025-02-13,26.0,26.200001,25.66,25.66,2374700
2025-02-14,25.77,26.68,25.77,26.639999,1884300
2025-02-17,26.639999,26.92,26.6,26.690001,1066800
2025-02-18,26.700001,26.99,26.43,26.82,1384900
2025-02-19,26.610001,26.76,26.209999,26.299999,2560800
2025-02-20,26.24,26.629999,26.23,26.33,2075200
2025-02-21,26.35,26.440001,26.040001,26.15,2402300
2025-02-24,26.219999,26.700001,26.16,26.299999,4054000
2025-02-25,26.299999,26.68,26.299999,26.49,1957900
2025-02-26,26.700001,26.879999,26.49,26.540001,1922800
2025-02-27,26.299999,26.77,26.16,26.27,1201600
2025-02-28,26.08,26.17,25.190001,25.190001,3405000
2025-03-05,25.190001,25.549999,25.040001,25.549999,1830900
2025-03-06,25.34,25.66,25.110001,25.32,3128000
2025-03-07,25.23,26.139999,25.15,25.940001,3706100
2025-03-10,25.809999,25.809999,25.370001,25.57,2017100
2025-03-11,25.5,25.5,24.950001,25.030001,2765100
2025-03-12,24.91,25.16,24.77,25.059999,2023800
2025-03-13,25.059999,25.49,24.85,25.34,2545800
2025-03-14,25.43,26.25,25.299999,26.24,4210400
2025-03-17,26.18,26.84,26.1,26.83,2136800
2025-03-18,26.51,27.0,26.51,26.700001,2500900
2025-03-19,26.879999,27.219999,26.549999,26.969999,2825900
2025-03-20,26.809999,27.030001,26.540001,26.540001,2389100
2025-03-21,26.540001,26.879999,26.49,26.870001,2730700
2025-03-24,26.98,26.99,26.469999,26.73,1438500
2025-03-25,26.700001,27.4,26.66,27.07,2505900
2025-03-26,27.0,27.530001,26.98,27.25,2480100
2025-03-27,27.25,27.549999,27.040001,27.42,2125800
2025-03-28,27.459999,27.77,27.129999,27.129999,2451700
2025-03-31,27.0,27.08,26.51,26.719999,2093800
2025-04-01,26.65,27.34,26.5,26.700001,2240900
2025-04-02,26.68,27.33,26.58,27.15,1806000
2025-04-03,26.98,27.82,26.950001,27.530001,2698900
2025-04-04,27.01,27.120001,26.35,26.620001,2505000
2025-04-07,26.450001,26.940001,25.93,26.5,2195900
2025-04-08,26.75,26.870001,25.82,26.1,1944000
2025-04-09,25.75,26.889999,25.59,26.75,2437000
2025-04-10,26.35,26.6,26.049999,26.35,1604900
2025-04-11,26.299999,26.799999,26.299999,26.620001,5358300
2025-04-14,26.9,27.049999,26.33,26.950001,3188400
2025-04-15,26.75,27.49,26.75,26.93,2843500
2025-04-16,26.889999,27.370001,26.82,27.120001,3687700
2025-04-17,27.4,27.559999,27.01,27.07,3667700
2025-04-22,26.450001,26.98,26.299999,26.9,2660900
2025-04-23,27.030001,27.34,26.889999,27.040001,2299800
2025-04-24,27.219999,28.07,27.110001,28.07,3333100
2025-04-25,28.049999,28.17,27.629999,27.879999,2324000
2025-04-28,27.92,28.25,27.860001,28.24,1110900
2025-04-29,28.280001,28.950001,28.190001,28.4,2179300
2025-04-30,27.5,29.58,27.5,29.52,7096900
2025-05-02,29.200001,29.459999,28.860001,28.860001,5302900
2025-05-05,29.09,29.35,28.4,28.700001,2781600
2025-05-06,28.709999,28.92,28.34,28.450001,1861500
2025-05-07,28.43,28.780001,28.360001,28.549999,3223200
2025-05-08,28.879999,30.030001,28.790001,29.73,4726000
2025-05-09,29.67,30.26,29.559999,29.99,2935500
2025-05-12,30.0,30.049999,29.52,29.77,1584900
2025-05-13,29.65,30.389999,29.65,30.309999,1801200
2025-05-14,30.299999,30.68,30.18,30.41,1895100
2025-05-15,30.41,30.719999,30.27,30.43,1036400
2025-05-16,30.209999,30.51,29.99,30.110001,1270700
2025-05-19,30.110001,30.639999,30.1,30.559999,1819400
2025-05-20,30.530001,30.68,30.290001,30.530001,1095400
2025-05-21,30.209999,30.379999,29.530001,29.92,1926900
2025-05-22,29.92,29.98,29.51,29.68,2351200
2025-05-23,29.6,29.93,28.91,29.93,2188600
2025-05-26,29.879999,30.459999,29.76,30.200001,1432200
2025-05-27,30.5,30.690001,29.969999,30.24,3177700
2025-05-28,30.24,30.33,29.83,29.9,2205200
2025-05-29,29.809999,30.049999,29.639999,29.809999,1407500
2025-05-30,29.73,29.85,29.379999,29.73,3081000
2025-06-02,30.0,30.1,29.18,29.51,2377600
2025-06-03,29.379999,29.85,29.23,29.73,1525800
2025-06-04,29.74,29.98,28.950001,29.030001,2036300
2025-06-05,29.190001,29.219999,28.74,28.940001,2852500
2025-06-06,28.77,29.049999,28.57,28.73,2348000
2025-06-09,28.75,28.85,28.360001,28.75,2672900
2025-06-10,29.0,29.030001,28.540001,28.83,2133700
2025-06-11,29.200001,30.35,29.09,30.17,6945600
2025-06-12,30.0,30.07,29.610001,29.91,1390700
2025-06-13,29.74,30.200001,29.440001,29.799999,3141200
2025-06-16,30.23,30.35,30.0,30.09,1761400
2025-06-17,30.120001,30.15,29.700001,30.15,1618400
2025-06-18,30.25,30.299999,29.799999,30.08,1763700
2025-06-20,29.700001,29.860001,29.389999,29.469999,4251400
2025-06-23,29.43,29.43,28.84,29.120001,1718300
2025-06-24,29.09,30.16,29.059999,29.65,2268300
2025-06-25,29.559999,29.559999,29.02,29.24,1506700
2025-06-26,29.24,29.4,29.040001,29.299999,3398800
2025-06-27,28.950001,29.32,28.9,29.15,1880100
2025-06-30,29.02,29.809999,28.9,29.690001,2595600
2025-07-01,29.6,30.290001,29.530001,30.290001,5029500
2025-07-02,30.1,30.190001,29.309999,29.379999,5573200
2025-07-03,29.5,29.75,29.379999,29.41,2177900
2025-07-04,29.41,29.5,29.07,29.32,5600300
2025-07-07,29.24,29.48,28.91,28.93,5609600
2025-07-08,29.0,29.07,28.799999,29.049999,2360400
2025-07-09,29.0,29.02,28.59,28.6,2631100
2025-07-10,28.49,28.49,27.9,27.959999,2897100
2025-07-11,27.940001,28.139999,27.6,27.75,4884600
2025-07-14,27.799999,27.799999,27.139999,27.18,2806400
2025-07-15,27.18,27.799999,27.120001,27.799999,6081900
2025-07-16,27.73,27.84,27.209999,27.700001,3400900
2025-07-17,27.799999,28.200001,27.629999,28.200001,3345700
2025-07-18,27.6,27.6,26.299999,26.299999,6016200
2025-07-21,26.299999,26.450001,26.1,26.24,2478200
2025-07-22,26.389999,26.4,26.01,26.4,2535000
2025-07-23,26.34,26.76,26.209999,26.52,1880100
2025-07-24,26.32,26.440001,26.059999,26.4,1609300
2025-07-25,26.41,26.540001,26.32,26.440001,2180800
2025-07-28,26.549999,26.76,26.34,26.34,3541800
2025-07-29,26.4,26.68,26.23,26.370001,2572600
2025-07-30,26.0,26.74,25.49,26.6,6059800
2025-07-31,26.200001,26.51,26.139999,26.43,1806500
2025-08-01,26.6,26.85,25.82,25.82,2667200
2025-08-04,26.0,26.43,26.0,26.35,1772500
2025-08-05,26.4,26.690001,26.09,26.09,1739700
2025-08-06,26.26,26.549999,26.23,26.280001,978500
2025-08-07,26.280001,26.82,26.24,26.6,1257400
2025-08-08,26.280001,26.870001,26.280001,26.84,1104800
2025-08-11,26.629999,26.959999,26.629999,26.709999,1421800
2025-08-12,26.809999,27.42,26.809999,27.059999,2242900
2025-08-13,27.059999,27.299999,26.76,27.0,2778500
2025-08-14,26.700001,27.34,26.700001,26.860001,1900200
2025-08-15,26.9,27.1,26.780001,26.93,1440600
2025-08-18,27.08,27.43,27.08,27.27,1665800
2025-08-19,26.870001,27.040001,25.940001,25.940001,3155200
2025-08-20,26.08,26.59,25.799999,26.48,2502800
2025-08-21,26.379999,26.73,26.309999,26.5,2483300
2025-08-22,26.65,27.34,26.5,27.120001,1411000
2025-08-25,27.139999,27.51,27.139999,27.309999,1488200
2025-08-26,27.42,27.639999,27.35,27.49,1674300
2025-08-27,27.549999,27.809999,27.15,27.76,1807900
2025-08-28,27.799999,28.6,27.719999,28.18,3671200
2025-08-29,28.280001,28.51,28.129999,28.219999,2904900
2025-09-01,28.5,28.59,28.15,28.209999,1168400
2025-09-02,27.93,28.450001,27.85,28.1,1389300
2025-09-03,28.01,28.459999,27.969999,28.08,3670900
2025-09-04,28.08,28.389999,27.940001,28.190001,4119100
2025-09-05,28.5,29.389999,28.25,29.190001,4593400
2025-09-08,29.190001,29.32,28.559999,28.690001,2676500
2025-09-09,28.82,29.030001,28.629999,28.629999,1563400
2025-09-10,28.639999,29.15,28.639999,28.67,1614100
2025-09-11,28.75,29.389999,28.75,28.98,1829700
2025-09-12,28.83,28.98,28.620001,28.66,1475700
2025-09-15,28.969999,29.049999,28.66,28.799999,972300
2025-09-16,28.799999,29.1,28.440001,28.870001,1912000
2025-09-17,28.83,29.690001,28.620001,29.530001,4355200
2025-09-18,29.43,29.57,29.1,29.280001,1585400
2025-09-19,29.280001,29.58,29.08,29.08,2597000
2025-09-22,28.799999,28.959999,28.51,28.82,2695700
2025-09-23,28.860001,29.35,28.790001,29.209999,2692400
2025-09-24,29.209999,29.23,28.85,28.889999,2181000
2025-09-25,28.99,28.99,28.35,28.58,1799800
2025-09-26,28.58,29.24,28.469999,29.24,2916600
2025-09-29,29.59,29.77,29.35,29.35,1146600
2025-09-30,29.549999,29.870001,29.26,29.4,3570100
2025-10-01,29.639999,30.0,28.9,28.950001,3475100
2025-10-02,29.08,29.16,28.690001,28.889999,2447400
2025-10-03,28.91,29.129999,28.74,28.83,738100
2025-10-06,28.799999,28.98,28.389999,28.59,1215800
2025-10-07,28.360001,28.440001,27.98,28.0,2922600
2025-10-08,28.299999,28.299999,27.870001,27.940001,1525900
2025-10-09,28.0,28.43,27.969999,28.309999,1913600
2025-10-10,28.5,28.5,27.700001,27.700001,4464100
2025-10-13,28.07,28.09,27.57,27.74,9732100
2025-10-14,26.950001,27.58,26.92,27.450001,4012400
2025-10-15,27.27,27.940001,27.110001,27.93,4926100
2025-10-16,27.52,28.24,27.52,28.01,2165400
2025-10-17,27.84,28.280001,27.68,28.200001,3888400
2025-10-20,28.440001,29.0,28.35,28.9,3977900
2025-10-21,28.9,29.33,28.76,28.76,2717200
2025-10-22,28.379999,28.559999,28.110001,28.450001,2489900
2025-10-23,28.610001,28.74,28.450001,28.68,2418200
2025-10-24,28.68,29.27,28.67,29.110001,2547500
2025-10-27,29.389999,29.49,29.07,29.4,1705400
2025-10-28,29.43,29.610001,29.129999,29.360001,3864200
2025-10-29,29.85,30.379999,29.700001,29.83,10859900
2025-10-30,29.540001,30.690001,29.469999,30.610001,3539300
2025-10-31,30.610001,31.299999,30.450001,31.139999,5440000
2025-11-03,31.139999,31.719999,31.030001,31.52,5955200
2025-11-04,31.549999,32.0,31.4,31.629999,4091500
2025-11-05,31.629999,32.540001,31.549999,32.5,4294800
2025-11-06,32.5,32.900002,32.209999,32.209999,3769700
2025-11-07,32.200001,32.389999,31.879999,32.389999,7830000
2025-11-10,32.400002,32.919998,32.400002,32.650002,4780700
2025-11-11,32.650002,33.48,32.52,33.41,4087700
2025-11-12,33.41,33.599998,33.18,33.400002,3586600
2025-11-13,33.400002,33.779999,33.299999,33.580002,4024400
2025-11-14,33.5,33.919998,33.369999,33.779999,1422900
2025-11-17,33.450001,33.779999,33.34,33.490002,1813800
2025-11-18,33.459999,33.619999,33.279999,33.419998,1528400
2025-11-19,33.32,33.41,32.950001,33.18,2388300
2025-11-21,33.009998,33.209999,32.720001,33.080002,1682800
2025-11-24,33.209999,33.419998,33.0,33.09,1798300
2025-11-25,33.0,33.59,32.959999,33.59,1965500
2025-11-26,33.57,34.349998,33.459999,34.189999,2254100
2025-11-27,34.189999,34.34,34.009998,34.220001,616400
2025-11-28,34.25,34.66,34.130001,34.200001,3365900
2025-12-01,34.150002,34.150002,33.75,33.91,3790400
2025-12-02,34.07,34.889999,33.990002,34.799999,3242600
2025-12-03,35.0,35.029999,34.130001,34.349998,3247700
