date,open,high,low,close,volume
2025-01-02,16.73,16.879999,16.43,16.629999,3426700
2025-01-03,16.629999,16.879999,16.57,16.700001,2019300
2025-01-06,16.799999,17.469999,16.799999,17.34,2851400
2025-01-07,17.51,18.17,17.459999,17.889999,2718400
2025-01-08,17.809999,17.860001,17.23,17.309999,3016800
2025-01-09,17.290001,17.76,17.26,17.49,1765800
2025-01-10,17.5,17.83,17.27,17.5,1884900
2025-01-13,17.540001,17.549999,17.280001,17.35,1777400
2025-01-14,17.35,17.84,17.17,17.700001,1698200
2025-01-15,17.75,18.6,17.75,18.4,3436700
2025-01-16,18.389999,18.440001,17.92,17.959999,2597100
2025-01-17,17.959999,18.190001,17.74,17.91,2618000
2025-01-20,17.82,18.42,17.74,18.01,2390500
2025-01-21,17.959999,18.540001,17.940001,18.450001,2886300
2025-01-22,18.290001,19.110001,18.290001,18.91,3574500
2025-01-23,18.879999,18.99,18.559999,18.59,2659800
2025-01-24,18.68,19.0,18.5,18.68,1261000
2025-01-27,18.59,19.440001,18.57,19.24,2261000
2025-01-28,19.209999,19.27,18.99,19.15,1828400
2025-01-29,19.15,19.24,18.950001,18.950001,2501200
2025-01-30,19.200001,19.879999,19.02,19.610001,3101400
2025-01-31,19.610001,19.76,19.33,19.48,3542800
2025-02-03,19.77,20.0,19.35,19.629999,2839900
2025-02-04,19.57,19.67,19.190001,19.450001,2040700
2025-02-05,19.5,19.549999,18.959999,19.18,1392700
2025-02-06,19.15,19.48,19.02,19.290001,1902300
2025-02-07,19.49,19.49,18.15,18.379999,5454600
2025-02-10,18.4,18.74,17.74,17.77,6875000
2025-02-11,17.719999,18.66,17.370001,18.629999,4559500
2025-02-12,18.540001,18.73,18.09,18.559999,3273600
2025-02-13,18.559999,18.67,18.33,18.6,3106500
2025-02-14,18.59,19.440001,18.559999,19.370001,3439400
2025-02-17,19.459999,20.32,19.27,19.9,4321600
2025-02-18,19.889999,20.040001,19.52,19.83,4318800
2025-02-19,19.870001,19.889999,19.25,19.549999,2765500
2025-02-20,19.6,19.780001,19.299999,19.690001,1593100
2025-02-21,19.790001,19.799999,19.299999,19.440001,3780000
2025-02-24,19.42,19.549999,18.52,18.66,3459300
2025-02-25,18.639999,18.700001,18.32,18.51,2635100
2025-02-26,18.74,18.74,18.01,18.15,2114200
2025-02-27,18.049999,18.299999,17.98,18.17,2533000
2025-02-28,18.24,18.379999,17.530001,17.84,7226000
2025-03-05,17.620001,18.01,17.51,17.969999,2333800
2025-03-06,17.969999,18.639999,17.959999,18.389999,2417800
2025-03-07,18.379999,19.09,18.129999,18.92,2221500
2025-03-10,18.84,19.030001,18.65,18.799999,2766800
2025-03-11,18.700001,19.08,18.700001,18.98,2560100
2025-03-12,18.9,19.299999,18.860001,19.120001,2287500
2025-03-13,19.040001,19.48,18.48,19.299999,3915200
2025-03-14,19.35,20.040001,19.290001,19.700001,3017900
2025-03-17,19.93,20.32,19.620001,19.99,2870500
2025-03-18,19.9,20.23,19.74,19.93,1895900
2025-03-19,20.0,20.969999,19.91,20.65,4562600
2025-03-20,20.530001,21.08,20.49,20.58,2998800
2025-03-21,20.530001,20.91,20.49,20.530001,4183300
2025-03-24,20.540001,20.93,20.42,20.5,2578700
2025-03-25,20.469999,21.309999,20.469999,20.799999,3366500
2025-03-26,20.879999,21.17,20.700001,20.76,1874900
2025-03-27,20.84,21.459999,20.65,21.370001,4015200
2025-03-28,21.370001,21.59,21.09,21.35,4761400
2025-03-31,21.309999,21.5,20.42,20.42,3627000
2025-04-01,20.57,20.969999,20.280001,20.59,2643400
2025-04-02,20.52,21.0,20.5,20.790001,1726800
2025-04-03,20.790001,21.360001,20.68,21.129999,4950900
2025-04-04,20.76,20.76,19.959999,20.200001,3052000
2025-04-07,19.719999,20.610001,19.52,20.18,2737500
2025-04-08,20.219999,20.91,20.219999,20.33,2902900
2025-04-09,20.1,21.389999,19.959999,20.82,4287700
