date,open,high,low,close,volume
2025-01-02,61.360001,63.02,61.349998,62.400002,5787400
2025-01-03,62.509998,63.540001,62.400002,62.68,8122000
2025-01-06,62.310001,62.68,61.860001,62.450001,3577500
2025-01-07,62.439999,62.5,61.310001,62.02,5330800
2025-01-08,62.360001,62.84,61.040001,61.799999,8023000
2025-01-09,61.459999,62.290001,61.200001,61.470001,3003700
2025-01-10,61.57,61.889999,60.540001,61.439999,5157300
2025-01-13,61.389999,62.700001,61.290001,62.080002,3958400
2025-01-14,62.09,62.439999,60.82,60.93,4942700
2025-01-15,61.810001,61.810001,59.93,61.09,5333700
2025-01-16,61.09,61.48,59.740002,60.360001,5717600
2025-01-17,60.700001,62.400002,60.240002,62.279999,7500200
2025-01-20,62.0,62.299999,61.34,61.799999,3212200
2025-01-21,62.029999,62.599998,61.650002,62.400002,3732500
2025-01-22,62.619999,63.150002,61.220001,61.400002,5029100
2025-01-23,61.290001,63.060001,61.290001,62.75,5849200
2025-01-24,62.82,63.009998,62.009998,62.759998,2748800
2025-01-27,62.759998,63.400002,62.349998,63.09,4296900
2025-01-28,62.709999,63.389999,62.310001,62.759998,2937100
2025-01-29,63.07,63.32,62.110001,62.200001,4256300
2025-01-30,62.560001,62.970001,61.860001,62.360001,4598900
2025-01-31,62.57,62.82,61.830002,62.369999,4468900
2025-02-03,62.549999,63.509998,62.029999,62.450001,4002600
2025-02-04,62.450001,62.709999,59.889999,59.919998,6826300
2025-02-05,60.220001,61.009998,59.5,59.689999,5385800
2025-02-06,59.700001,60.220001,59.599998,60.09,2647400
2025-02-07,60.02,60.099998,59.150002,59.52,4356300
2025-02-10,60.009998,60.099998,58.830002,59.349998,3097900
2025-02-11,59.689999,59.689999,58.459999,58.93,5277700
2025-02-12,58.700001,58.77,57.400002,57.970001,6929700
2025-02-13,58.02,59.540001,57.540001,59.23,8209400
2025-02-14,59.34,59.599998,57.650002,58.849998,7934600
2025-02-17,58.990002,59.169998,57.48,57.810001,5918200
2025-02-18,58.02,58.220001,57.34,57.700001,7408000
2025-02-19,57.529999,58.57,57.34,58.07,5830900
2025-02-20,58.07,58.130001,57.470001,57.669998,4897100
2025-02-21,57.919998,58.27,57.080002,57.5,10051400
2025-02-24,57.549999,57.849998,56.889999,57.029999,3222800
2025-02-25,57.639999,57.650002,56.669998,56.84,5713200
2025-02-26,57.200001,57.349998,56.740002,57.040001,4719000
2025-02-27,57.060001,57.84,56.84,57.169998,5154300
2025-02-28,56.959999,57.279999,56.049999,56.310001,7300300
2025-03-05,56.189999,56.610001,55.130001,55.369999,4952200
2025-03-06,55.639999,55.849998,54.689999,55.16,5269600
2025-03-07,54.82,55.650002,54.450001,55.34,5896900
2025-03-10,55.009998,55.689999,54.68,55.59,4789500
2025-03-11,55.68,56.099998,54.740002,55.130001,4690700
2025-03-12,55.150002,55.349998,54.48,54.75,4171200
2025-03-13,54.700001,54.860001,54.150002,54.310001,4006700
