date,open,high,low,close,volume
2025-01-02,14.26,14.6,14.26,14.52,5797200
2025-01-03,14.55,14.67,14.37,14.42,11361900
2025-01-06,14.44,14.6,14.42,14.59,4801600
2025-01-07,14.65,14.84,14.64,14.81,9328300
2025-01-08,14.75,14.82,14.57,14.57,10530800
2025-01-09,14.55,14.58,14.41,14.55,2771200
2025-01-10,14.55,14.58,13.78,13.82,16631000
2025-01-13,13.9,13.98,13.78,13.84,11833400
2025-01-14,13.8,14.04,13.74,14.04,10899500
2025-01-15,14.21,14.56,14.11,14.55,9334600
2025-01-16,14.55,14.69,14.35,14.55,8140800
2025-01-17,14.68,14.88,14.56,14.81,7648500
2025-01-20,14.88,14.88,14.7,14.85,3209600
2025-01-21,14.84,15.2,14.81,15.11,9191900
2025-01-22,15.25,15.54,15.11,15.37,8996600
2025-01-23,15.47,15.64,15.3,15.4,6567700
2025-01-24,15.32,15.4,15.05,15.08,8698300
2025-01-27,15.18,15.85,15.16,15.85,4820600
2025-01-28,15.85,15.89,15.39,15.46,7461500
2025-01-29,15.54,15.58,15.3,15.47,3063400
2025-01-30,15.47,15.82,15.46,15.64,4535000
2025-01-31,15.72,15.92,15.54,15.61,7713200
2025-02-03,15.66,15.81,15.47,15.8,7214300
2025-02-04,15.84,15.91,15.6,15.82,4834000
2025-02-05,15.82,15.91,15.49,15.55,4283100
2025-02-06,15.42,15.66,15.26,15.5,4371500
2025-02-07,15.5,15.68,15.43,15.64,5267800
2025-02-10,15.74,15.95,15.65,15.83,7768400
2025-02-11,16.5,17.040001,16.15,16.93,19928100
2025-02-12,16.74,17.370001,16.58,17.299999,17201200
2025-02-13,17.120001,17.610001,17.09,17.370001,10819900
2025-02-14,17.370001,17.58,17.200001,17.530001,10912800
2025-02-17,17.5,17.76,17.469999,17.549999,4378800
2025-02-18,17.5,17.66,17.299999,17.43,10006800
2025-02-19,17.129999,17.35,17.1,17.190001,7627900
2025-02-20,17.16,17.26,17.059999,17.09,6335100
2025-02-21,17.09,17.209999,16.98,17.190001,4679000
2025-02-24,17.200001,17.290001,17.02,17.08,3083200
2025-02-25,17.219999,17.23,17.030001,17.1,6226000
2025-02-26,17.16,17.16,16.190001,16.4,11613300
2025-02-27,16.4,16.719999,16.360001,16.66,7067400
2025-02-28,16.65,16.719999,16.110001,16.17,9200800
2025-03-05,16.26,16.52,16.219999,16.32,6611400
2025-03-06,16.43,16.43,16.110001,16.41,7464000
2025-03-07,16.200001,16.950001,16.18,16.799999,7334400
2025-03-10,16.66,17.139999,16.57,16.99,5599600
2025-03-11,17.049999,17.049999,16.450001,16.57,6967700
2025-03-12,16.58,16.889999,16.57,16.879999,6666100
2025-03-13,16.780001,17.049999,16.549999,16.940001,4770800
2025-03-14,17.1,17.35,17.040001,17.309999,3385300
2025-03-17,17.35,17.41,17.120001,17.34,3607800
2025-03-18,17.389999,17.389999,17.110001,17.26,5280200
2025-03-19,17.280001,17.33,16.959999,17.219999,7258200
2025-03-20,17.26,17.34,16.92,17.07,10174800
2025-03-21,17.129999,17.360001,17.07,17.360001,8270000
2025-03-24,17.440001,17.440001,17.17,17.32,7287500
2025-03-25,17.450001,17.52,17.25,17.32,12456000
2025-03-26,17.389999,17.82,17.32,17.66,6889800
2025-03-27,17.73,18.02,17.51,17.91,10937100
2025-03-28,17.98,18.059999,17.74,17.77,6113300
2025-03-31,17.9,18.1,17.709999,18.0,8290400
2025-04-01,17.799999,18.07,17.65,17.92,7748400
2025-04-02,17.98,18.129999,17.940001,18.110001,4213800
2025-04-03,18.110001,18.639999,18.07,18.379999,6607400
2025-04-04,17.389999,17.469999,16.9,16.9,8455800
2025-04-07,16.75,16.9,16.280001,16.48,10731000
2025-04-08,16.5,16.74,16.41,16.639999,8168600
2025-04-09,16.540001,17.33,16.440001,17.049999,8763800
2025-04-10,16.99,17.190001,16.92,17.040001,3550700
2025-04-11,17.15,17.379999,17.049999,17.27,5216100
2025-04-14,17.360001,17.58,17.27,17.450001,4611700
2025-04-15,17.33,17.68,17.27,17.52,7689400
2025-04-16,17.370001,17.73,17.34,17.530001,7342700
2025-04-17,17.700001,17.93,17.530001,17.84,2882700
2025-04-22,17.83,18.07,17.799999,17.9,3151800
2025-04-23,17.93,18.290001,17.9,18.17,5377400
2025-04-24,18.32,18.68,18.219999,18.540001,5400200
2025-04-25,18.59,18.799999,18.34,18.610001,10032300
2025-04-28,18.700001,18.799999,18.549999,18.549999,3417400
2025-04-29,18.610001,19.0,18.6,18.75,4982700
