date,open,high,low,close,volume
2025-01-02,26.540001,26.870001,25.889999,26.379999,2559800
2025-01-03,26.370001,26.459999,25.889999,26.139999,2210400
2025-01-06,26.459999,27.49,26.370001,27.370001,3904900
2025-01-07,27.77,27.77,26.940001,27.01,2913100
2025-01-08,26.98,26.98,26.120001,26.120001,2742600
2025-01-09,26.23,26.780001,25.959999,26.65,1872500
2025-01-10,26.6,26.98,26.1,26.709999,3484900
2025-01-13,26.83,26.83,26.389999,26.73,3734600
2025-01-14,26.73,27.83,26.559999,27.57,3678600
2025-01-15,27.93,29.209999,27.68,28.780001,4474300
2025-01-16,28.77,28.91,28.32,28.51,3148300
2025-01-17,28.709999,28.709999,27.889999,28.200001,2515800
2025-01-20,28.459999,28.700001,28.129999,28.450001,1450300
2025-01-21,28.26,29.16,28.26,29.049999,3209100
2025-01-22,29.440001,29.74,28.940001,29.309999,2337900
2025-01-23,29.1,29.77,29.08,29.24,3249300
2025-01-24,29.200001,30.190001,28.99,29.91,2924600
2025-01-27,29.49,31.610001,29.49,31.209999,3451300
2025-01-28,30.790001,31.25,30.43,30.790001,3328100
2025-01-29,31.049999,31.34,30.450001,31.15,3357600
2025-01-30,31.35,33.299999,31.190001,32.610001,6354200
2025-01-31,32.610001,34.459999,32.610001,34.060001,7035300
2025-02-03,33.740002,34.880001,33.540001,34.25,6944300
2025-02-04,34.0,34.299999,32.98,33.470001,21121700
2025-02-05,33.470001,33.5,31.73,32.18,6988600
2025-02-06,32.099998,32.720001,31.879999,32.66,3871800
2025-02-07,32.549999,33.970001,32.549999,33.540001,4072200
2025-02-10,33.860001,34.299999,33.48,33.889999,4585200
2025-02-11,33.990002,34.720001,33.709999,34.0,2740500
2025-02-12,33.349998,34.0,32.610001,33.049999,6265100
2025-02-13,33.419998,34.5,33.110001,33.959999,5373800
2025-02-14,34.0,34.59,33.299999,34.400002,5353600
2025-02-17,34.34,34.799999,34.209999,34.509998,1689500
2025-02-18,34.529999,34.619999,33.849998,34.299999,2965500
2025-02-19,33.41,34.52,33.290001,34.040001,2325400
2025-02-20,33.73,35.299999,33.540001,35.09,2838900
2025-02-21,35.060001,35.200001,34.610001,35.060001,3310600
2025-02-24,35.0,35.169998,34.139999,34.330002,3926400
2025-02-25,34.66,35.939999,34.389999,35.48,5076700
2025-02-26,35.73,36.25,35.189999,35.810001,3356100
2025-02-27,35.84,36.610001,35.73,35.810001,4905800
2025-02-28,34.84,35.759998,34.060001,34.959999,8288500
2025-03-05,34.5,34.880001,33.66,34.700001,4735600
2025-03-06,35.189999,35.380001,34.639999,34.790001,3452700
2025-03-07,34.189999,34.490002,33.599998,34.119999,5957100
2025-03-10,34.130001,34.77,33.82,34.240002,5519500
2025-03-11,34.110001,34.130001,33.310001,33.5,9750500
2025-03-12,33.630001,33.630001,33.060001,33.200001,5021200
2025-03-13,33.209999,33.34,32.5,33.200001,3149100
2025-03-14,33.5,33.759998,33.049999,33.470001,6791700
2025-03-17,33.759998,33.84,32.68,33.700001,2679500
2025-03-18,33.57,34.970001,33.439999,34.669998,5600100
2025-03-19,35.0,35.68,34.509998,34.990002,3059300
2025-03-20,34.869999,35.07,34.380001,34.700001,2715800
2025-03-21,34.82,34.82,34.330002,34.400002,3603900
2025-03-24,33.919998,34.16,33.310001,33.580002,3311400
2025-03-25,33.669998,34.029999,33.200001,33.740002,2215000
2025-03-26,33.900002,33.900002,32.84,33.110001,3550500
2025-03-27,33.400002,33.41,32.889999,33.119999,2170400
2025-03-28,32.93,33.669998,32.59,33.400002,2052500
2025-03-31,33.290001,33.77,33.07,33.369999,1926400
2025-04-01,33.509998,34.130001,33.169998,33.869999,2219500
2025-04-02,33.990002,34.419998,33.669998,33.740002,2969200
2025-04-03,33.630001,34.950001,33.389999,34.5,2379500
2025-04-04,33.889999,34.560001,33.43,34.150002,3061700
2025-04-07,34.009998,34.279999,33.009998,33.48,3507500
2025-04-08,33.299999,34.139999,33.290001,33.810001,3826000
2025-04-09,33.77,34.610001,33.529999,34.240002,3984500
2025-04-10,33.900002,34.369999,33.549999,33.860001,2221500
2025-04-11,34.200001,34.880001,33.5,34.700001,2769800
2025-04-14,34.990002,35.959999,34.73,35.790001,3693700
2025-04-15,35.799999,36.540001,35.57,36.169998,3530400
2025-04-16,35.759998,36.189999,35.610001,35.990002,5189600
2025-04-17,35.990002,36.889999,35.950001,36.639999,3375400
2025-04-22,36.189999,37.369999,36.189999,36.959999,2968100
2025-04-23,37.279999,37.529999,36.790001,36.970001,3625800
2025-04-24,37.139999,37.18,36.68,36.970001,4418900
2025-04-25,37.029999,37.560001,36.810001,37.52,2271800
2025-04-28,37.759998,37.799999,36.959999,37.189999,3956000
2025-04-29,37.200001,37.59,37.139999,37.23,2588400
2025-04-30,37.18,37.82,37.040001,37.619999,5453100
2025-05-02,37.200001,37.5,36.599998,37.389999,3537800
2025-05-05,37.389999,37.560001,36.869999,37.380001,3274900
2025-05-06,36.599998,36.919998,35.82,36.639999,5537600
2025-05-07,36.650002,37.240002,36.59,37.169998,2482500
2025-05-08,37.299999,38.209999,37.099998,38.02,5651600
2025-05-09,38.16,38.98,37.490002,38.330002,7236400
2025-05-12,38.5,39.380001,37.75,39.0,6426000
2025-05-13,39.02,40.509998,38.830002,40.450001,5040600
2025-05-14,40.400002,41.040001,40.189999,40.639999,4544900
2025-05-15,40.650002,40.790001,40.09,40.669998,2488200
2025-05-16,40.509998,41.630001,40.360001,41.580002,3172400
2025-05-19,41.5,42.43,41.34,42.09,3170300
2025-05-20,42.09,42.16,41.299999,41.799999,3091900
2025-05-21,41.75,41.849998,40.720001,41.779999,4182900
2025-05-22,41.93,42.52,41.740002,41.799999,2850800
2025-05-23,41.5,42.860001,41.110001,42.5,3174100
2025-05-26,42.779999,43.349998,42.5,42.900002,1717500
2025-05-27,43.25,44.130001,43.060001,43.599998,5373600
2025-05-28,43.599998,44.040001,43.299999,43.349998,3818400
2025-05-29,43.259998,43.57,42.619999,42.799999,4060400
2025-05-30,42.799999,43.52,42.209999,42.209999,13612500
2025-06-02,42.209999,42.57,41.66,42.02,2845000
2025-06-03,41.849998,42.049999,41.130001,41.509998,3296100
2025-06-04,41.490002,42.18,41.450001,41.709999,2217800
2025-06-05,41.580002,41.75,40.529999,40.759998,3224300
2025-06-06,40.939999,41.049999,40.400002,40.98,3227100
2025-06-09,41.060001,41.27,40.450001,40.900002,1929600
2025-06-10,41.41,41.419998,40.82,40.950001,2471400
2025-06-11,40.950001,41.0,40.509998,40.889999,3385700
2025-06-12,40.740002,41.57,40.400002,41.310001,2582300
2025-06-13,40.900002,41.439999,40.860001,41.040001,3738900
2025-06-16,41.740002,41.75,40.880001,41.470001,1977500
2025-06-17,41.75,42.169998,41.43,41.759998,2813700
2025-06-18,41.709999,42.630001,41.650002,42.41,2160800
2025-06-20,42.0,42.139999,40.400002,40.889999,5904100
2025-06-23,41.189999,41.77,40.82,41.73,2278500
2025-06-24,41.77,42.68,41.650002,41.919998,2686500
2025-06-25,41.619999,41.990002,40.810001,41.34,2905100
2025-06-26,41.75,41.939999,41.130001,41.860001,2401000
2025-06-27,41.43,41.68,40.939999,41.52,2305600
2025-06-30,41.400002,42.470001,41.400002,42.209999,1838200
2025-07-01,42.209999,42.779999,41.900002,42.48,2101300
2025-07-02,42.48,42.740002,41.639999,41.799999,2163700
2025-07-03,41.91,43.009998,41.799999,42.799999,1568000
2025-07-04,42.73,43.299999,42.619999,43.110001,1079500
2025-07-07,43.110001,43.220001,40.959999,40.959999,3704200
2025-07-08,41.299999,41.82,40.990002,41.73,3538000
2025-07-09,42.0,42.66,41.799999,42.110001,2797800
2025-07-10,42.060001,42.110001,40.93,41.599998,2409400
2025-07-11,41.720001,41.77,40.990002,41.09,2369800
2025-07-14,40.900002,41.599998,40.599998,41.470001,2828200
2025-07-15,41.720001,42.700001,41.580002,42.439999,4035300
2025-07-16,42.75,42.860001,41.950001,42.419998,2716300
2025-07-17,42.439999,42.619999,41.459999,42.259998,5137600
2025-07-18,41.990002,42.57,41.470001,41.700001,3593800
2025-07-21,41.75,42.77,41.75,42.110001,2808400
2025-07-22,42.66,43.419998,41.639999,41.66,3646400
2025-07-23,41.66,43.48,41.599998,42.869999,6175300
2025-07-24,42.439999,43.5,42.299999,43.02,3301800
2025-07-25,43.040001,43.630001,43.0,43.0,2517700
2025-07-28,43.099998,43.389999,42.400002,42.75,3099500
2025-07-29,42.73,43.380001,42.68,43.049999,2191500
2025-07-30,42.810001,44.290001,42.639999,43.779999,3434700
