date,open,high,low,close,volume
2025-01-02,5.34,5.34,5.16,5.16,11225600
2025-01-03,5.16,5.16,4.85,4.85,18758900
2025-01-06,4.9,5.09,4.87,5.09,15628800
2025-01-07,5.1,5.15,5.02,5.08,13075100
2025-01-08,5.04,5.04,4.87,4.88,10505000
2025-01-09,4.84,4.86,4.74,4.79,9001100
2025-01-10,4.81,4.83,4.68,4.76,12552300
2025-01-13,4.8,4.93,4.72,4.75,11158600
2025-01-14,4.8,4.81,4.68,4.68,8290900
2025-01-15,4.72,4.98,4.7,4.95,14574800
2025-01-16,4.95,4.95,4.82,4.84,11157000
2025-01-17,4.86,5.1,4.83,5.01,15800600
2025-01-20,5.01,5.07,4.94,5.04,7166400
2025-01-21,5.03,5.31,5.01,5.31,13036300
2025-01-22,5.28,5.45,5.22,5.22,15837900
2025-01-23,5.27,5.35,5.09,5.15,14352300
2025-01-24,5.19,5.36,5.18,5.23,15514400
2025-01-27,5.23,5.43,5.15,5.41,10895000
2025-01-28,5.41,5.47,5.29,5.33,11737500
2025-01-29,5.4,5.43,5.31,5.4,10531400
2025-01-30,5.4,5.67,5.4,5.64,16263600
2025-01-31,5.65,5.66,5.44,5.51,12324200
2025-02-03,5.46,5.55,5.42,5.53,10586700
2025-02-04,5.52,5.53,5.44,5.48,7528900
2025-02-05,5.48,5.57,5.38,5.5,11348900
2025-02-06,5.52,5.67,5.5,5.6,9321600
2025-02-07,5.64,5.69,5.58,5.6,9236900
2025-02-10,5.42,5.77,5.41,5.72,12512500
2025-02-11,5.59,5.96,5.58,5.92,16069500
2025-02-12,5.86,5.89,5.68,5.68,17277800
2025-02-13,5.67,5.9,5.64,5.87,11446000
2025-02-14,5.8,5.98,5.71,5.98,22419200
2025-02-17,5.91,6.09,5.91,5.95,10402000
2025-02-18,5.98,6.18,5.98,6.04,12826700
2025-02-19,6.13,6.27,6.04,6.07,21090100
2025-02-20,6.14,6.2,6.05,6.13,12252100
2025-02-21,6.13,6.16,5.97,5.98,10490200
2025-02-24,6.04,6.05,5.82,5.82,9261500
2025-02-25,5.8,5.93,5.79,5.91,7812400
2025-02-26,5.95,6.02,5.88,5.97,8163700
2025-02-27,5.92,6.07,5.92,5.96,6353900
2025-02-28,5.91,5.95,5.66,5.71,10469100
2025-03-05,5.71,5.89,5.7,5.85,6760700
2025-03-06,5.87,5.99,5.82,5.92,10857900
2025-03-07,5.9,6.05,5.8,6.02,11715800
2025-03-10,5.94,6.01,5.86,5.96,7297900
2025-03-11,5.96,6.01,5.76,5.88,8013700
2025-03-12,5.83,5.9,5.74,5.86,8076400
2025-03-13,5.86,5.95,5.65,5.65,17105100
2025-03-14,5.73,5.92,5.71,5.88,18908200
2025-03-17,5.86,5.91,5.82,5.87,8080800
2025-03-18,5.85,5.92,5.75,5.84,10325400
2025-03-19,5.84,5.99,5.8,5.94,11928600
2025-03-20,5.89,5.96,5.85,5.89,6691100
2025-03-21,5.83,5.91,5.79,5.79,8242200
2025-03-24,5.86,6.0,5.82,5.87,10931900
2025-03-25,5.88,5.98,5.86,5.9,7655700
2025-03-26,5.89,5.95,5.88,5.93,5440000
2025-03-27,5.99,6.03,5.88,5.95,8196600
2025-03-28,5.95,5.95,5.66,5.72,15263300
2025-03-31,5.68,5.72,5.58,5.68,8639000
2025-04-01,5.73,6.0,5.68,5.9,14280600
2025-04-02,5.91,5.92,5.75,5.82,8101600
2025-04-03,5.76,5.81,5.7,5.76,10549900
2025-04-04,5.63,5.64,5.33,5.35,19770000
2025-04-07,5.14,5.49,5.12,5.36,16937200
2025-04-08,5.46,5.46,5.07,5.11,12899200
2025-04-09,5.05,5.51,5.02,5.47,25063100
2025-04-10,5.48,5.48,5.24,5.33,16133200
2025-04-11,5.37,5.47,5.32,5.42,9609100
2025-04-14,5.49,5.61,5.46,5.6,11260900
2025-04-15,5.59,5.7,5.46,5.46,8854100
2025-04-16,5.42,5.63,5.4,5.58,14253400
2025-04-17,5.59,5.7,5.56,5.67,9102900
2025-04-22,5.67,5.79,5.62,5.71,8986500
2025-04-23,5.83,6.11,5.83,6.07,19119500
2025-04-24,6.15,6.25,5.67,5.81,48473400
2025-04-25,5.83,5.9,5.69,5.73,17748600
