date,open,high,low,close,volume
2025-01-02,4.78,4.78,4.48,4.6,7933000
2025-01-03,4.59,4.7,4.53,4.58,4405000
2025-01-06,4.66,4.89,4.65,4.8,5174000
2025-01-07,4.8,4.85,4.69,4.75,3939200
2025-01-08,4.74,4.74,4.49,4.62,6101600
2025-01-09,4.6,4.7,4.53,4.58,2996500
2025-01-10,4.58,4.59,4.43,4.44,3718400
2025-01-13,4.46,4.46,4.25,4.38,9366700
2025-01-14,4.39,4.52,4.33,4.45,4388100
2025-01-15,4.51,4.88,4.5,4.87,6955800
2025-01-16,4.81,4.83,4.63,4.7,4696900
2025-01-17,4.71,4.75,4.58,4.64,3215700
2025-01-20,4.56,4.74,4.53,4.67,3302300
2025-01-21,4.66,4.7,4.56,4.57,2286300
2025-01-22,4.6,4.72,4.53,4.7,4926900
2025-01-23,4.68,4.75,4.58,4.66,5067300
2025-01-24,4.66,4.84,4.56,4.56,5546200
2025-01-27,4.56,4.9,4.52,4.89,8797400
2025-01-28,4.86,4.9,4.76,4.77,3174000
2025-01-29,4.82,4.83,4.69,4.72,2767200
2025-01-30,4.74,4.9,4.74,4.87,4300100
2025-01-31,4.9,5.02,4.77,4.84,5103500
2025-02-03,4.82,4.84,4.69,4.76,3517400
2025-02-04,4.74,4.77,4.62,4.64,4532900
2025-02-05,4.64,4.66,4.37,4.37,7164300
2025-02-06,4.37,4.43,4.1,4.27,20444700
2025-02-07,4.28,4.39,4.05,4.06,14702200
2025-02-10,4.1,4.29,4.06,4.28,10488800
2025-02-11,4.28,4.6,4.25,4.55,11944900
2025-02-12,4.51,4.66,4.31,4.66,7930800
2025-02-13,4.64,4.73,4.52,4.58,4197500
2025-02-14,4.63,5.0,4.63,5.0,8507100
2025-02-17,5.0,5.38,4.94,5.29,12821100
2025-02-18,5.26,5.4,5.14,5.31,5765100
2025-02-19,5.25,5.25,5.03,5.03,5264600
2025-02-20,5.03,5.07,4.73,4.75,9078200
2025-02-21,4.75,4.79,4.52,4.62,8971400
2025-02-24,4.66,4.68,4.3,4.3,5475000
2025-02-25,4.31,4.37,4.28,4.28,4559000
2025-02-26,4.34,4.36,3.95,4.14,10400300
2025-02-27,4.08,4.25,4.06,4.08,5962900
2025-02-28,4.07,4.07,3.74,3.81,23466300
2025-03-05,3.85,3.9,3.68,3.7,7801900
2025-03-06,3.75,3.78,3.59,3.65,11312000
2025-03-07,3.65,3.95,3.59,3.82,13260500
2025-03-10,3.77,3.9,3.71,3.75,8562400
2025-03-11,3.77,3.84,3.7,3.77,8460700
2025-03-12,3.76,3.86,3.67,3.71,6936900
2025-03-13,3.7,3.72,3.54,3.58,10969800
2025-03-14,3.62,3.95,3.61,3.95,20638800
2025-03-17,3.96,4.3,3.93,4.19,13598800
2025-03-18,4.23,4.26,4.02,4.08,9378100
2025-03-19,4.11,4.32,4.01,4.3,5881900
2025-03-20,4.25,4.33,4.17,4.24,4703700
2025-03-21,4.25,4.5,4.2,4.37,9827300
2025-03-24,4.38,4.46,4.29,4.29,7771800
2025-03-25,4.71,5.05,4.68,4.96,18547600
2025-03-26,5.02,5.32,4.94,5.27,21751900
2025-03-27,5.28,5.34,5.15,5.15,10559900
2025-03-28,5.1,5.1,4.67,4.67,34351000
2025-03-31,4.62,4.62,4.36,4.39,18166200
2025-04-01,4.35,4.57,4.31,4.43,17051900
2025-04-02,4.42,4.86,4.4,4.74,19691500
2025-04-03,4.69,5.08,4.68,4.84,19909000
2025-04-04,4.64,4.64,4.32,4.36,16756300
2025-04-07,4.18,4.46,4.13,4.23,11947600
2025-04-08,4.3,4.42,4.09,4.13,11753300
2025-04-09,3.99,4.45,3.97,4.35,14177600
2025-04-10,4.37,4.37,4.15,4.32,9614600
2025-04-11,4.45,4.92,4.41,4.87,16814500
2025-04-14,4.96,5.05,4.69,4.85,13698700
2025-04-15,4.81,4.96,4.74,4.89,6920700
2025-04-16,4.84,5.02,4.79,4.82,6577900
2025-04-17,4.86,5.04,4.76,4.99,6084100
2025-04-22,4.92,5.14,4.85,4.97,9491500
2025-04-23,5.1,5.22,5.01,5.05,12155400
2025-04-24,5.07,5.53,5.05,5.43,12722500
2025-04-25,5.44,5.49,5.32,5.36,10483000
2025-04-28,5.38,5.44,5.18,5.19,7418600
2025-04-29,5.17,5.31,5.12,5.16,8181500
2025-04-30,5.16,5.25,4.84,4.92,13054500
2025-05-02,4.95,5.07,4.86,5.05,5343400
2025-05-05,5.01,5.05,4.83,4.86,6086700
2025-05-06,4.87,5.1,4.76,4.82,7284900
2025-05-07,4.69,4.7,4.19,4.48,46529800
2025-05-08,4.65,4.79,4.5,4.55,22486200
2025-05-09,4.54,4.54,4.31,4.41,12802800
2025-05-12,4.57,4.57,4.27,4.28,9162900
2025-05-13,4.3,4.57,4.3,4.5,12468700
2025-05-14,4.51,4.55,4.22,4.22,10512300
2025-05-15,4.2,4.51,4.2,4.34,20391500
2025-05-16,4.34,4.54,4.22,4.54,9207100
2025-05-19,4.51,4.64,4.48,4.51,13330800
2025-05-20,4.54,4.71,4.35,4.7,20639200
2025-05-21,4.65,4.66,4.34,4.39,17465800
2025-05-22,4.4,4.44,4.22,4.25,17982000
2025-05-23,4.25,4.25,4.07,4.12,16553200
2025-05-26,4.19,4.22,4.11,4.13,5749900
2025-05-27,4.29,4.63,4.28,4.53,17473800
2025-05-28,4.49,4.71,4.48,4.7,10447500
2025-05-29,4.65,4.81,4.57,4.75,9271500
2025-05-30,4.75,4.99,4.71,4.97,13735700
2025-06-02,5.04,5.05,4.87,4.87,12493400
2025-06-03,4.85,5.07,4.84,4.89,14153000
2025-06-04,4.95,5.09,4.85,4.92,13628900
2025-06-05,4.95,5.02,4.73,4.78,12974500
2025-06-06,4.75,4.82,4.46,4.53,20201600
2025-06-09,4.5,4.51,4.32,4.42,14487700
2025-06-10,4.53,4.71,4.47,4.68,18403600
2025-06-11,4.7,4.74,4.5,4.73,12489700
2025-06-12,4.67,4.76,4.6,4.76,7609500
2025-06-13,4.61,4.79,4.57,4.64,11013900
2025-06-16,4.73,5.13,4.69,4.88,18709700
2025-06-17,4.88,5.04,4.79,5.0,15531200
2025-06-18,4.88,5.13,4.79,4.84,22527400
2025-06-20,4.77,4.77,4.48,4.48,28374400
2025-06-23,4.49,4.5,4.18,4.29,23018700
2025-06-24,4.39,4.68,4.35,4.6,17083500
2025-06-25,4.56,4.76,4.41,4.76,17930100
2025-06-26,4.79,4.83,4.42,4.42,23377800
2025-06-27,4.4,4.54,4.08,4.13,26387500
2025-06-30,4.17,4.25,4.03,4.18,16237200
2025-07-01,4.2,4.33,4.09,4.1,15245500
2025-07-02,4.12,4.14,3.93,3.95,17632900
2025-07-03,3.97,4.13,3.97,4.02,14855100
2025-07-04,3.99,4.08,3.94,3.97,13670000
2025-07-07,3.99,4.05,3.95,4.04,11156300
2025-07-08,4.09,4.1,3.88,3.9,13828600
2025-07-09,3.91,4.04,3.89,3.99,13615700
2025-07-10,3.9,4.04,3.8,4.0,14389800
2025-07-11,3.98,3.99,3.86,3.91,13727100
2025-07-14,3.9,3.96,3.86,3.96,9970200
2025-07-15,4.01,4.09,3.94,4.01,11263400
2025-07-16,4.0,4.01,3.92,3.98,10276500
2025-07-17,3.99,4.0,3.91,3.95,12532100
2025-07-18,3.91,3.95,3.82,3.84,13078800
2025-07-21,3.85,3.91,3.78,3.86,10119200
2025-07-22,3.88,3.96,3.86,3.95,10056600
2025-07-23,3.94,3.97,3.85,3.89,9576100
2025-07-24,3.89,3.98,3.8,3.91,14232600
2025-07-25,3.93,4.03,3.93,4.0,13370700
2025-07-28,3.99,4.02,3.9,3.91,10950800
2025-07-29,3.92,3.94,3.85,3.87,7367800
2025-07-30,3.87,4.04,3.84,3.93,11349100
2025-07-31,3.91,3.91,3.77,3.84,13123000
2025-08-01,3.92,4.04,3.89,3.89,13879400
2025-08-04,3.93,3.96,3.84,3.86,5698300
2025-08-05,3.88,3.97,3.86,3.91,9361200
2025-08-06,3.94,3.97,3.84,3.92,12255600
2025-08-07,3.94,4.11,3.91,4.11,14375100
2025-08-08,4.11,4.2,4.06,4.14,11956700
2025-08-11,4.15,4.16,3.9,3.96,13157800
2025-08-12,3.95,4.29,3.86,4.15,30239100
2025-08-13,4.12,4.19,4.0,4.0,9279000
2025-08-14,3.96,3.97,3.82,3.85,15697200
2025-08-15,3.9,3.91,3.8,3.83,12385400
2025-08-18,3.87,3.94,3.79,3.85,15471300
2025-08-19,3.84,3.85,3.67,3.7,13152600
2025-08-20,3.77,3.78,3.61,3.67,21108100
2025-08-21,3.66,3.76,3.6,3.71,8270300
2025-08-22,3.73,3.88,3.69,3.86,11707200
2025-08-25,3.88,3.94,3.85,3.87,11014200
2025-08-26,3.85,3.98,3.85,3.89,7158800
2025-08-27,3.87,4.05,3.87,4.04,11477800
2025-08-28,4.1,4.43,4.1,4.36,30753700
2025-08-29,4.29,4.41,4.21,4.33,11360500
2025-09-01,4.34,4.41,4.2,4.2,6149000
2025-09-02,4.18,4.22,4.08,4.09,6271200
2025-09-03,4.09,4.14,4.0,4.02,9730400
2025-09-04,4.03,4.14,3.96,4.12,19370700
2025-09-05,4.17,4.37,4.17,4.22,12030000
2025-09-08,4.28,4.3,4.07,4.07,6373200
2025-09-09,4.09,4.11,4.03,4.05,6794300
2025-09-10,4.04,4.1,4.0,4.03,9125300
2025-09-11,4.05,4.2,4.01,4.07,15000200
2025-09-12,4.03,4.05,3.89,3.9,17356600
2025-09-15,3.95,3.99,3.85,3.95,13944600
2025-09-16,4.0,4.02,3.89,4.01,17686700
2025-09-17,3.97,4.17,3.93,4.05,26734200
2025-09-18,4.05,4.05,3.91,3.93,15260400
2025-09-19,3.94,3.96,3.8,3.8,20893200
2025-09-22,3.78,3.78,3.63,3.68,18842400
2025-09-23,3.7,3.8,3.7,3.77,11615700
2025-09-24,3.75,3.82,3.72,3.72,12612800
2025-09-25,3.72,3.73,3.56,3.59,21761600
2025-09-26,3.6,3.71,3.57,3.68,13872000
2025-09-29,3.7,3.75,3.57,3.57,20152900
2025-09-30,3.61,3.66,3.41,3.45,20810200
2025-10-01,3.48,3.48,3.29,3.31,19067300
2025-10-02,3.31,3.33,3.17,3.27,18836300
2025-10-03,3.24,3.29,3.19,3.24,9680600
2025-10-06,3.24,3.31,3.18,3.21,9377100
2025-10-07,3.2,3.21,2.99,3.0,19873500
2025-10-08,3.01,3.02,2.95,2.97,14382500
2025-10-09,3.01,3.05,2.94,3.01,12278400
2025-10-10,3.03,3.05,2.91,2.95,13753700
2025-10-13,2.98,3.0,2.93,2.93,11562700
2025-10-14,2.92,2.98,2.89,2.9,14447400
2025-10-15,2.91,3.01,2.87,2.98,16561000
2025-10-16,2.95,3.04,2.91,2.94,9920100
2025-10-17,2.9,2.99,2.87,2.95,9142900
2025-10-20,2.94,3.0,2.89,2.9,14406100
2025-10-21,2.99,3.19,2.98,3.1,23666500
2025-10-22,3.12,3.32,3.12,3.27,21983200
2025-10-23,3.33,3.36,3.21,3.26,11198000
2025-10-24,3.29,3.39,3.28,3.34,14449200
2025-10-27,3.39,3.43,3.3,3.33,10041900
2025-10-28,3.32,3.36,3.22,3.27,13541700
2025-10-29,3.29,3.33,3.21,3.21,10731000
2025-10-30,3.15,3.28,3.13,3.23,9812200
2025-10-31,3.24,3.32,3.22,3.24,11046200
2025-11-03,3.25,3.26,3.18,3.19,12077100
2025-11-04,3.18,3.35,3.18,3.35,19062500
2025-11-05,3.35,3.67,3.28,3.64,25233200
2025-11-06,3.57,3.64,3.53,3.55,15034600
2025-11-07,3.54,3.6,3.5,3.55,11570100
2025-11-10,3.6,3.62,3.51,3.56,11803300
2025-11-11,3.58,3.82,3.51,3.77,74833800
2025-11-12,3.73,3.78,3.45,3.67,45233300
2025-11-13,3.66,3.72,3.57,3.63,14482800
2025-11-14,3.6,3.79,3.6,3.75,15758300
2025-11-17,3.74,3.74,3.5,3.5,14361400
2025-11-18,3.45,3.58,3.41,3.53,8749700
2025-11-19,3.51,3.53,3.45,3.5,8254500
2025-11-21,3.48,3.49,3.37,3.39,10269700
2025-11-24,3.39,3.58,3.39,3.52,10931600
2025-11-25,3.53,3.67,3.48,3.62,10692700
2025-11-26,3.62,3.88,3.61,3.86,13608600
2025-11-27,3.85,3.96,3.83,3.84,9641500
2025-11-28,3.85,3.91,3.75,3.83,10575800
2025-12-01,3.83,3.92,3.75,3.87,7256500
2025-12-02,3.88,4.15,3.87,4.12,20716600
2025-12-03,4.14,4.29,4.09,4.16,14425900
2025-12-04,4.2,4.24,4.11,4.15,18809900
2025-12-05,4.13,4.23,3.83,3.92,24794900
2025-12-08,4.0,4.05,3.9,3.9,18694000
2025-12-09,3.85,3.85,3.64,3.77,18469800
2025-12-10,3.81,3.81,3.55,3.63,26203100
2025-12-11,3.6,3.64,3.52,3.6,14797300
2025-12-12,3.63,3.79,3.62,3.63,11246900
2025-12-15,3.68,3.75,3.58,3.58,11952000
2025-12-16,3.55,3.55,3.43,3.45,14107700
2025-12-17,3.45,3.56,3.28,3.34,18750300
2025-12-18,3.35,3.37,3.28,3.3,12159900
2025-12-19,3.23,3.38,3.21,3.24,16043000
2025-12-22,3.25,3.27,3.1,3.1,13145900
2025-12-23,3.17,3.23,3.14,3.19,11677300
2025-12-26,3.15,3.27,3.13,3.27,14043600
2025-12-29,3.24,3.28,3.19,3.24,7484800
2025-12-30,3.3,3.35,3.23,3.23,7983400
2026-01-02,3.25,3.34,3.24,3.25,11660400
2026-01-05,3.25,3.29,3.22,3.23,10320500
2026-01-06,3.25,3.41,3.25,3.32,13826100
2026-01-07,3.31,3.32,3.23,3.26,11710500
2026-01-08,3.27,3.37,3.27,3.31,11600300
2026-01-09,3.31,3.38,3.29,3.3,7722200
2026-01-12,3.33,3.58,3.3,3.57,26626300
2026-01-13,3.54,3.76,3.53,3.57,28867700
2026-01-14,3.61,3.72,3.56,3.68,21803100
2026-01-15,3.72,3.99,3.68,3.96,25518100
2026-01-16,3.95,4.03,3.6,3.6,28762900
2026-01-19,3.58,3.6,3.5,3.52,15457800
2026-01-20,3.49,3.57,3.45,3.47,14484100
2026-01-21,3.55,3.75,3.53,3.73,23113000
2026-01-22,3.76,3.92,3.75,3.79,26457300
2026-01-23,3.79,3.91,3.73,3.86,21444500
2026-01-26,3.86,3.95,3.79,3.95,14732600
2026-01-27,4.07,4.18,4.04,4.12,21149700
2026-01-28,4.13,4.24,4.02,4.11,19894000
2026-01-29,4.2,4.24,3.96,4.1,20738800
2026-01-30,4.05,4.18,3.96,3.99,23620500
2026-02-02,3.99,4.09,3.94,4.07,12957300
2026-02-03,4.11,4.4,4.11,4.37,28584800
2026-02-04,4.33,4.34,4.07,4.14,22336200
2026-02-05,4.13,4.46,4.1,4.4,39569400
2026-02-06,4.4,4.58,4.35,4.46,28016300
2026-02-09,4.51,4.52,4.32,4.46,18740500
2026-02-10,4.4,4.47,4.33,4.38,13827200
2026-02-11,4.45,4.64,4.45,4.55,17896400
2026-02-12,4.54,4.64,4.4,4.46,15201700
2026-02-13,4.37,4.4,4.25,4.37,12174100
2026-02-18,4.39,4.42,4.3,4.39,6431200
2026-02-19,4.39,4.49,4.37,4.49,8814800
2026-02-20,4.41,4.67,4.4,4.67,12360100
2026-02-23,4.68,4.71,4.49,4.53,12618100
2026-02-24,4.54,4.94,4.53,4.82,18596100
2026-02-25,4.88,4.88,4.66,4.7,14671800
2026-02-26,4.76,4.81,4.56,4.56,14284800
2026-02-27,4.5,4.56,4.4,4.4,15431000
2026-03-02,4.321918,4.421502,4.25221,4.37171,12750019
2026-03-03,4.172543,4.172543,3.983335,4.13271,21770801
