date,open,high,low,close,volume
2025-01-02,23.25,23.754999,23.219999,23.530001,3511800
2025-01-03,23.545,23.745001,23.165001,23.43,6001600
2025-01-06,23.57,23.870001,23.48,23.870001,3566600
2025-01-07,24.344999,24.584999,24.049999,24.360001,8728200
2025-01-08,24.24,24.35,23.540001,23.625,4564800
2025-01-09,23.504999,24.065001,23.504999,23.965,2659800
2025-01-10,23.959999,23.959999,23.43,23.434999,2396600
2025-01-13,23.440001,23.525,23.280001,23.42,2554400
2025-01-14,23.445,23.66,23.379999,23.59,3158400
2025-01-15,23.815001,24.43,23.6,24.42,5491800
2025-01-16,24.530001,24.695,24.105,24.25,3061400
2025-01-17,24.275,24.615,24.075001,24.549999,3398800
2025-01-20,24.450001,24.665001,24.35,24.52,1869400
2025-01-21,24.52,25.049999,24.360001,24.91,4441400
2025-01-22,25.025,25.52,24.985001,25.299999,3750400
2025-01-23,25.33,25.655001,25.285,25.424999,3151000
2025-01-24,25.42,25.42,25.115,25.280001,2291200
2025-01-27,25.35,26.365,25.25,26.365,3340800
2025-01-28,26.209999,26.375,25.535,25.700001,4440600
2025-01-29,25.74,25.809999,25.434999,25.52,2961000
2025-01-30,25.535,26.0,25.535,25.780001,5346200
2025-01-31,25.76,26.184999,25.719999,25.934999,4747000
2025-02-03,25.75,25.825001,25.360001,25.775,3733000
2025-02-04,25.57,25.940001,25.504999,25.915001,2691000
2025-02-05,25.985001,26.0,25.665001,25.934999,3775200
2025-02-06,25.924999,26.030001,25.27,25.51,2310000
2025-02-07,25.5,25.715,25.315001,25.450001,3949800
2025-02-10,25.645,25.684999,25.105,25.174999,4231600
2025-02-11,25.27,26.4,25.195,26.155001,6262800
2025-02-12,26.0,26.549999,25.809999,26.215,8288200
2025-02-13,26.275,26.780001,26.09,26.77,4255400
2025-02-14,26.83,27.125,26.735001,26.924999,3915800
2025-02-17,27.110001,27.110001,26.58,26.709999,1737400
2025-02-18,26.709999,26.84,26.514999,26.805,2048200
2025-02-19,26.645,26.645,26.27,26.365,2489200
2025-02-20,26.540001,26.540001,25.799999,26.125,4272800
2025-02-21,26.23,26.67,25.855,26.370001,3922200
2025-02-24,26.48,26.93,26.190001,26.450001,3417000
2025-02-25,26.450001,26.865,26.445,26.745001,3754400
2025-02-26,26.35,26.35,24.785,24.860001,14064000
2025-02-27,24.99,25.35,24.77,25.115,7183200
2025-02-28,24.245001,24.559999,23.85,24.17,10650400
2025-03-05,24.17,24.4,23.77,24.365,6000600
2025-03-06,24.535,24.57,24.045,24.5,7764600
2025-03-07,24.360001,24.895,24.035,24.735001,6665200
2025-03-10,24.695,24.945,24.450001,24.945,3185600
2025-03-11,24.945,24.950001,24.32,24.469999,3609400
2025-03-12,24.475,24.66,24.33,24.645,3513000
2025-03-13,24.545,25.055,24.125,24.865,3097400
