date,open,high,low,close,volume
2025-01-02,8.44,8.49,8.19,8.47,7231600
2025-01-03,8.54,8.58,7.95,8.04,7468100
2025-01-06,8.24,8.95,8.21,8.87,6685300
2025-01-07,8.83,9.39,8.79,9.11,5583900
2025-01-08,9.02,9.27,8.89,8.98,4936200
2025-01-09,9.02,9.15,8.82,9.11,2955800
2025-01-10,9.11,9.19,8.91,8.97,3988600
2025-01-13,8.99,8.99,8.59,8.59,3412300
2025-01-14,8.61,8.74,8.36,8.48,3658600
2025-01-15,8.58,9.23,8.51,9.19,6457300
2025-01-16,9.08,9.19,8.78,9.1,3536600
2025-01-17,8.87,8.9,8.51,8.58,12546200
2025-01-20,8.48,8.93,8.46,8.89,4884600
2025-01-21,8.86,8.98,8.77,8.93,3421400
2025-01-22,9.06,9.16,8.81,9.05,3865400
2025-01-23,9.13,9.36,8.95,9.3,4560400
2025-01-24,9.36,9.69,9.22,9.25,4654400
2025-01-27,9.0,9.56,8.84,9.55,6568300
2025-01-28,9.42,9.52,9.21,9.3,3135100
2025-01-29,9.38,9.51,9.27,9.43,2360800
2025-01-30,9.51,10.5,9.51,10.36,7240600
2025-01-31,10.3,10.48,10.05,10.25,4646200
2025-02-03,10.11,10.35,10.03,10.29,2207600
2025-02-04,10.25,10.25,9.83,10.1,3631100
2025-02-05,10.19,10.2,9.67,9.98,4617100
2025-02-06,10.06,10.52,9.94,10.39,4293900
2025-02-07,10.37,10.51,10.24,10.5,3317200
2025-02-10,10.59,11.09,10.59,10.88,6564400
2025-02-11,10.87,11.42,10.85,11.33,5255400
2025-02-12,11.2,11.29,11.02,11.02,5420600
2025-02-13,11.0,11.16,10.71,11.05,3749200
2025-02-14,11.18,11.6,11.0,11.55,5211300
2025-02-17,11.64,12.4,11.61,12.04,5722400
2025-02-18,12.0,12.09,11.74,11.84,4337000
2025-02-19,11.67,11.96,11.43,11.43,4608700
2025-02-20,11.56,11.87,11.43,11.72,4387900
2025-02-21,11.71,11.92,11.55,11.61,3336300
2025-02-24,11.67,11.68,11.22,11.32,2870300
