ticker,sector,last_close,avg_volume_brl,trend_score,momentum_score,volatility_pct,atr_pct,liquidity_score,quality_score,news_score,entry,stop,target
ABEV3,consumer_staples,16.29,483738613.41,60.39,89.09,56.86,2.29,90.0,50.0,64.12,16.29,15.92,16.89
ALOS3,real_estate,28.63,148169239.92,37.96,24.62,27.8,2.72,80.0,50.0,53.97,28.63,27.85,29.88
ASAI3,consumer_staples,8.98,120448988.67,54.51,48.15,48.0,4.36,80.0,50.0,59.0,8.98,8.59,9.61
AURE3,utilities,12.4,38322273.57,42.9,13.6,21.64,3.29,50.0,50.0,63.93,12.4,11.99,13.05
AXIA3,utilities,52.7,540347445.1,26.15,0.0,30.99,2.76,100.0,50.0,54.4,52.7,51.25,55.03
AXIA6,utilities,57.9,106937621.45,26.5,0.0,33.52,2.77,80.0,50.0,61.55,57.9,56.3,60.47
AZZA3,consumer_discretionary,19.85,55604506.81,21.56,24.42,49.82,4.76,65.0,50.0,47.87,19.85,18.91,21.36
BBAS3,financials,20.61,511888098.41,28.87,21.46,27.18,2.8,100.0,50.0,49.08,20.61,20.03,21.53
BBDC3,financials,15.59,72461900.74,38.1,24.71,22.21,2.12,65.0,50.0,52.78,15.59,15.26,16.12
BBDC4,financials,17.9,555716764.72,37.03,21.56,26.7,2.37,100.0,50.0,49.78,17.9,17.48,18.58
BBSE3,financials,34.58,146038796.05,49.88,55.29,15.12,1.38,80.0,50.0,40.23,34.58,33.89,35.69
BEEF3,consumer_staples,3.97,82713741.0,40.08,50.84,55.9,5.7,65.0,50.0,59.28,3.97,3.74,4.33
BPAC11,financials,54.3,563925864.49,37.61,17.43,30.78,3.28,100.0,50.0,57.45,54.3,52.52,57.15
BRAP4,materials,23.35,45959821.16,51.88,44.94,25.84,2.64,50.0,50.0,60.96,23.35,22.73,24.34
BRAV3,energy,20.24,162232096.14,62.28,71.01,31.77,3.25,80.0,50.0,62.84,20.24,19.58,21.29
BRKM5,materials,11.13,63912803.0,63.37,100.0,106.96,8.55,65.0,50.0,54.81,11.13,10.18,12.65
CEAB3,consumer_discretionary,11.44,100957454.29,44.44,52.64,63.68,5.27,80.0,50.0,55.52,11.44,10.84,12.4
CMIG4,utilities,11.05,167025973.14,29.49,4.65,23.14,2.29,80.0,50.0,52.01,11.05,10.8,11.45
CMIN3,materials,4.7,41186862.62,45.06,52.14,57.71,4.51,50.0,50.0,56.29,4.7,4.49,5.04
COGN3,consumer_discretionary,2.53,70438058.57,22.49,8.48,42.88,4.38,65.0,50.0,57.24,2.53,2.42,2.71
CPFE3,utilities,43.03,92119869.01,24.91,0.0,27.3,2.64,65.0,50.0,71.08,43.03,41.89,44.85
CPLE3,utilities,14.45,392892778.67,36.29,15.28,24.44,2.59,90.0,50.0,57.94,14.45,14.08,15.05
CSAN3,energy,3.94,174464779.1,0.0,0.0,49.59,6.44,80.0,50.0,55.65,3.94,3.69,4.35
CSMG3,utilities,52.94,270974171.83,43.52,36.29,36.46,3.69,90.0,50.0,52.45,52.94,50.99,56.07
CSNA3,materials,6.8,69347743.81,59.59,69.73,54.68,4.75,65.0,50.0,51.27,6.8,6.48,7.32
CURY3,real_estate,32.18,155555279.89,44.96,77.23,47.45,4.24,80.0,50.0,58.5,32.18,30.82,34.36
CXSE3,financials,17.44,60337122.07,43.3,36.78,21.83,1.99,65.0,50.0,66.03,17.44,17.09,18.0
CYRE3,real_estate,22.5,182111278.22,28.19,26.58,40.98,4.24,80.0,50.0,55.36,22.5,21.55,24.03
DIRR3,real_estate,13.37,95839557.95,46.45,59.22,46.38,4.24,65.0,50.0,63.74,13.37,12.8,14.28
EGIE3,utilities,32.32,78188636.89,41.88,23.25,19.97,2.22,65.0,50.0,43.75,32.32,31.6,33.47
