ticker,sector
ABEV3.SA,consumer_staples
ALOS3.SA,real_estate
ASAI3.SA,consumer_staples
AURE3.SA,utilities
AXIA3.SA,utilities
AXIA6.SA,utilities
AZZA3.SA,consumer_discretionary
BBAS3.SA,financials
BBDC3.SA,financials
BBDC4.SA,financials
BBSE3.SA,financials
BEEF3.SA,consumer_staples
BPAC11.SA,financials
BRAP4.SA,materials
BRAV3.SA,energy
BRKM5.SA,materials
CEAB3.SA,consumer_discretionary
CMIG4.SA,utilities
CMIN3.SA,materials
COGN3.SA,consumer_discretionary
CPFE3.SA,utilities
CPLE3.SA,utilities
CSAN3.SA,energy
CSMG3.SA,utilities
CSNA3.SA,materials
CURY3.SA,real_estate
CXSE3.SA,financials
CYRE3.SA,real_estate
DIRR3.SA,real_estate
EGIE3.SA,utilities
EMBJ3.SA,industrials
ENEV3.SA,utilities
ENGI11.SA,utilities
EQTL3.SA,utilities
FLRY3.SA,health_care
GGBR4.SA,materials
GOAU4.SA,materials
HAPV3.SA,health_care
HYPE3.SA,health_care
IGTI11.SA,real_estate
ISAE4.SA,utilities
ITSA4.SA,financials
ITUB4.SA,financials
KLBN11.SA,materials
LREN3.SA,consumer_discretionary
MBRF3.SA,consumer_staples
MGLU3.SA,consumer_discretionary
MOTV3.SA,industrials
MRVE3.SA,real_estate
MULT3.SA,real_estate
NATU3.SA,consumer_staples
PETR3.SA,energy
PETR4.SA,energy
POMO4.SA,industrials
PRIO3.SA,energy
PSSA3.SA,financials
RADL3.SA,health_care
RAIL3.SA,industrials
RDOR3.SA,health_care
RECV3.SA,energy
RENT3.SA,consumer_discretionary
SANB11.SA,financials
SBSP3.SA,utilities
SLCE3.SA,consumer_staples
SMFT3.SA,consumer_discretionary
SUZB3.SA,materials
TAEE11.SA,utilities
TIMS3.SA,communication
TOTS3.SA,technology
UGPA3.SA,energy
USIM5.SA,materials
VALE3.SA,materials
VAMO3.SA,industrials
VBBR3.SA,energy
VIVA3.SA,consumer_discretionary
VIVT3.SA,communication
WEGE3.SA,industrials
YDUQ3.SA,consumer_discretionary
